# lemma(1sg.pres)	V;1;SG;IND;PRS	V;2;SG;IND;PRS	V;3;SG;IND;PRS	V;1;PL;IND;PRS	V;2;PL;IND;PRS	V;3;PL;IND;PRS	V;1;SG;IND;IPFV	V;2;SG;IND;IPFV	V;3;SG;IND;IPFV	V;1;PL;IND;IPFV	V;2;PL;IND;IPFV	V;3;PL;IND;IPFV	V;1;SG;IND;PST	V;2;SG;IND;PST	V;3;SG;IND;PST	V;1;PL;IND;PST	V;2;PL;IND;PST	V;3;PL;IND;PST	V;1;SG;ADM;PRS	V;2;SG;ADM;PRS	V;3;SG;ADM;PRS	V;1;PL;ADM;PRS	V;2;PL;ADM;PRS	V;3;PL;ADM;PRS	V;1;SG;ADM;IPFV	V;2;SG;ADM;IPFV	V;3;SG;ADM;IPFV	V;1;PL;ADM;IPFV	V;2;PL;ADM;IPFV	V;3;PL;ADM;IPFV	V;2;SG;IMP	V;2;PL;IMP	V;V.PTCP  ("-" = productive -oj default)
grah	grah	grah	grah	grahim	grahni	grahin	grahja	grahje	grahte	grahnim	grahnit	grahnin	graha	grahe	grahu	grahëm	grahët	grahën	grahkam	grahke	grahka	grahkemi	grahkeni	grahkan	grahkësha	grahkëshe	grahkësh	grahkëshim	grahkëshit	grahkëshin	grah	grahni	grahur
grih	grih	grih	grih	grihim	grihni	grihin	grihja	grihje	grihte	grihnim	grihnit	grihnin	griha	grihe	grihu	grihëm	grihët	grihën	grihkam	grihke	grihka	grihkemi	grihkeni	grihkan	grihkësha	grihkëshe	grihkësh	grihkëshim	grihkëshit	grihkëshin	grih	grihni	grihur
grij	grij	grin	grin	grijmë	grini	grijnë	grija	grije	grinte	grinim	grinit	grinin	griva	grive	griu	grimë	gritë	grinë	grikam	grike	grika	grikemi	grikeni	grikan	grikësha	grikëshe	grikësh	grikëshim	grikëshit	grikëshin	gri	grini	grirë
grimcoj	grimcohem	grimcohesh	grimcohet	grimcohemi	grimcoheni	grimcohen	grimcohesha	grimcoheshe	grimcohej	grimcoheshim	grimcoheshit	grimcoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	grimcohuni	-
grind	grind	grind	grind	grindim	grindni	grindin	grindja	grindje	grindte	grindnim	grindnit	grindnin	grinda	grinde	grindi	grindëm	grindët	grindën	grindkam	grindke	grindka	grindkemi	grindkeni	grindkan	grindkësha	grindkëshe	grindkësh	grindkëshim	grindkëshit	grindkëshin	grind	grindni	grindur
grish	grish	grish	grish	grishim	grishni	grishin	grishja	grishje	grishte	grishnim	grishnit	grishnin	grisha	grishe	grishi	grishëm	grishët	grishën	grishkam	grishke	grishka	grishkemi	grishkeni	grishkan	grishkësha	grishkëshe	grishkësh	grishkëshim	grishkëshit	grishkëshin	grish	grishni	grishur
grym	grym	grym	grym	grymim	grymni	grymin	grymja	grymje	grymte	grymnim	grymnit	grymnin	gryma	gryme	grymi	grymëm	grymët	grymën	grymkam	grymke	grymka	grymkemi	grymkeni	grymkan	grymkësha	grymkëshe	grymkësh	grymkëshim	grymkëshit	grymkëshin	grym	grymni	grymur
gudulis	gudulis	gudulis	gudulis	gudulisim	gudulisni	gudulisin	gudulisja	gudulisje	guduliste	gudulisnim	gudulisnit	gudulisnin	gudulisa	gudulise	gudulisi	gudulisëm	gudulisët	gudulisën	guduliskam	guduliske	guduliska	guduliskemi	guduliskeni	guduliskan	guduliskësha	guduliskëshe	guduliskësh	guduliskëshim	guduliskëshit	guduliskëshin	gudulis	gudulisni	gudulisur
gëlltis	gëlltit	gëlltit	gëlltit	gëlltitim	gëlltitni	gëlltitin	gëlltitja	gëlltitje	gëlltte	gëlltitnim	gëlltitnit	gëlltitnin	gëlltita	gëlltite	gëlltiti	gëlltitëm	gëlltitët	gëlltitën	gëlltitkam	gëlltitke	gëlltitka	gëlltitkemi	gëlltitkeni	gëlltitkan	gëlltitkësha	gëlltitkëshe	gëlltitkësh	gëlltitkëshim	gëlltitkëshit	gëlltitkëshin	gëlltit	gëlltitni	gëlltititur
gëlltit	gëlltit	gëlltit	gëlltit	gëlltitim	gëlltitni	gëlltitin	gëlltitja	gëlltitje	gëlltitte	gëlltitnim	gëlltitnit	gëlltitnin	gëlltita	gëlltite	gëlltiti	gëlltitëm	gëlltitët	gëlltitën	gëlltitkam	gëlltitke	gëlltitka	gëlltitkemi	gëlltitkeni	gëlltitkan	gëlltitkësha	gëlltitkëshe	gëlltitkësh	gëlltitkëshim	gëlltitkëshit	gëlltitkëshin	gëlltit	gëlltitni	gëlltitur
gënjej	gënjej	gënjen	gënjen	gënjejmë	gënjeni	gënjejnë	gënjeja	gënjeje	gënjente	gënjenim	gënjenit	gënjenin	gënjeva	gënjeve	gënjeu	gënjyem	gënjyet	gënjyen	gënjyekam	gënjyeke	gënjyeka	gënjyekemi	gënjyekeni	gënjyekan	gënjyekësha	gënjyekëshe	gënjyekësh	gënjyekëshim	gënjyekëshit	gënjyekëshin	gënje	gënjeni	gënjyer
gëras	gëras	gëret	gëret	gërasim	gëritni	gërasin	gëritja	gëritje	gëriste	gëritnim	gëritnit	gëritnin	gërita	gërite	gëriti	gëritëm	gëritët	gëritën	gëritkam	gëritke	gëritka	gëritkemi	gëritkeni	gëritkan	gëritkësha	gëritkëshe	gëritkësh	gëritkëshim	gëritkëshit	gëritkëshin	gërit	gëritni	gëritur
gërbul	gërbul	gërbul	gërbul	gërbulim	gërbulni	gërbulin	gërbulja	gërbulje	gërbulte	gërbulnim	gërbulnit	gërbulnin	gërbula	gërbule	gërbuli	gërbulëm	gërbulët	gërbulën	gërbulkam	gërbulke	gërbulka	gërbulkemi	gërbulkeni	gërbulkan	gërbulkësha	gërbulkëshe	gërbulkësh	gërbulkëshim	gërbulkëshit	gërbulkëshin	gërbul	gërbulni	gërbulur
gërdhij	gërdhij	gërdhin	gërdhin	gërdhijmë	gërdhini	gërdhijnë	gërdhija	gërdhije	gërdhinte	gërdhinim	gërdhinit	gërdhinin	gërdhiva	gërdhive	gërdhiu	gërdhimë	gërdhitë	gërdhinë	gërdhikam	gërdhike	gërdhika	gërdhikemi	gërdhikeni	gërdhikan	gërdhikësha	gërdhikëshe	gërdhikësh	gërdhikëshim	gërdhikëshit	gërdhikëshin	gërdhi	gërdhini	gërdhirë
gërdhuc	gërdhuc	gërdhuc	gërdhuc	gërdhucim	gërdhucni	gërdhucin	gërdhucja	gërdhucje	gërdhucte	gërdhucnim	gërdhucnit	gërdhucnin	gërdhuca	gërdhuce	gërdhuci	gërdhucëm	gërdhucët	gërdhucën	gërdhuckam	gërdhucke	gërdhucka	gërdhuckemi	gërdhuckeni	gërdhuckan	gërdhuckësha	gërdhuckëshe	gërdhuckësh	gërdhuckëshim	gërdhuckëshit	gërdhuckëshin	gërdhuc	gërdhucni	gërdhucur
gërdit	gërdit	gërdit	gërdit	gërditim	gërditni	gërditin	gërditja	gërditje	gërditte	gërditnim	gërditnit	gërditnin	gërdita	gërdite	gërditi	gërditëm	gërditët	gërditën	gërditkam	gërditke	gërditka	gërditkemi	gërditkeni	gërditkan	gërditkësha	gërditkëshe	gërditkësh	gërditkëshim	gërditkëshit	gërditkëshin	gërdit	gërditni	gërditur
gërgas	gërgas	gërget	gërget	gërgasim	gërgitni	gërgasin	gërgitja	gërgitje	gërgiste	gërgitnim	gërgitnit	gërgitnin	gërgita	gërgite	gërgiti	gërgitëm	gërgitët	gërgitën	gërgitkam	gërgitke	gërgitka	gërgitkemi	gërgitkeni	gërgitkan	gërgitkësha	gërgitkëshe	gërgitkësh	gërgitkëshim	gërgitkëshit	gërgitkëshin	gërgit	gërgitni	gërgitur
gërlat	gërlat	gërlat	gërlat	gërlatim	gërlatni	gërlatin	gërlatja	gërlatje	gërlatte	gërlatnim	gërlatnit	gërlatnin	gërlata	gërlate	gërlati	gërlatëm	gërlatët	gërlatën	gërlatkam	gërlatke	gërlatka	gërlatkemi	gërlatkeni	gërlatkan	gërlatkësha	gërlatkëshe	gërlatkësh	gërlatkëshim	gërlatkëshit	gërlatkëshin	gërlat	gërlatni	gërlatur
gërmih	gërmih	gërmih	gërmih	gërmihim	gërmihni	gërmihin	gërmihja	gërmihje	gërmihte	gërmihnim	gërmihnit	gërmihnin	gërmiha	gërmihe	gërmihu	gërmihëm	gërmihët	gërmihën	gërmihkam	gërmihke	gërmihka	gërmihkemi	gërmihkeni	gërmihkan	gërmihkësha	gërmihkëshe	gërmihkësh	gërmihkëshim	gërmihkëshit	gërmihkëshin	gërmih	gërmihni	gërmihur
gërmit	gërmit	gërmit	gërmit	gërmitim	gërmitni	gërmitin	gërmitja	gërmitje	gërmitte	gërmitnim	gërmitnit	gërmitnin	gërmita	gërmite	gërmiti	gërmitëm	gërmitët	gërmitën	gërmitkam	gërmitke	gërmitka	gërmitkemi	gërmitkeni	gërmitkan	gërmitkësha	gërmitkëshe	gërmitkësh	gërmitkëshim	gërmitkëshit	gërmitkëshin	gërmit	gërmitni	gërmitur
gërmuq	gërmuq	gërmuq	gërmuq	gërmuqim	gërmuqni	gërmuqin	gërmuqja	gërmuqje	gërmuqte	gërmuqnim	gërmuqnit	gërmuqnin	gërmuqa	gërmuqe	gërmuqi	gërmuqëm	gërmuqët	gërmuqën	gërmuqkam	gërmuqke	gërmuqka	gërmuqkemi	gërmuqkeni	gërmuqkan	gërmuqkësha	gërmuqkëshe	gërmuqkësh	gërmuqkëshim	gërmuqkëshit	gërmuqkëshin	gërmuq	gërmuqni	gërmuqur
gërric	gërric	gërric	gërric	gërricim	gërricni	gërricin	gërricja	gërricje	gërricte	gërricnim	gërricnit	gërricnin	gërrica	gërrice	gërrici	gërricëm	gërricët	gërricën	gërrickam	gërricke	gërricka	gërrickemi	gërrickeni	gërrickan	gërrickësha	gërrickëshe	gërrickësh	gërrickëshim	gërrickëshit	gërrickëshin	gërric	gërricni	gërricur
gërryej	gërryej	gërryen	gërryen	gërryejmë	gërryeni	gërryejnë	gërryeja	gërryeje	gërryente	gërryenim	gërryenit	gërryenin	gërreva	gërreve	gërreu	gërryem	gërryet	gërryen	gërryekam	gërryeke	gërryeka	gërryekemi	gërryekeni	gërryekan	gërryekësha	gërryekëshe	gërryekësh	gërryekëshim	gërryekëshit	gërryekëshin	gërrye	gërryeni	gërryer
gërthas	gërthas	gërthet	gërthet	gërthasim	gërthitni	gërthasin	gërthitja	gërthitje	gërthiste	gërthitnim	gërthitnit	gërthitnin	gërthita	gërthite	gërthiti	gërthitëm	gërthitët	gërthitën	gërthitkam	gërthitke	gërthitka	gërthitkemi	gërthitkeni	gërthitkan	gërthitkësha	gërthitkëshe	gërthitkësh	gërthitkëshim	gërthitkëshit	gërthitkëshin	gërthit	gërthitni	gërthitur
gërvisht	gërvisht	gërvisht	gërvisht	gërvishtim	gërvishtni	gërvishtin	gërvishtja	gërvishtje	gërvishtte	gërvishtnim	gërvishtnit	gërvishtnin	gërvishta	gërvishte	gërvishti	gërvishtëm	gërvishtët	gërvishtën	gërvishtkam	gërvishtke	gërvishtka	gërvishtkemi	gërvishtkeni	gërvishtkan	gërvishtkësha	gërvishtkëshe	gërvishtkësh	gërvishtkëshim	gërvishtkëshit	gërvishtkëshin	gërvisht	gërvishtni	gërvishtur
ha	ha	ha	ha	hamë	hani	hanë	haja	haje	hante	hanim	hanit	hanin	hëngra	hëngre	hëngri	hëngrëm	hëngrët	hëngrën	ngrënkam	ngrënke	ngrënka	ngrënkemi	ngrënkeni	ngrënkan	ngrënkësha	ngrënkëshe	ngrënkësh	ngrënkëshim	ngrënkëshit	ngrënkëshin	ha	hani	ngrënë
habit	habit	habit	habit	habitim	habitni	habitin	habitja	habitje	habitte	habitnim	habitnit	habitnin	habita	habite	habiti	habitëm	habitët	habitën	habitkam	habitke	habitka	habitkemi	habitkeni	habitkan	habitkësha	habitkëshe	habitkësh	habitkëshim	habitkëshit	habitkëshin	habit	habitni	habitur
hahem	hahem	hahesh	hahet	hahemi	haheni	hahen	hahesha	haheshe	hahej	haheshim	haheshit	haheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Hahu!	Hahuni!	ngrënë
hallakat	hallakat	hallakat	hallakat	hallakatim	hallakatni	hallakatin	hallakatja	hallakatje	hallakatte	hallakatnim	hallakatnit	hallakatnin	hallakata	hallakate	hallakati	hallakatëm	hallakatët	hallakatën	hallakatkam	hallakatke	hallakatka	hallakatkemi	hallakatkeni	hallakatkan	hallakatkësha	hallakatkëshe	hallakatkësh	hallakatkëshim	hallakatkëshit	hallakatkëshin	hallakat	hallakatni	hallakatur
hap	hap	hap	hap	hapim	hapni	hapin	hapja	hapje	hapte	hapnim	hapnit	hapnin	hapa	hape	hapi	hapëm	hapët	hapën	hapkam	hapke	hapka	hapkemi	hapkeni	hapkan	hapkësha	hapkëshe	hapkësh	hapkëshim	hapkëshit	hapkëshin	hap	hapni	hapur
harlis	harlis	harlis	harlis	harlisim	harlisni	harlisin	harlisja	harlisje	harliste	harlisnim	harlisnit	harlisnin	harlisa	harlise	harlisi	harlisëm	harlisët	harlisën	harliskam	harliske	harliska	harliskemi	harliskeni	harliskan	harliskësha	harliskëshe	harliskësh	harliskëshim	harliskëshit	harliskëshin	harlis	harlisni	harlisur
harr	harr	harr	harr	harrim	harrni	harrin	harrja	harrje	harrte	harrnim	harrnit	harrnin	harra	harre	harri	harrëm	harrët	harrën	harrkam	harrke	harrka	harrkemi	harrkeni	harrkan	harrkësha	harrkëshe	harrkësh	harrkëshim	harrkëshit	harrkëshin	harr	harrni	harrur
has	has	has	has	hasim	hasni	hasin	hasja	hasje	haste	hasnim	hasnit	hasnin	hasa	hase	hasi	hasëm	hasët	hasën	haskam	haske	haska	haskemi	haskeni	haskan	haskësha	haskëshe	haskësh	haskëshim	haskëshit	haskëshin	has	hasni	hasur
heci	heci	-	-	-	hecni	hecin	hecja	hecje	hecte	hecnim	hecnit	hecnin	heca	hece	-	hecëm	hecët	hecën	heckam	hecke	hecka	heckemi	heckeni	heckan	heckesha	heckëshe	heckej	heckëshim	heckëshit	heckëshin	Hec!	Hecni!	hec
hedh	hedh	hedh	hedh	hedhim	hedhni	hedhin	hidhja	hidhje	hidhte	hidhnim	hidhnit	hidhnin	hodha	hodhe	hodhi	hodhëm	hodhët	hodhën	hedhkam	hedhke	hedhka	hedhkemi	hedhkeni	hedhkan	hedhkësha	hedhkëshe	hedhkësh	hedhkëshim	hedhkëshit	hedhkëshin	hidh	hidhni	hedhur
hekuros	hekuros	hekuros	hekuros	hekurosemi	hekuroseni	hekurosen	hekurosesha	hekuroseshe	hekurosej	hekuroseshim	hekuroseshit	hekuroseshin	hekurosa	hekurose	hekuroshekuros	hekurosëm	hekurosët	hekurosën	hekuroskam	hekuroske	hekuroska	hekuroskemi	hekuroskeni	hekuroskan	hekuroskësha	hekuroskëshe	hekuroskësh	hekuroskëshim	hekuroskëshit	hekuroskëshin	hekuros	hekurosni	hekurosur
heq	heq	heq	heq	heqim	hiqni	heqin	hiqja	hiqje	hiqte	hiqnim	hiqnit	hiqnin	hoqa	hoqe	hoqi	hoqëm	hoqët	hoqën	heqkam	heqke	heqka	heqkemi	heqkeni	heqkan	heqkësha	heqkëshe	heqkësh	heqkëshim	heqkëshit	heqkëshin	hiq	hiqni	hequr
heqsim	heq	heq	heq	heqim	hiqni	heqin	hiqja	hiqje	hiqte	hiqnim	hiqnit	hiqnin	hoqa	hoqe	hoqi	hoqëm	hoqët	hoqën	heqkam	heqke	heqka	heqkemi	heqkeni	heqkan	heqkësha	heqkëshe	heqkësh	heqkëshim	heqkëshit	heqkëshin	hiq	hiqni	heksur
hesht	hesht	hesht	hesht	heshtim	heshtni	heshtin	heshtja	heshtje	heshtte	heshtnim	heshtnit	heshtnin	heshta	heshte	heshti	heshtëm	heshtët	heshtën	heshtkam	heshtke	heshtka	heshtkemi	heshtkeni	heshtkan	heshtkësha	heshtkëshe	heshtkësh	heshtkëshim	heshtkëshit	heshtkëshin	hesht	heshtni	heshtur
hidhërohem	hidhërohem	hidhërohesh	hidhërohet	hidhërohemi	hidhëroheni	hidhërohen	hidhërohesha	hidhëroheshe	hidhërohej	hidhëroheshim	hidhëroheshit	hidhëroheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hidhërohu	hidhërohuni	hidhëruar
hijeshoj	hijeshohem	hijeshohesh	hijeshohet	hijeshohemi	hijeshoheni	hijeshohen	hijeshohesha	hijeshoheshe	hijeshohej	hijeshoheshim	hijeshoheshit	hijeshoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hijeshohuni	-
hingëlloj	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hingëllir
hip	hip	hip	hip	hipim	hipni	hipin	hipja	hipje	hipte	hipnim	hipnit	hipnin	hipa	hipe	hipi	hipëm	hipët	hipën	hipkam	hipke	hipka	hipkemi	hipkeni	hipkan	hipkësha	hipkëshe	hipkësh	hipkëshim	hipkëshit	hipkëshin	hip	hipni	hipur
hipi	hipi	hipën	hipën	hipim	hipni	hipin	hipja	hipje	hipte	hipnim	hipnit	hipnin	hipa	hipe	hipu	hipëm	hipët	hipën	hipkam	hipke	hipka	hipkemi	hipkeni	hipkan	hipkësha	hipkëshe	hipkësh	hipkëshim	hipkëshit	hipkëshin	hip	hipni	hipur
hollohem	hollohem	hollohesh	hollohet	hollohemi	holloheni	hollohen	hollohesha	holloheshe	hollohej	holloheshim	holloheshit	holloheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hollohu	hollohuni	holluar
hukat	hukat	hukat	hukat	hukatim	hukatni	hukatin	hukatja	hukatje	hukatte	hukatnim	hukatnit	hukatnin	hukata	hukate	hukati	hukatëm	hukatët	hukatën	hukatkam	hukatke	hukatka	hukatkemi	hukatkeni	hukatkan	hukatkësha	hukatkëshe	hukatkësh	hukatkëshim	hukatkëshit	hukatkëshin	hukat	hukatni	hukatur
humb	humb	humb	humb	humbim	humbni	humbin	humbja	humbje	humbte	humbnim	humbnit	humbnin	humba	humbe	humbi	humbëm	humbët	humbën	humbkam	humbke	humbka	humbkemi	humbkeni	humbkan	humbkësha	humbkëshe	humbkësh	humbkëshim	humbkëshit	humbkëshin	humb	humbni	humbur
humbas	humbas	humbet	humbet	humbasim	-	humbasin	-	-	humbiste	-	-	-	humba	humbe	humbi	humbëm	humbët	humbën	humbkam	humbke	humbka	humbkemi	humbkeni	humbkan	humbkësha	humbkëshe	humbkësh	humbkëshim	humbkëshit	humbkëshin	humbit	-	humbur
hurb	hurb	hurb	hurb	hurbim	hurbni	hurbin	hurbja	hurbje	hurbte	hurbnim	hurbnit	hurbnin	hurba	hurbe	hurbi	hurbëm	hurbët	hurbën	hurbkam	hurbke	hurbka	hurbkemi	hurbkeni	hurbkan	hurbkësha	hurbkëshe	hurbkësh	hurbkëshim	hurbkëshit	hurbkëshin	hurb	hurbni	hurbur
iki	iki	iki	iki	ikiim	ikini	ikiin	ikija	ikije	ikite	ikinim	ikinit	ikinin	ikia	ikie	ikii	ikiëm	ikiët	ikiën	ikikam	ikike	ikika	ikikemi	ikikeni	ikikan	ikikësha	ikikëshe	ikikësh	ikikëshim	ikikëshit	ikikëshin	iki	ikini	ikiur
im	im	im	im	imim	imni	imin	imja	imje	imte	imnim	imnit	imnin	ima	ime	imi	imëm	imët	imën	imkam	imke	imka	imkemi	imkeni	imkan	imkësha	imkëshe	imkësh	imkëshim	imkëshit	imkëshin	im	imni	imur
imponohem	imponohem	imponohesh	imponohet	imponohemi	imponoheni	imponohen	imponohesha	imponoheshe	imponohej	imponoheshim	imponoheshit	imponoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	imponohu	imponohuni	imponuar
inatosem	inatosem	inatosesh	inatoset	inatosemi	inatoseni	inatosen	inatosesha	inatoseshe	inatosej	inatoseshim	inatoseshit	inatoseshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inatosu	inatosuni	inatosur
injorohem	injorohem	injorohesh	injorohet	injorohemi	injoroheni	injorohen	injorohesha	injoroheshe	injorohej	injoroheshim	injoroheshit	injoroheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	injorohu	injorohuni	injoruar
irnoj	-	irnoj	irnoj	irnojim	irnojni	irnojin	irnojja	irnojje	irnojte	irnojnim	irnojnit	irnojnin	irnoja	irnoje	irnoji	irnojëm	irnojët	irnojën	irnojkam	irnojke	irnojka	irnojkemi	irnojkeni	irnojkan	irnojkësha	irnojkëshe	irnojkësh	irnojkëshim	irnojkëshit	irnojkëshin	irnoj	irnojni	irnojur
ith	ith	ith	ith	ithim	ithni	ithin	ithja	ithje	ithte	ithnim	ithnit	ithnin	itha	ithe	ithi	ithëm	ithët	ithën	ithkam	ithke	ithka	ithkemi	ithkeni	ithkan	ithkësha	ithkëshe	ithkësh	ithkëshim	ithkëshit	ithkëshin	ith	ithni	ithur
jam	jam	je	është	jemi	jeni	janë	isha	ishe	ishte	ishim	ishit	ishin	qeshë	qe	qe	qemë	qetë	qenë	qenkam	qenke	qenka	qenkemi	qenkeni	qenkan	qenkësha	qenkëshe	qenkësh	qenkëshim	qenkëshit	qenkëshin	ji	jini	qenë
jap	jap	jep	jep	japim	jepni	japin	jepja	jepje	jepte	jepnim	jepnit	jepnin	dhashë	dhe	dha	dhamë	dhatë	dhanë	dhënkam	dhënke	dhënka	dhënkemi	dhënkeni	dhënkan	dhënkësha	dhënkëshe	dhënkësh	dhënkëshim	dhënkëshit	dhënkëshin	jep	jepni	dhënë
josh	josh	josh	josh	joshim	joshni	joshin	joshja	joshje	joshte	joshnim	joshnit	joshnin	josha	joshe	joshi	joshëm	joshët	joshën	joshkam	joshke	joshka	joshkemi	joshkeni	joshkan	joshkësha	joshkëshe	joshkësh	joshkëshim	joshkëshit	joshkëshin	josh	joshni	joshur
kacafyt	kacafyt	kacafyt	kacafyt	kacafytim	kacafytni	kacafytin	kacafytja	kacafytje	kacafytte	kacafytnim	kacafytnit	kacafytnin	kacafyta	kacafyte	kacafyti	kacafytëm	kacafytët	kacafytën	kacafytkam	kacafytke	kacafytka	kacafytkemi	kacafytkeni	kacafytkan	kacafytkësha	kacafytkëshe	kacafytkësh	kacafytkëshim	kacafytkëshit	kacafytkëshin	kacafyt	kacafytni	kacafytur
kacambyt	kacambyt	kacambyt	kacambyt	kacambytim	kacambytni	kacambytin	kacambytja	kacambytje	kacambytte	kacambytnim	kacambytnit	kacambytnin	kacambyta	kacambyte	kacambyti	kacambytëm	kacambytët	kacambytën	kacambytkam	kacambytke	kacambytka	kacambytkemi	kacambytkeni	kacambytkan	kacambytkësha	kacambytkëshe	kacambytkësh	kacambytkëshim	kacambytkëshit	kacambytkëshin	kacambyt	kacambytni	kacambytur
kalamend	kalamend	kalamend	kalamend	kalamendim	kalamendni	kalamendin	kalamendja	kalamendje	kalamendte	kalamendnim	kalamendnit	kalamendnin	kalamenda	kalamende	kalamendi	kalamendëm	kalamendët	kalamendën	kalamendkam	kalamendke	kalamendka	kalamendkemi	kalamendkeni	kalamendkan	kalamendkësha	kalamendkëshe	kalamendkësh	kalamendkëshim	kalamendkëshit	kalamendkëshin	kalamend	kalamendni	kalamendur
kalb	kalb	kalb	kalb	kalbim	kalbni	kalbin	kalbja	kalbje	kalbte	kalbnim	kalbnit	kalbnin	kalba	kalbe	kalbi	kalbëm	kalbët	kalbën	kalbkam	kalbke	kalbka	kalbkemi	kalbkeni	kalbkan	kalbkësha	kalbkëshe	kalbkësh	kalbkëshim	kalbkëshit	kalbkëshin	kalb	kalbni	kalbur
kalit	kalit	kalit	kalit	kalitim	kalitni	kalitin	kalitja	kalitje	kalitte	kalitnim	kalitnit	kalitnin	kalita	kalite	kaliti	kalitëm	kalitët	kalitën	kalitkam	kalitke	kalitka	kalitkemi	kalitkeni	kalitkan	kalitkësha	kalitkëshe	kalitkësh	kalitkëshim	kalitkëshit	kalitkëshin	kalit	kalitni	kalitur
kam	kam	ke	ka	kemi	keni	kanë	kisha	kishe	kishte	kishim	kishit	kishin	pata	pate	pati	patëm	patët	patën	paskam	paske	paska	paskemi	paskeni	paskan	paskësha	paskëshe	paskësh	paskëshim	paskëshit	paskëshin	ki	kini	pasur
kap	kap	kap	kap	kapim	kapni	kapin	kapja	kapje	kapte	kapnim	kapnit	kapnin	kapa	kape	kapi	kapëm	kapët	kapën	kapkam	kapke	kapka	kapkemi	kapkeni	kapkan	kapkësha	kapkëshe	kapkësh	kapkëshim	kapkëshit	kapkëshin	kap	kapni	kapur
kapërcej	kapërcej	kapërcen	kapërcen	kapërcejmë	kapërceni	kapërcejnë	kapërceja	kapërceje	kapërcente	kapërcenim	kapërcenit	kapërcenin	kapërceva	kapërceve	kapërceu	kapërcyem	kapërcyet	kapërcyen	kapërcyekam	kapërcyeke	kapërcyeka	kapërcyekemi	kapërcyekeni	kapërcyekan	kapërcyekësha	kapërcyekëshe	kapërcyekësh	kapërcyekëshim	kapërcyekëshit	kapërcyekëshin	kapërce	kapërceni	kapërcyer
kapërthej	kapërthej	kapërthen	kapërthen	kapërthejmë	kapërtheni	kapërthejnë	kapërtheja	kapërtheje	kapërthente	kapërthenim	kapërthenit	kapërthenin	kapërtheva	kapërtheve	kapërtheu	kapërthyem	kapërthyet	kapërthyen	kapërthyekam	kapërthyeke	kapërthyeka	kapërthyekemi	kapërthyekeni	kapërthyekan	kapërthyekësha	kapërthyekëshe	kapërthyekësh	kapërthyekëshim	kapërthyekëshit	kapërthyekëshin	kapërthe	kapërtheni	kapërthyer
kaurdis	kaurdis	kaurdis	kaurdis	kaurdisim	kaurdisni	kaurdisin	kaurdisja	kaurdisje	kaurdiste	kaurdisnim	kaurdisnit	kaurdisnin	kaurdisa	kaurdise	kaurdisi	kaurdisëm	kaurdisët	kaurdisën	kaurdiskam	kaurdiske	kaurdiska	kaurdiskemi	kaurdiskeni	kaurdiskan	kaurdiskësha	kaurdiskëshe	kaurdiskësh	kaurdiskëshim	kaurdiskëshit	kaurdiskëshin	kaurdis	kaurdisni	kaurdisje
kep	kep	kep	kep	kepim	kepni	kepin	kepja	kepje	kepte	kepnim	kepnit	kepnin	kepa	kepe	kepi	kepëm	kepët	kepën	kepkam	kepke	kepka	kepkemi	kepkeni	kepkan	kepkësha	kepkëshe	kepkësh	kepkëshim	kepkëshit	kepkëshin	kep	kepni	kepur
kic	kic	kic	kic	kicim	kicni	kicin	kicja	kicje	kicte	kicnim	kicnit	kicnin	kica	kice	kici	kicëm	kicët	kicën	kickam	kicke	kicka	kickemi	kickeni	kickan	kickësha	kickëshe	kickësh	kickëshim	kickëshit	kickëshin	kic	kicni	kicur
kij	kij	kin	kin	kijmë	kini	kijnë	kija	kije	kinte	kinim	kinit	kinin	kiva	kive	kiu	kimë	kitë	kinë	kikam	kike	kika	kikemi	kikeni	kikan	kikësha	kikëshe	kikësh	kikëshim	kikëshit	kikëshin	ki	kini	kirë
kilikos	kilikos	kilikos	kilikos	kilikosim	kilikosni	kilikosin	kilikosja	kilikosje	kilikoste	kilikosnim	kilikosnit	kilikosnin	kilikosa	kilikose	kilikosi	kilikosëm	kilikosët	kilikosën	kilikoskam	kilikoske	kilikoska	kilikoskemi	kilikoskeni	kilikoskan	kilikoskësha	kilikoskëshe	kilikoskësh	kilikoskëshim	kilikoskëshit	kilikoskëshin	kilikos	kilikosni	kilikosur
klith	klith	klith	klith	klithim	klithni	klithin	klithja	klithje	klithte	klithnim	klithnit	klithnin	klitha	klithe	klithi	klithëm	klithët	klithën	klithkam	klithke	klithka	klithkemi	klithkeni	klithkan	klithkësha	klithkëshe	klithkësh	klithkëshim	klithkëshit	klithkëshin	klith	klithni	klithur
