# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;PST;1;SG	V;PST;2;SG	V;PST;3;SG	V;PST;1;PL	V;PST;2;PL	V;PST;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;AOR;1;SG	V;AOR;2;SG	V;AOR;3;SG	V;AOR;1;PL	V;AOR;2;PL	V;AOR;3;PL	V;IMP;2;SG	V;IMP;2;PL	V;NFIN
aldatmaq	aldadıram	aldadırsan	aldadır	aldadırıq	aldadırsınız	aldadırlar	-	-	-	-	-	-	aldadacağam	aldadacaqsan	aldadacaq	aldadacağıq	aldadacaqsınız	aldadacaqlar	aldadaram	aldadarsan	aldadar	aldadarıq	aldadarsınız	aldadarlar	-	aldadalım	-
oyatmaq	oyadıram	oyadırsan	oyadır	oyadırıq	oyadırsınız	oyadırlar	-	-	-	-	-	-	oyadacağam	oyadacaqsan	oyadacaq	oyadacağıq	oyadacaqsınız	oyadacaqlar	oyadaram	oyadarsan	oyadar	oyadarıq	oyadarsınız	oyadarlar	-	oyadalım	-
oymaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	oyacağıq	oyacaqsınız	-	-	-	-	oyarıq	oyarsınız	-	-	-	-
oynatmaq	oynadıram	oynadırsan	oynadır	oynadırıq	oynadırsınız	oynadırlar	-	-	-	-	-	-	oynadacağam	oynadacaqsan	oynadacaq	oynadacağıq	oynadacaqsınız	oynadacaqlar	oynadaram	oynadarsan	oynadar	oynadarıq	oynadarsınız	oynadarlar	-	oynadalım	-
partlatmaq	partladıram	partladırsan	partladır	partladırıq	partladırsınız	partladırlar	-	-	-	-	-	-	partladacağam	partladacaqsan	partladacaq	partladacağıq	partladacaqsınız	partladacaqlar	partladaram	partladarsan	partladar	partladarıq	partladarsınız	partladarlar	-	partladalım	-
paylamaq	paylayrm	paylayrsn	paylayr	paylayr	paylayrsnz	paylayrlr	payladm	payladn	paylad	paylad	payladnz	payladlr	paylaycm	paylaycsn	paylayc	paylayc	paylaycsnz	paylayclr	paylayrm	paylayrsn	paylayr	paylayr	paylayrsnz	paylayrlr	-	paylasnlr	paylam
pozmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pozacağıq	pozacaqsınız	-	-	-	-	pozarıq	pozarsınız	-	-	-	-
pozulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pozulacağıq	pozulacaqsınız	-	-	-	-	pozularıq	pozularsınız	-	-	-	-
pusmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pusacağıq	pusacaqsınız	-	-	-	-	pusarıq	pusarsınız	-	-	-	-
qaynatmaq	qaynadıram	qaynadırsan	qaynadır	qaynadırıq	qaynadırsınız	qaynadırlar	-	-	-	-	-	-	qaynadacağam	qaynadacaqsan	qaynadacaq	qaynadacağıq	qaynadacaqsınız	qaynadacaqlar	qaynadaram	qaynadarsan	qaynadar	qaynadarıq	qaynadarsınız	qaynadarlar	-	qaynadalım	-
qayıtmaq	qayıdıram	qayıdırsan	qayıdır	qayıdırıq	qayıdırsınız	qayıdırlar	-	-	-	-	-	-	qayıdacağam	qayıdacaqsan	qayıdacaq	qayıdacağıq	qayıdacaqsınız	qayıdacaqlar	qayıdaram	qayıdarsan	qayıdar	qayıdarıq	qayıdarsınız	qayıdarlar	-	qayıdalım	-
qocaltmaq	qocaldıram	qocaldırsan	qocaldır	qocaldırıq	qocaldırsınız	qocaldırlar	-	-	-	-	-	-	qocaldacağam	qocaldacaqsan	qocaldacaq	qocaldacağıq	qocaldacaqsınız	qocaldacaqlar	qocaldaram	qocaldarsan	qocaldar	qocaldarıq	qocaldarsınız	qocaldarlar	-	qocaldalım	-
qonmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qonacağıq	qonacaqsınız	-	-	-	-	qonarıq	qonarsınız	-	-	-	-
qopmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qopacağıq	qopacaqsınız	-	-	-	-	qoparıq	qoparsınız	-	-	-	-
qorumaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qoruyacağıq	qoruyacaqsınız	-	-	-	-	qoruyarıq	qoruyarsınız	-	-	-	-
qorunmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qorunacağıq	qorunacaqsınız	-	-	-	-	qorunarıq	qorunarsınız	-	-	-	-
qorxmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qorxacağıq	qorxacaqsınız	-	-	-	-	qorxarıq	qorxarsınız	-	-	-	-
qorxutmaq	qorxuduram	qorxudursan	qorxudur	qorxuduruq	qorxudursunuz	qorxudurlar	-	-	-	-	-	-	qorxudacağam	qorxudacaqsan	qorxudacaq	qorxudacağıq	qorxudacaqsınız	qorxudacaqlar	qorxudaram	qorxudarsan	qorxudar	qorxudarıq	qorxudarsınız	qorxudarlar	-	qorxudalım	-
qorxuzmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qorxuzacağıq	qorxuzacaqsınız	-	-	-	-	qorxuzarıq	qorxuzarsınız	-	-	-	-
qovmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qovacağıq	qovacaqsınız	-	-	-	-	qovarıq	qovarsınız	-	-	-	-
qovulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qovulacağıq	qovulacaqsınız	-	-	-	-	qovularıq	qovularsınız	-	-	-	-
qovurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qovuracağıq	qovuracaqsınız	-	-	-	-	qovurarıq	qovurarsınız	-	-	-	-
qovuşdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qovuşduracağıq	qovuşduracaqsınız	-	-	-	-	qovuşdurarıq	qovuşdurarsınız	-	-	-	-
qovuşmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qovuşacağıq	qovuşacaqsınız	-	-	-	-	qovuşarıq	qovuşarsınız	-	-	-	-
qoxulamaq	qoxulayuram	qoxulayursan	qoxulayur	qoxulayuruq	qoxulayursunuz	qoxulayurlar	qoxuladum	qoxuladun	qoxuladu	qoxuladuq	qoxuladunuz	qoxuladular	-	-	-	-	-	-	-	-	-	-	-	-	-	qoxulasunlar	-
qoxumaq	qoxuyıram	qoxuyırsan	qoxuyır	qoxuyırıq	qoxuyırsınız	qoxuyırlar	qoxudım	qoxudın	qoxudı	qoxudıq	qoxudınız	qoxudılar	-	-	-	qoxuyacağıq	qoxuyacaqsınız	-	-	-	-	qoxuyarıq	qoxuyarsınız	-	-	qoxusınlar	-
qoydurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qoyduracağıq	qoyduracaqsınız	-	-	-	-	qoydurarıq	qoydurarsınız	-	-	-	-
qoymaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qoyacağıq	qoyacaqsınız	-	-	-	-	qoyarıq	qoyarsınız	-	-	-	-
qoyulmaq	qoyulıram	qoyulırsan	qoyulır	qoyulırıq	qoyulırsınız	qoyulırlar	qoyuldım	qoyuldın	qoyuldı	qoyuldıq	qoyuldınız	qoyuldılar	-	-	-	qoyulacağıq	qoyulacaqsınız	-	-	-	-	qoyularıq	qoyularsınız	-	-	qoyulalım	-
qoşmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qoşacağıq	qoşacaqsınız	-	-	-	-	qoşarıq	qoşarsınız	-	-	-	-
qoşulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qoşulacağıq	qoşulacaqsınız	-	-	-	-	qoşularıq	qoşularsınız	-	-	-	-
qudurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	quduracağıq	quduracaqsınız	-	-	-	-	qudurarıq	qudurarsınız	-	-	-	-
quraşmaq	quraşrm	quraşrsn	quraşr	quraşr	quraşrsnz	quraşrlr	quraşdm	quraşdn	quraşd	quraşd	quraşdnz	quraşdlr	quraşcm	quraşcsn	quraşc	quraşc	quraşcsnz	quraşclr	quraşrm	quraşrsn	quraşr	quraşr	quraşrsnz	quraşrlr	-	quraş	quraşm
qurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	quracağıq	quracaqsınız	-	-	-	-	qurarıq	qurarsınız	-	-	-	-
qurtulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qurtulacağıq	qurtulacaqsınız	-	-	-	-	qurtularıq	qurtularsınız	-	-	-	-
qurumaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	quruyacağıq	quruyacaqsınız	-	-	-	-	quruyarıq	quruyarsınız	-	-	-	-
qurutmaq	quruduram	qurudursan	qurudur	quruduruq	qurudursunuz	qurudurlar	-	-	-	-	-	-	qurudacağam	qurudacaqsan	qurudacaq	qurudacağıq	qurudacaqsınız	qurudacaqlar	qurudaram	qurudarsan	qurudar	qurudarıq	qurudarsınız	qurudarlar	-	qurudalım	-
qusmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qusacağıq	qusacaqsınız	-	-	-	-	qusarıq	qusarsınız	-	-	-	-
qızartmaq	qızardıram	qızardırsan	qızardır	qızardırıq	qızardırsınız	qızardırlar	-	-	-	-	-	-	qızardacağam	qızardacaqsan	qızardacaq	qızardacağıq	qızardacaqsınız	qızardacaqlar	qızardaram	qızardarsan	qızardar	qızardarıq	qızardarsınız	qızardarlar	-	qızardalım	-
sarsıtmaq	sarsıdıram	sarsıdırsan	sarsıdır	sarsıdırıq	sarsıdırsınız	sarsıdırlar	-	-	-	-	-	-	sarsıdacağam	sarsıdacaqsan	sarsıdacaq	sarsıdacağıq	sarsıdacaqsınız	sarsıdacaqlar	sarsıdaram	sarsıdarsan	sarsıdar	sarsıdarıq	sarsıdarsınız	sarsıdarlar	-	sarsıdalım	-
satıb-sovmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	satıb-sovacağıq	satıb-sovacaqsınız	-	-	-	-	satıb-sovarıq	satıb-sovarsınız	-	-	-	-
sazlamaq	sazlayrm	sazlayrsn	sazlayr	sazlayr	sazlayrsnz	sazlayrlr	sazladm	sazladn	sazlad	sazlad	sazladnz	sazladlr	sazlaycm	sazlaycsn	sazlayc	sazlayc	sazlaycsnz	sazlayclr	sazlayrm	sazlayrsn	sazlayr	sazlayr	sazlayrsnz	sazlayrlr	-	sazlasnlr	sazlam
sağaltmaq	sağaldıram	sağaldırsan	sağaldır	sağaldırıq	sağaldırsınız	sağaldırlar	-	-	-	-	-	-	sağaldacağam	sağaldacaqsan	sağaldacaq	sağaldacağıq	sağaldacaqsınız	sağaldacaqlar	sağaldaram	sağaldarsan	sağaldar	sağaldarıq	sağaldarsınız	sağaldarlar	-	sağaldalım	-
solmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	solacağıq	solacaqsınız	-	-	-	-	solarıq	solarsınız	-	-	-	-
sormaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	soracağıq	soracaqsınız	-	-	-	-	sorarıq	sorarsınız	-	-	-	-
soruşmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	soruşacağıq	soruşacaqsınız	-	-	-	-	soruşarıq	soruşarsınız	-	-	-	-
sovulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sovulacağıq	sovulacaqsınız	-	-	-	-	sovularıq	sovularsınız	-	-	-	-
sovurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sovuracağıq	sovuracaqsınız	-	-	-	-	sovurarıq	sovurarsınız	-	-	-	-
soxmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	soxacağıq	soxacaqsınız	-	-	-	-	soxarıq	soxarsınız	-	-	-	-
soxulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	soxulacağıq	soxulacaqsınız	-	-	-	-	soxularıq	soxularsınız	-	-	-	-
soxuşdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	soxuşduracağıq	soxuşduracaqsınız	-	-	-	-	soxuşdurarıq	soxuşdurarsınız	-	-	-	-
soymaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	soyacağıq	soyacaqsınız	-	-	-	-	soyarıq	soyarsınız	-	-	-	-
soyumaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	soyuyacağıq	soyuyacaqsınız	-	-	-	-	soyuyarıq	soyuyarsınız	-	-	-	-
soyunmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	soyunacağıq	soyunacaqsınız	-	-	-	-	soyunarıq	soyunarsınız	-	-	-	-
soyutmaq	soyuduram	soyudursan	soyudur	soyuduruq	soyudursunuz	soyudurlar	-	-	-	-	-	-	soyudacağam	soyudacaqsan	soyudacaq	soyudacağıq	soyudacaqsınız	soyudacaqlar	soyudaram	soyudarsan	soyudar	soyudarıq	soyudarsınız	soyudarlar	-	soyudalım	-
susdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	susduracağıq	susduracaqsınız	-	-	-	-	susdurarıq	susdurarsınız	-	-	-	-
susmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	susacağıq	susacaqsınız	-	-	-	-	susarıq	susarsınız	-	-	-	-
sökmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sökəcəyik	sökəcəksiniz	-	-	-	-	sökərik	sökərsiniz	-	-	-	-
söndürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	söndürəcəyik	söndürəcəksiniz	-	-	-	-	söndürərik	söndürərsiniz	-	-	-	-
sönmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sönəcəyik	sönəcəksiniz	-	-	-	-	sönərik	sönərsiniz	-	-	-	-
söymək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	söyəcəyik	söyəcəksiniz	-	-	-	-	söyərik	söyərsiniz	-	-	-	-
sözləşmək	sözləşıram	sözləşırsan	sözləşır	sözləşırıq	sözləşırsınız	sözləşırlar	sözləşdım	sözləşdın	sözləşdı	sözləşdıq	sözləşdınız	sözləşdılar	sözləşacağam	sözləşacaqsan	sözləşacaq	sözləşacağıq	sözləşacaqsınız	sözləşacaqlar	sözləşaram	sözləşarsan	sözləşar	sözləşarıq	sözləşarsınız	sözləşarlar	-	sözləşalım	sözləşmaq
sümürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sümürəcəyik	sümürəcəksiniz	-	-	-	-	sümürərik	sümürərsiniz	-	-	-	-
süpürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	süpürəcəyik	süpürəcəksiniz	-	-	-	-	süpürərik	süpürərsiniz	-	-	-	-
sürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sürəcəyik	sürəcəksiniz	-	-	-	-	sürərik	sürərsiniz	-	-	-	-
sürtmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sürtəcəyik	sürtəcəksiniz	-	-	-	-	sürtərik	sürtərsiniz	-	-	-	-
sürtünmək	sürtünirəm	sürtünirsən	sürtünir	sürtünirik	sürtünirsiniz	sürtünirlər	sürtündim	sürtündin	sürtündi	sürtündik	sürtündiniz	sürtündilər	-	-	-	sürtünəcəyik	sürtünəcəksiniz	-	-	-	-	sürtünərik	sürtünərsiniz	-	-	sürtünin	-
sürümək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sürüyəcəyik	sürüyəcəksiniz	-	-	-	-	sürüyərik	sürüyərsiniz	-	-	-	-
sürünmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sürünəcəyik	sürünəcəksiniz	-	-	-	-	sürünərik	sürünərsiniz	-	-	-	-
sürüşmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sürüşəcəyik	sürüşəcəksiniz	-	-	-	-	sürüşərik	sürüşərsiniz	-	-	-	-
süzmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	süzəcəyik	süzəcəksiniz	-	-	-	-	süzərik	süzərsiniz	-	-	-	-
süzülmək	süzülirəm	süzülirsən	süzülir	süzülirik	süzülirsiniz	süzülirlər	süzüldim	süzüldin	süzüldi	süzüldik	süzüldiniz	süzüldilər	-	-	-	süzüləcəyik	süzüləcəksiniz	-	-	-	-	süzülərik	süzülərsiniz	-	-	süzülin	-
sənədləşdirmək	sənədləşdirıram	sənədləşdirırsan	sənədləşdirır	sənədləşdirırıq	sənədləşdirırsınız	sənədləşdirırlar	sənədləşdirdım	sənədləşdirdın	sənədləşdirdı	sənədləşdirdıq	sənədləşdirdınız	sənədləşdirdılar	sənədləşdiracağam	sənədləşdiracaqsan	sənədləşdiracaq	sənədləşdiracağıq	sənədləşdiracaqsınız	sənədləşdiracaqlar	sənədləşdiraram	sənədləşdirarsan	sənədləşdirar	sənədləşdirarıq	sənədləşdirarsınız	sənədləşdirarlar	-	sənədləşdiralım	sənədləşdirmaq
səpələmək	səpələyıram	səpələyırsan	səpələyır	səpələyırıq	səpələyırsınız	səpələyırlar	səpələdım	səpələdın	səpələdı	səpələdıq	səpələdınız	səpələdılar	səpələyacağam	səpələyacaqsan	səpələyacaq	səpələyacağıq	səpələyacaqsınız	səpələyacaqlar	səpələyaram	səpələyarsan	səpələyar	səpələyarıq	səpələyarsınız	səpələyarlar	-	səpələsınlar	səpələmaq
tanıtmaq	tanıdıram	tanıdırsan	tanıdır	tanıdırıq	tanıdırsınız	tanıdırlar	-	-	-	-	-	-	tanıdacağam	tanıdacaqsan	tanıdacaq	tanıdacağıq	tanıdacaqsınız	tanıdacaqlar	tanıdaram	tanıdarsan	tanıdar	tanıdarıq	tanıdarsınız	tanıdarlar	-	tanıdalım	-
toqquşmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	toqquşacağıq	toqquşacaqsınız	-	-	-	-	toqquşarıq	toqquşarsınız	-	-	-	-
toxumaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	toxuyacağıq	toxuyacaqsınız	-	-	-	-	toxuyarıq	toxuyarsınız	-	-	-	-
toxunmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	toxunacağıq	toxunacaqsınız	-	-	-	-	toxunarıq	toxunarsınız	-	-	-	-
toxunulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	toxunulacağıq	toxunulacaqsınız	-	-	-	-	toxunularıq	toxunularsınız	-	-	-	-
tutdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tutduracağıq	tutduracaqsınız	-	-	-	-	tutdurarıq	tutdurarsınız	-	-	-	-
tutmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tutacağıq	tutacaqsınız	-	-	-	-	tutarıq	tutarsınız	-	-	-	-
tutulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tutulacağıq	tutulacaqsınız	-	-	-	-	tutularıq	tutularsınız	-	-	-	-
tutuşdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tutuşduracağıq	tutuşduracaqsınız	-	-	-	-	tutuşdurarıq	tutuşdurarsınız	-	-	-	-
tökmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tökəcəyik	tökəcəksiniz	-	-	-	-	tökərik	tökərsiniz	-	-	-	-
törətmək	törədirəm	törədirsən	törədir	törədirik	törədirsiniz	törədirlər	-	-	-	-	-	-	törədəcəyəm	törədəcəksən	törədəcək	törədəcəyik	törədəcəksiniz	törədəcəklər	törədərəm	törədərsən	törədər	törədərik	törədərsiniz	törədərlər	-	törədin	-
tüpürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tüpürəcəyik	tüpürəcəksiniz	-	-	-	-	tüpürərik	tüpürərsiniz	-	-	-	-
tərgitmək	tərgidirəm	tərgidirsən	tərgidir	tərgidirik	tərgidirsiniz	tərgidirlər	-	-	-	-	-	-	tərgidəcəyəm	tərgidəcəksən	tərgidəcək	tərgidəcəyik	tərgidəcəksiniz	tərgidəcəklər	tərgidərəm	tərgidərsən	tərgidər	tərgidərik	tərgidərsiniz	tərgidərlər	-	tərgidin	-
tərifləmək	tərifləyıram	tərifləyırsan	tərifləyır	tərifləyırıq	tərifləyırsınız	tərifləyırlar	təriflədım	təriflədın	təriflədı	təriflədıq	təriflədınız	təriflədılar	tərifləyacağam	tərifləyacaqsan	tərifləyacaq	tərifləyacağıq	tərifləyacaqsınız	tərifləyacaqlar	tərifləyaram	tərifləyarsan	tərifləyar	tərifləyarıq	tərifləyarsınız	tərifləyarlar	-	tərifləsınlar	tərifləmaq
ucaltmaq	ucaldıram	ucaldırsan	ucaldır	ucaldırıq	ucaldırsınız	ucaldırlar	-	-	-	-	-	-	ucaldacağam	ucaldacaqsan	ucaldacaq	ucaldacağıq	ucaldacaqsınız	ucaldacaqlar	ucaldaram	ucaldarsan	ucaldar	ucaldarıq	ucaldarsınız	ucaldarlar	-	ucaldalım	-
uddurmaq	uddurıram	uddurırsan	uddurır	uddurırıq	uddurırsınız	uddurırlar	uddurdım	uddurdın	uddurdı	uddurdıq	uddurdınız	uddurdılar	-	-	-	udduracağıq	udduracaqsınız	-	-	-	-	uddurarıq	uddurarsınız	-	-	udduralım	-
udmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	udacağıq	udacaqsınız	-	-	-	-	udarıq	udarsınız	-	-	-	-
uduzmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	uduzacağıq	uduzacaqsınız	-	-	-	-	uduzarıq	uduzarsınız	-	-	-	-
ummaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	umacağıq	umacaqsınız	-	-	-	-	umarıq	umarsınız	-	-	-	-
unutdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	unutduracağıq	unutduracaqsınız	-	-	-	-	unutdurarıq	unutdurarsınız	-	-	-	-
unutmaq	unuduram	unudursan	unudur	unuduruq	unudursunuz	unudurlar	-	-	-	-	-	-	unudacağam	unudacaqsan	unudacaq	unudacağıq	unudacaqsınız	unudacaqlar	unudaram	unudarsan	unudar	unudarıq	unudarsınız	unudarlar	-	unudalım	-
uydurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	uyduracağıq	uyduracaqsınız	-	-	-	-	uydurarıq	uydurarsınız	-	-	-	-
uymaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	uyacağıq	uyacaqsınız	-	-	-	-	uyarıq	uyarsınız	-	-	-	-
uyumaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	uyuyacağıq	uyuyacaqsınız	-	-	-	-	uyuyarıq	uyuyarsınız	-	-	-	-
uyuşmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	uyuşacağıq	uyuşacaqsınız	-	-	-	-	uyuşarıq	uyuşarsınız	-	-	-	-
uzatmaq	uzadıram	uzadırsan	uzadır	uzadırıq	uzadırsınız	uzadırlar	-	-	-	-	-	-	uzadacağam	uzadacaqsan	uzadacaq	uzadacağıq	uzadacaqsınız	uzadacaqlar	uzadaram	uzadarsan	uzadar	uzadarıq	uzadarsınız	uzadarlar	-	uzadalım	-
uçmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	uçacağıq	uçacaqsınız	-	-	-	-	uçarıq	uçarsınız	-	-	-	-
uçurmaq	uçurıram	uçurırsan	uçurır	uçurırıq	uçurırsınız	uçurırlar	uçurdım	uçurdın	uçurdı	uçurdıq	uçurdınız	uçurdılar	-	-	-	uçuracağıq	uçuracaqsınız	-	-	-	-	uçurarıq	uçurarsınız	-	-	uçuralım	-
varlanmaq	varlanirəm	varlanirsən	varlanir	varlanirik	varlanirsiniz	varlanirlər	varlandim	varlandin	varlandi	varlandik	varlandiniz	varlandilər	varlanəcəyəm	varlanəcəksən	varlanəcək	varlanəcəyik	varlanəcəksiniz	varlanəcəklər	varlanərəm	varlanərsən	varlanər	varlanərik	varlanərsiniz	varlanərlər	-	varlanin	varlanmək
vurdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	vurduracağıq	vurduracaqsınız	-	-	-	-	vurdurarıq	vurdurarsınız	-	-	-	-
vurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	vuracağıq	vuracaqsınız	-	-	-	-	vurarıq	vurarsınız	-	-	-	-
vurnuxmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	vurnuxacağıq	vurnuxacaqsınız	-	-	-	-	vurnuxarıq	vurnuxarsınız	-	-	-	-
vurulmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	vurulacağıq	vurulacaqsınız	-	-	-	-	vurularıq	vurularsınız	-	-	-	-
vuruşmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	vuruşacağıq	vuruşacaqsınız	-	-	-	-	vuruşarıq	vuruşarsınız	-	-	-	-
xatırlatmaq	xatırladıram	xatırladırsan	xatırladır	xatırladırıq	xatırladırsınız	xatırladırlar	-	-	-	-	-	-	xatırladacağam	xatırladacaqsan	xatırladacaq	xatırladacağıq	xatırladacaqsınız	xatırladacaqlar	xatırladaram	xatırladarsan	xatırladar	xatırladarıq	xatırladarsınız	xatırladarlar	-	xatırladalım	-
xudahafizləşmək	xudahafizləşıram	xudahafizləşırsan	xudahafizləşır	xudahafizləşırıq	xudahafizləşırsınız	xudahafizləşırlar	xudahafizləşdım	xudahafizləşdın	xudahafizləşdı	xudahafizləşdıq	xudahafizləşdınız	xudahafizləşdılar	xudahafizləşacağam	xudahafizləşacaqsan	xudahafizləşacaq	xudahafizləşacağıq	xudahafizləşacaqsınız	xudahafizləşacaqlar	xudahafizləşaram	xudahafizləşarsan	xudahafizləşar	xudahafizləşarıq	xudahafizləşarsınız	xudahafizləşarlar	-	xudahafizləşalım	xudahafizləşmaq
yanıltmaq	yanıldıram	yanıldırsan	yanıldır	yanıldırıq	yanıldırsınız	yanıldırlar	-	-	-	-	-	-	yanıldacağam	yanıldacaqsan	yanıldacaq	yanıldacağıq	yanıldacaqsınız	yanıldacaqlar	yanıldaram	yanıldarsan	yanıldar	yanıldarıq	yanıldarsınız	yanıldarlar	-	yanıldalım	-
yaratmaq	yaradıram	yaradırsan	yaradır	yaradırıq	yaradırsınız	yaradırlar	-	-	-	-	-	-	yaradacağam	yaradacaqsan	yaradacaq	yaradacağıq	yaradacaqsınız	yaradacaqlar	yaradaram	yaradarsan	yaradar	yaradarıq	yaradarsınız	yaradarlar	-	yaradalım	-
yayımlamaq	yayımlayrm	yayımlayrsn	yayımlayr	yayımlayr	yayımlayrsnz	yayımlayrlr	yayımladm	yayımladn	yayımlad	yayımlad	yayımladnz	yayımladlr	yayımlaycm	yayımlaycsn	yayımlayc	yayımlayc	yayımlaycsnz	yayımlayclr	yayımlayrm	yayımlayrsn	yayımlayr	yayımlayr	yayımlayrsnz	yayımlayrlr	-	yayımlasnlr	yayımlam
yeritmək	yeridirəm	yeridirsən	yeridir	yeridirik	yeridirsiniz	yeridirlər	-	-	-	-	-	-	yeridəcəyəm	yeridəcəksən	yeridəcək	yeridəcəyik	yeridəcəksiniz	yeridəcəklər	yeridərəm	yeridərsən	yeridər	yeridərik	yeridərsiniz	yeridərlər	-	yeridin	-
yolmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yolacağıq	yolacaqsınız	-	-	-	-	yolarıq	yolarsınız	-	-	-	-
yoluxmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yoluxacağıq	yoluxacaqsınız	-	-	-	-	yoluxarıq	yoluxarsınız	-	-	-	-
yonmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yonacağıq	yonacaqsınız	-	-	-	-	yonarıq	yonarsınız	-	-	-	-
