# Tamil verb stems, mined from the kaikki ∩ ThamizhiMorph agreement.
# Tamil conjugation class is lexical, so the stems are stored and the
# engine (src/tam.rs) only stacks the PNG endings.
# Regenerate: python3 scripts/tam/mine_verbs.py
#
# present is the கிற் stem, past the past stem, future the வ்/ப் stem;
# um is the -உம் form, inf the infinitive, imp_pl the plural imperative.
# A `-` cell falls through to the productive weak rule.
# lemma	present	past	future	um	inf	imp_pl
அகப்படு	அகப்படுகிற்	அகப்பட்ட்	அகப்படுவ்	அகப்படும்	அகப்பட	அகப்படுங்கள்
ஓங்கு	ஓங்குகிற்	ஓங்கின்	ஓங்குவ்	ஓங்கும்	ஓங்க	ஓங்குங்கள்
ஓடு	ஓடுகிற்	ஓடின்	ஓடுவ்	ஓடும்	ஓட	ஓடுங்கள்
ஓட்டு	ஓட்டுகிற்	ஓட்டின்	ஓட்டுவ்	ஓட்டும்	ஓட்ட	ஓட்டுங்கள்
ஓது	ஓதுகிற்	ஓதின்	ஓதுவ்	ஓதும்	ஓத	ஓதுங்கள்
ஓய்	ஓய்கிற்	ஓய்ந்த்	ஓய்வ்	ஓயும்	ஓய	ஓயுங்கள்
ஓர்	ஓர்கிற்	ஓர்த்த்	ஓர்ப்ப்	ஓரும்	ஓர்க்க	ஓருங்கள்
கக்கு	கக்குகிற்	கக்கின்	கக்குவ்	கக்கும்	கக்க	கக்குங்கள்
கச	கசக்கிற்	கசந்த்	கசப்ப்	கசக்கும்	கசக்க	கசவுங்கள்
கசக்கு	கசக்குகிற்	கசக்கின்	கசக்குவ்	கசக்கும்	கசக்க	கசக்குங்கள்
கசங்கு	கசங்குகிற்	கசங்கின்	கசங்குவ்	கசங்கும்	கசங்க	கசங்குங்கள்
கசி	கசிகிற்	கசிந்த்	கசிவ்	கசியும்	கசிய	கசியுங்கள்
கட	கடக்கிற்	கடந்த்	கடப்ப்	கடக்கும்	கடக்க	கடவுங்கள்
கடத்து	கடத்துகிற்	கடத்தின்	கடத்துவ்	கடத்தும்	கடத்த	கடத்துங்கள்
கடி	கடிக்கிற்	கடித்த்	கடிப்ப்	கடிக்கும்	கடிக்க	கடியுங்கள்
கடு	கடுகிற்	கடுத்த்	கடுப்ப்	கடுக்கும்	கட	கடுங்கள்
கடை	கடைகிற்	கடைந்த்	கடைவ்	கடையும்	கடைய	கடையுங்கள்
கட்டு	கட்டுகிற்	கட்டின்	கட்டுவ்	கட்டும்	கட்ட	கட்டுங்கள்
கணி	கணிக்கிற்	கணித்த்	கணிப்ப்	கணிக்கும்	கணிக்க	கணியுங்கள்
கண்காணி	கண்காணிக்கிற்	கண்காணித்த்	கண்காணிப்ப்	கண்காணிக்கும்	கண்காணிக்க	கண்காணியுங்கள்
கண்டி	கண்டிக்கிற்	கண்டித்த்	கண்டிப்ப்	கண்டிக்கும்	கண்டிக்க	கண்டியுங்கள்
கதறு	கதறுகிற்	கதறின்	கதறுவ்	கதறும்	கதற	கதறுங்கள்
கதிர்	கதிர்க்கிற்	கதிர்த்த்	கதிர்ப்ப்	கதிர்க்கும்	கதிர்க்க	கதிருங்கள்
கதை	கதைக்கிற்	கதைத்த்	கதைப்ப்	கதைக்கும்	கதைக்க	கதையுங்கள்
கத்தரி	கத்தரிக்கிற்	கத்தரித்த்	கத்தரிப்ப்	கத்தரிக்கும்	கத்தரிக்க	கத்தரியுங்கள்
கத்து	கத்துகிற்	கத்தின்	கத்துவ்	கத்தும்	கத்த	கத்துங்கள்
கனி	கனிகிற்	கனிந்த்	கனிவ்	கனியும்	கனிய	கனியுங்கள்
கனை	கனைகிற்	கனைந்த்	கனைவ்	கனையும்	கனைய	கனையுங்கள்
கமழ்	கமழ்கிற்	கமழ்ந்த்	கமழ்வ்	கமழும்	கமழ	கமழுங்கள்
கருக்கு	கருக்குகிற்	கருக்கின்	கருக்குவ்	கருக்கும்	கருக்க	கருக்குங்கள்
கருது	கருதுகிற்	கருதின்	கருதுவ்	கருதும்	கருத	கருதுங்கள்
கரை	கரைகிற்	கரைத்த்	கரைப்ப்	கரையும்	கரைக்க	கரையுங்கள்
கற	கறக்கிற்	கறந்த்	கறப்ப்	கறக்கும்	கறக்க	கறவுங்கள்
கறுவு	கறுவுகிற்	கறுவின்	கறுவுவ்	கறுவும்	கறுவ	கறுவுங்கள்
கற்பி	கற்பிக்கிற்	கற்பித்த்	கற்பிப்ப்	கற்பிக்கும்	கற்பிக்க	கற்பியுங்கள்
கலக்கு	கலக்குகிற்	கலக்கின்	கலக்குவ்	கலக்கும்	கலக்க	கலக்குங்கள்
கலங்கு	கலங்குகிற்	கலங்கின்	கலங்குவ்	கலங்கும்	கலங்க	கலங்குங்கள்
கலாய்	கலாய்க்கிற்	கலாய்த்த்	கலாய்ப்ப்	கலாய்க்கும்	கலாய்க்க	கலாயுங்கள்
கலை	கலைகிற்	கலைத்த்	கலைப்ப்	கலையும்	கலைக்க	கலையுங்கள்
கல்	கற்கிற்	கற்ற்	கற்ப்	கற்கும்	கற்க	கல்லுங்கள்
களி	களிக்கிற்	களித்த்	களிப்ப்	களிக்கும்	களிக்க	களியுங்கள்
களை	களைகிற்	களைத்த்	களைப்ப்	களையும்	களைக்க	களையுங்கள்
கள்	கட்கிற்	கட்ட்	கட்ப்	கட்கும்	கட்க	கள்ளுங்கள்
கழற்று	கழற்றுகிற்	கழற்றின்	கழற்றுவ்	கழற்றும்	கழற்ற	கழற்றுங்கள்
கழல்	கழல்கிற்	கழன்ற்	கழல்வ்	கழலும்	கழல	கழலுங்கள்
கழி	கழிகிற்	கழித்த்	கழிப்ப்	கழியும்	கழிக்க	கழியுங்கள்
கழுவு	கழுவுகிற்	கழுவின்	கழுவுவ்	கழுவும்	கழுவ	கழுவுங்கள்
கவர்	கவர்கிற்	கவர்த்த்	கவர்ப்ப்	கவரும்	கவர்க்க	கவருங்கள்
கவிழ்	கவிழ்கிற்	கவிழ்த்த்	கவிழ்ப்ப்	கவிழும்	கவிழ	கவிழுங்கள்
கா	காக்கிற்	காத்த்	காப்ப்	காக்கும்	காக்க	காவுங்கள்
காட்டு	காட்டுகிற்	காட்டின்	காட்டுவ்	காட்டும்	காட்ட	காட்டுங்கள்
காண்	காண்கிற்	கண்ட்	காண்ப்	காணும்	காண	காணுங்கள்
காதலி	காதலிக்கிற்	காதலித்த்	காதலிப்ப்	காதலிக்கும்	காதலிக்க	காதலியுங்கள்
காது	காதுகிற்	காதின்	காதுவ்	காதும்	காத	காதுங்கள்
காமி	காமிக்கிற்	காமித்த்	காமிப்ப்	காமிக்கும்	காமிக்க	காமியுங்கள்
காய்	காய்கிற்	காய்த்த்	காய்ப்ப்	காயும்	காய்க்க	காயுங்கள்
காய்ச்சு	காய்ச்சுகிற்	காய்ச்சின்	காய்ச்சுவ்	காய்ச்சும்	காய்ச்ச	காய்ச்சுங்கள்
கார்	கார்க்கிற்	கார்த்த்	கார்ப்ப்	கார்க்கும்	கார்க்க	காருங்கள்
கிட	கிடக்கிற்	கிடந்த்	கிடப்ப்	கிடக்கும்	கிடக்க	கிடவுங்கள்
கிடப்பு	கிடப்புகிற்	கிடப்பின்	கிடப்புவ்	கிடப்பும்	கிடப்ப	கிடப்புங்கள்
கிடை	கிடைக்கிற்	கிடைத்த்	கிடைப்ப்	கிடைக்கும்	கிடைக்க	கிடையுங்கள்
கிட்டு	கிட்டுகிற்	கிட்டின்	கிட்டுவ்	கிட்டும்	கிட்ட	கிட்டுங்கள்
கிண்டு	கிண்டுகிற்	கிண்டின்	கிண்டுவ்	கிண்டும்	கிண்ட	கிண்டுங்கள்
கிரகி	கிரகிக்கிற்	கிரகித்த்	கிரகிப்ப்	கிரகிக்கும்	கிரகிக்க	கிரகியுங்கள்
கிரீடி	கிரீடிக்கிற்	கிரீடித்த்	கிரீடிப்ப்	கிரீடிக்கும்	கிரீடிக்க	கிரீடியுங்கள்
கிறுக்கு	கிறுக்குகிற்	கிறுக்கின்	கிறுக்குவ்	கிறுக்கும்	கிறுக்க	கிறுக்குங்கள்
கில்	கிற்கிற்	கின்ற்	கிற்ப்	கிற்கும்	கிற்க	கில்லுங்கள்
கிள	கிளக்கிற்	கிளந்த்	கிளப்ப்	கிளக்கும்	கிளக்க	கிளவுங்கள்
கிளப்பு	கிளப்புகிற்	கிளப்பின்	கிளப்புவ்	கிளப்பும்	கிளப்ப	கிளப்புங்கள்
கிளம்பு	கிளம்புகிற்	கிளம்பின்	கிளம்புவ்	கிளம்பும்	கிளம்ப	கிளம்புங்கள்
கிளர்	கிளர்கிற்	கிளர்ந்த்	கிளர்வ்	கிளரும்	கிளர	கிளருங்கள்
கிளறு	கிளறுகிற்	கிளறின்	கிளறுவ்	கிளறும்	கிளற	கிளறுங்கள்
கிளை	கிளைகிற்	கிளைத்த்	கிளைப்ப்	கிளையும்	கிளைக்க	கிளையுங்கள்
கிள்ளு	கிள்ளுகிற்	கிள்ளின்	கிள்ளுவ்	கிள்ளும்	கிள்ள	கிள்ளுங்கள்
கிழி	கிழிகிற்	கிழித்த்	கிழிப்ப்	கிழியும்	கிழிக்க	கிழியுங்கள்
கீறு	கீறுகிற்	கீறின்	கீறுவ்	கீறும்	கீற	கீறுங்கள்
குடி	குடிக்கிற்	குடித்த்	குடிப்ப்	குடிக்கும்	குடிக்க	குடியுங்கள்
குடுகுடு	குடுகுடுக்கிற்	குடுகுடுத்த்	குடுகுடுப்ப்	குடுகுடுக்கும்	குடுகுடுக்க	குடுகுடுங்கள்
குடை	குடைகிற்	குடைந்த்	குடைவ்	குடையும்	குடைய	குடையுங்கள்
குதறு	குதறுகிற்	குதறின்	குதறுவ்	குதறும்	குதற	குதறுங்கள்
குதி	குதிக்கிற்	குதித்த்	குதிப்ப்	குதிக்கும்	குதிக்க	குதியுங்கள்
குத்து	குத்துகிற்	குத்தின்	குத்துவ்	குத்தும்	குத்த	குத்துங்கள்
குந்து	குந்துகிற்	குந்தின்	குந்துவ்	குந்தும்	குந்த	குந்துங்கள்
குனி	குனிகிற்	குனிந்த்	குனிவ்	குனியும்	குனிய	குனியுங்கள்
குன்று	குன்றுகிற்	குன்றின்	குன்றுவ்	குன்றும்	குன்ற	குன்றுங்கள்
குமட்டு	குமட்டுகிற்	குமட்டின்	குமட்டுவ்	குமட்டும்	குமட்ட	குமட்டுங்கள்
குமிழி	குமிழிக்கிற்	குமிழித்த்	குமிழிப்ப்	குமிழிக்கும்	குமிழிக்க	குமிழியுங்கள்
குமுறு	குமுறுகிற்	குமுறின்	குமுறுவ்	குமுறும்	குமுற	குமுறுங்கள்
குயில்	குயில்கிற்	குயின்ற்	குயில்வ்	குயிலும்	குயில	குயிலுங்கள்
குரங்கு	குரங்குகிற்	குரங்கின்	குரங்குவ்	குரங்கும்	குரங்க	குரங்குங்கள்
குறி	குறிக்கிற்	குறித்த்	குறிப்ப்	குறிக்கும்	குறிக்க	குறியுங்கள்
குறு	குறுகிற்	குறுத்த்	குறுப்ப்	குறுக்கும்	குற	குறுங்கள்
குறுகு	குறுகுகிற்	குறுகின்	குறுகுவ்	குறுகும்	குறுக	குறுகுங்கள்
குறுகுறு	குறுகுறுக்கிற்	குறுகுறுத்த்	குறுகுறுப்ப்	குறுகுறுக்கும்	குறுகுறுக்க	குறுகுறுங்கள்
குறுக்கு	குறுக்குகிற்	குறுக்கின்	குறுக்குவ்	குறுக்கும்	குறுக்க	குறுக்குங்கள்
குறை	குறைகிற்	குறைத்த்	குறைப்ப்	குறையும்	குறைக்க	குறையுங்கள்
குற்று	குற்றுகிற்	குற்றின்	குற்றுவ்	குற்றும்	குற்ற	குற்றுங்கள்
குலுக்கு	குலுக்குகிற்	குலுக்கின்	குலுக்குவ்	குலுக்கும்	குலுக்க	குலுக்குங்கள்
குலுங்கு	குலுங்குகிற்	குலுங்கின்	குலுங்குவ்	குலுங்கும்	குலுங்க	குலுங்குங்கள்
குலை	குலைக்கிற்	குலைத்த்	குலைப்ப்	குலைக்கும்	குலைக்க	குலையுங்கள்
குளி	குளிக்கிற்	குளித்த்	குளிப்ப்	குளிக்கும்	குளிக்க	குளியுங்கள்
குளிர்	குளிர்கிற்	குளிர்ந்த்	குளிர்வ்	குளிரும்	குளிர	குளிருங்கள்
குழம்பு	குழம்புகிற்	குழம்பின்	குழம்புவ்	குழம்பும்	குழம்ப	குழம்புங்கள்
குழல்	குழல்கிற்	குழன்ற்	குழல்வ்	குழலும்	குழல	குழலுங்கள்
குழி	குழிகிற்	குழித்த்	குழிப்ப்	குழியும்	குழிக்க	குழியுங்கள்
குழை	குழைகிற்	குழைத்த்	குழைப்ப்	குழையும்	குழைக்க	குழையுங்கள்
கூசு	கூசுகிற்	கூசின்	கூசுவ்	கூசும்	கூச	கூசுங்கள்
கூடு	கூடுகிற்	கூடின்	கூடுவ்	கூடும்	கூட	கூடுங்கள்
கூட்டு	கூட்டுகிற்	கூட்டின்	கூட்டுவ்	கூட்டும்	கூட்ட	கூட்டுங்கள்
கூனு	கூனுகிற்	கூனின்	கூனுவ்	கூனும்	கூன	கூனுங்கள்
கூறு	கூறுகிற்	கூறின்	கூறுவ்	கூறும்	கூற	கூறுங்கள்
கூவு	கூவுகிற்	கூவின்	கூவுவ்	கூவும்	கூவ	கூவுங்கள்
கெஞ்சு	கெஞ்சுகிற்	கெஞ்சின்	கெஞ்சுவ்	கெஞ்சும்	கெஞ்ச	கெஞ்சுங்கள்
கெடு	கெடுகிற்	கெட்ட்	கெடுவ்	கெடும்	கெட	கெடுங்கள்
கெட்டி	கெட்டிக்கிற்	கெட்டித்த்	கெட்டிப்ப்	கெட்டிக்கும்	கெட்டிக்க	கெட்டியுங்கள்
கெலி	கெலிக்கிற்	கெலித்த்	கெலிப்ப்	கெலிக்கும்	கெலிக்க	கெலியுங்கள்
கேள்	கேட்கிற்	கேட்ட்	கேட்ப்	கேட்கும்	கேட்க	கேளுங்கள்
கை	கைக்கிற்	கைத்த்	கைப்ப்	கைக்கும்	கைக்க	கையுங்கள்
கொக்கரி	கொக்கரிக்கிற்	கொக்கரித்த்	கொக்கரிப்ப்	கொக்கரிக்கும்	கொக்கரிக்க	கொக்கரியுங்கள்
கொஞ்சு	கொஞ்சுகிற்	கொஞ்சின்	கொஞ்சுவ்	கொஞ்சும்	கொஞ்ச	கொஞ்சுங்கள்
கொட்டு	கொட்டுகிற்	கொட்டின்	கொட்டுவ்	கொட்டும்	கொட்ட	கொட்டுங்கள்
கொதி	கொதிக்கிற்	கொதித்த்	கொதிப்ப்	கொதிக்கும்	கொதிக்க	கொதியுங்கள்
கொத்து	கொத்துகிற்	கொத்தின்	கொத்துவ்	கொத்தும்	கொத்த	கொத்துங்கள்
கொந்தளி	கொந்தளிக்கிற்	கொந்தளித்த்	கொந்தளிப்ப்	கொந்தளிக்கும்	கொந்தளிக்க	கொந்தளியுங்கள்
கொப்பளி	கொப்பளிக்கிற்	கொப்பளித்த்	கொப்பளிப்ப்	கொப்பளிக்கும்	கொப்பளிக்க	கொப்பளியுங்கள்
கொப்புளி	கொப்புளிக்கிற்	கொப்புளித்த்	கொப்புளிப்ப்	கொப்புளிக்கும்	கொப்புளிக்க	கொப்புளியுங்கள்
கொய்	கொய்கிற்	கொய்த்	கொய்வ்	கொய்யும்	கொய்ய	கொய்யுங்கள்
கொறி	கொறிக்கிற்	கொறித்த்	கொறிப்ப்	கொறிக்கும்	கொறிக்க	கொறியுங்கள்
கொல்	கொல்கிற்	கொன்ற்	கொல்வ்	கொல்லும்	கொல்ல	கொல்லுங்கள்
கொளுத்து	கொளுத்துகிற்	கொளுத்தின்	கொளுத்துவ்	கொளுத்தும்	கொளுத்த	கொளுத்துங்கள்
கொள்	கொள்கிற்	கொண்ட்	கொள்வ்	கொள்ளும்	கொள்ள	கொள்ளுங்கள்
கொழுந்து	கொழுந்துகிற்	கொழுந்தின்	கொழுந்துவ்	கொழுந்தும்	கொழுந்த	கொழுந்துங்கள்
கோடு	கோடுகிற்	கோடின்	கோடுவ்	கோடும்	கோட	கோடுங்கள்
கோணு	கோணுகிற்	கோணின்	கோணுவ்	கோணும்	கோண	கோணுங்கள்
கோது	கோதுகிற்	கோதின்	கோதுவ்	கோதும்	கோத	கோதுங்கள்
கோபி	கோபிக்கிற்	கோபித்த்	கோபிப்ப்	கோபிக்கும்	கோபிக்க	கோபியுங்கள்
கோரு	கோருகிற்	கோரின்	கோருவ்	கோரும்	கோர	கோருங்கள்
கௌவு	கௌவுகிற்	கௌவின்	கௌவுவ்	கௌவும்	கௌவ	கௌவுங்கள்
சகி	சகிக்கிற்	சகித்த்	சகிப்ப்	சகிக்கும்	சகிக்க	சகியுங்கள்
சங்கிரகி	சங்கிரகிக்கிற்	சங்கிரகித்த்	சங்கிரகிப்ப்	சங்கிரகிக்கும்	சங்கிரகிக்க	சங்கிரகியுங்கள்
சதி	சதிக்கிற்	சதித்த்	சதிப்ப்	சதிக்கும்	சதிக்க	சதியுங்கள்
சத்தி	சத்திக்கிற்	சத்தித்த்	சத்திப்ப்	சத்திக்கும்	சத்திக்க	சத்தியுங்கள்
சந்தி	சந்திக்கிற்	சந்தித்த்	சந்திப்ப்	சந்திக்கும்	சந்திக்க	சந்தியுங்கள்
சனி	சனிக்கிற்	சனித்த்	சனிப்ப்	சனிக்கும்	சனிக்க	சனியுங்கள்
சபி	சபிக்கிற்	சபித்த்	சபிப்ப்	சபிக்கும்	சபிக்க	சபியுங்கள்
சப்பு	சப்புகிற்	சப்பின்	சப்புவ்	சப்பும்	சப்ப	சப்புங்கள்
சமர்ப்பி	சமர்ப்பிக்கிற்	சமர்ப்பித்த்	சமர்ப்பிப்ப்	சமர்ப்பிக்கும்	சமர்ப்பிக்க	சமர்ப்பியுங்கள்
சமாளி	சமாளிக்கிற்	சமாளித்த்	சமாளிப்ப்	சமாளிக்கும்	சமாளிக்க	சமாளியுங்கள்
சமை	சமைக்கிற்	சமைத்த்	சமைப்ப்	சமைக்கும்	சமைக்க	சமையுங்கள்
சம்பவி	சம்பவிக்கிற்	சம்பவித்த்	சம்பவிப்ப்	சம்பவிக்கும்	சம்பவிக்க	சம்பவியுங்கள்
சம்பாதி	சம்பாதிக்கிற்	சம்பாதித்த்	சம்பாதிப்ப்	சம்பாதிக்கும்	சம்பாதிக்க	சம்பாதியுங்கள்
சம்மதி	சம்மதிக்கிற்	சம்மதித்த்	சம்மதிப்ப்	சம்மதிக்கும்	சம்மதிக்க	சம்மதியுங்கள்
சரி	சரிகிற்	சரித்த்	சரிப்ப்	சரியும்	சரிக்க	சரியுங்கள்
சறுக்கு	சறுக்குகிற்	சறுக்கின்	சறுக்குவ்	சறுக்கும்	சறுக்க	சறுக்குங்கள்
சலி	சலிக்கிற்	சலித்த்	சலிப்ப்	சலிக்கும்	சலிக்க	சலியுங்கள்
சளை	சளைக்கிற்	சளைத்த்	சளைப்ப்	சளைக்கும்	சளைக்க	சளையுங்கள்
சவை	சவைக்கிற்	சவைத்த்	சவைப்ப்	சவைக்கும்	சவைக்க	சவையுங்கள்
சா	சாகிற்	செத்த்	சாவ்	சாகும்	சாக	சாகுங்கள்
சாதி	சாதிக்கிற்	சாதித்த்	சாதிப்ப்	சாதிக்கும்	சாதிக்க	சாதியுங்கள்
சாத்து	சாத்துகிற்	சாத்தின்	சாத்துவ்	சாத்தும்	சாத்த	சாத்துங்கள்
சாய்	சாய்கிற்	சாய்த்த்	சாய்ப்ப்	சாயும்	சாய்க்க	சாயுங்கள்
சார்	சார்கிற்	சார்ந்த்	சார்வ்	சாரும்	சார	சாருங்கள்
சார்த்து	சார்த்துகிற்	சார்த்தின்	சார்த்துவ்	சார்த்தும்	சார்த்த	சார்த்துங்கள்
சால்	சால்கிற்	சான்ற்	சால்வ்	சாலும்	சால	சாலுங்கள்
சிக்கு	சிக்குகிற்	சிக்கின்	சிக்குவ்	சிக்கும்	சிக்க	சிக்குங்கள்
சிணுங்கு	சிணுங்குகிற்	சிணுங்கின்	சிணுங்குவ்	சிணுங்கும்	சிணுங்க	சிணுங்குங்கள்
சிதறு	சிதறுகிற்	சிதறின்	சிதறுவ்	சிதறும்	சிதற	சிதறுங்கள்
சித்தி	சித்திக்கிற்	சித்தித்த்	சித்திப்ப்	சித்திக்கும்	சித்திக்க	சித்தியுங்கள்
சிந்தி	சிந்திக்கிற்	சிந்தித்த்	சிந்திப்ப்	சிந்திக்கும்	சிந்திக்க	சிந்தியுங்கள்
சிந்து	சிந்துகிற்	சிந்தின்	சிந்துவ்	சிந்தும்	சிந்த	சிந்துங்கள்
சிமிட்டு	சிமிட்டுகிற்	சிமிட்டின்	சிமிட்டுவ்	சிமிட்டும்	சிமிட்ட	சிமிட்டுங்கள்
சிராய்	சிராய்க்கிற்	சிராய்த்த்	சிராய்ப்ப்	சிராய்க்கும்	சிராய்க்க	சிராயுங்கள்
சிரி	சிரிக்கிற்	சிரித்த்	சிரிப்ப்	சிரிக்கும்	சிரிக்க	சிரியுங்கள்
சிற	சிறக்கிற்	சிறந்த்	சிறப்ப்	சிறக்கும்	சிறக்க	சிறவுங்கள்
சிறு	சிறுக்கிற்	சிறுத்த்	சிறுப்ப்	சிறுக்கும்	சிறுக்க	சிறுங்கள்
சிலம்பு	சிலம்புகிற்	சிலம்பின்	சிலம்புவ்	சிலம்பும்	சிலம்ப	சிலம்புங்கள்
சிலாகி	சிலாகிக்கிற்	சிலாகித்த்	சிலாகிப்ப்	சிலாகிக்கும்	சிலாகிக்க	சிலாகியுங்கள்
சிலிர்	சிலிர்க்கிற்	சிலிர்த்த்	சிலிர்ப்ப்	சிலிர்க்கும்	சிலிர்க்க	சிலிருங்கள்
சீ	சீக்கிற்	சீத்த்	சீப்ப்	சீக்கும்	சீக்க	சீயுங்கள்
சீண்டு	சீண்டுகிற்	சீண்டின்	சீண்டுவ்	சீண்டும்	சீண்ட	சீண்டுங்கள்
சீந்து	சீந்துகிற்	சீந்தின்	சீந்துவ்	சீந்தும்	சீந்த	சீந்துங்கள்
சீரணி	சீரணிக்கிற்	சீரணித்த்	சீரணிப்ப்	சீரணிக்கும்	சீரணிக்க	சீரணியுங்கள்
சீறு	சீறுகிற்	சீறின்	சீறுவ்	சீறும்	சீற	சீறுங்கள்
சீவி	சீவிக்கிற்	சீவித்த்	சீவிப்ப்	சீவிக்கும்	சீவிக்க	சீவியுங்கள்
சீவு	சீவுகிற்	சீவின்	சீவுவ்	சீவும்	சீவ	சீவுங்கள்
சுக்கு	சுக்குகிற்	சுக்கின்	சுக்குவ்	சுக்கும்	சுக்க	சுக்குங்கள்
சுடு	சுடுகிற்	சுட்ட்	சுடுவ்	சுடும்	சுட	சுடுங்கள்
சுட்டு	சுட்டுகிற்	சுட்டின்	சுட்டுவ்	சுட்டும்	சுட்ட	சுட்டுங்கள்
சுண்டு	சுண்டுகிற்	சுண்டின்	சுண்டுவ்	சுண்டும்	சுண்ட	சுண்டுங்கள்
சும	சுமக்கிற்	சுமந்த்	சுமப்ப்	சுமக்கும்	சுமக்க	சுமவுங்கள்
சுமத்து	சுமத்துகிற்	சுமத்தின்	சுமத்துவ்	சுமத்தும்	சுமத்த	சுமத்துங்கள்
சுரண்டு	சுரண்டுகிற்	சுரண்டின்	சுரண்டுவ்	சுரண்டும்	சுரண்ட	சுரண்டுங்கள்
சுருக்கு	சுருக்குகிற்	சுருக்கின்	சுருக்குவ்	சுருக்கும்	சுருக்க	சுருக்குங்கள்
சுருங்கு	சுருங்குகிற்	சுருங்கின்	சுருங்குவ்	சுருங்கும்	சுருங்க	சுருங்குங்கள்
சுருட்டு	சுருட்டுகிற்	சுருட்டின்	சுருட்டுவ்	சுருட்டும்	சுருட்ட	சுருட்டுங்கள்
சுருள்	சுருள்கிற்	சுருண்ட்	சுருள்வ்	சுருளும்	சுருள	சுருளுங்கள்
சுற்று	சுற்றுகிற்	சுற்றின்	சுற்றுவ்	சுற்றும்	சுற்ற	சுற்றுங்கள்
சுளுக்கு	சுளுக்குகிற்	சுளுக்கின்	சுளுக்குவ்	சுளுக்கும்	சுளுக்க	சுளுக்குங்கள்
சுழற்று	சுழற்றுகிற்	சுழற்றின்	சுழற்றுவ்	சுழற்றும்	சுழற்ற	சுழற்றுங்கள்
சுழல்	சுழல்கிற்	சுழன்ற்	சுழல்வ்	சுழலும்	சுழல	சுழலுங்கள்
சுழி	சுழிகிற்	சுழிந்த்	சுழிவ்	சுழியும்	சுழிக்க	சுழியுங்கள்
சுவை	சுவைக்கிற்	சுவைத்த்	சுவைப்ப்	சுவைக்கும்	சுவைக்க	சுவையுங்கள்
சூடு	சூடுகிற்	சூடின்	சூடுவ்	சூடும்	சூட	சூடுங்கள்
சூம்பு	சூம்புகிற்	சூம்பின்	சூம்புவ்	சூம்பும்	சூம்ப	சூம்புங்கள்
சூழ்	சூழ்கிற்	சூழ்ந்த்	சூழ்வ்	சூழும்	சூழ	சூழுங்கள்
செடி	செடிக்கிற்	செடித்த்	செடிப்ப்	செடிக்கும்	செடிக்க	செடியுங்கள்
செதுக்கு	செதுக்குகிற்	செதுக்கின்	செதுக்குவ்	செதுக்கும்	செதுக்க	செதுக்குங்கள்
செத்து	செத்துகிற்	செத்தின்	செத்துவ்	செத்தும்	செத்த	செத்துங்கள்
செப்பு	செப்புகிற்	செப்பின்	செப்புவ்	செப்பும்	செப்ப	செப்புங்கள்
செயி	செயிக்கிற்	செயித்த்	செயிப்ப்	செயிக்கும்	செயிக்க	செயியுங்கள்
செய்	செய்கிற்	செய்த்	செய்வ்	செய்யும்	செய்ய	செய்யுங்கள்
செரி	செரிக்கிற்	செரித்த்	செரிப்ப்	செரிக்கும்	செரிக்க	செரியுங்கள்
செறி	செறிகிற்	செறித்த்	செறிப்ப்	செறியும்	செறிக்க	செறியுங்கள்
செறு	செறுக்கிற்	செறுத்த்	செறுப்ப்	செறுக்கும்	செறுக்க	செறுங்கள்
செலுத்து	செலுத்துகிற்	செலுத்தின்	செலுத்துவ்	செலுத்தும்	செலுத்த	செலுத்துங்கள்
செல்	செல்கிற்	சென்ற்	செல்வ்	செல்லும்	செல்ல	செல்லுங்கள்
செழி	செழிக்கிற்	செழித்த்	செழிப்ப்	செழிக்கும்	செழிக்க	செழியுங்கள்
செவ	செவக்கிற்	செவந்த்	செவப்ப்	செவக்கும்	செவக்க	செவவுங்கள்
சேமி	சேமிக்கிற்	சேமித்த்	சேமிப்ப்	சேமிக்கும்	சேமிக்க	சேமியுங்கள்
சேர்	சேர்கிற்	சேர்த்த்	சேர்ப்ப்	சேரும்	சேர்க்க	சேருங்கள்
சொக்கு	சொக்குகிற்	சொக்கின்	சொக்குவ்	சொக்கும்	சொக்க	சொக்குங்கள்
சொடக்கு	சொடக்குகிற்	சொடக்கின்	சொடக்குவ்	சொடக்கும்	சொடக்க	சொடக்குங்கள்
சொட்டு	சொட்டுகிற்	சொட்டின்	சொட்டுவ்	சொட்டும்	சொட்ட	சொட்டுங்கள்
சொரி	சொரிகிற்	சொரிந்த்	சொரிவ்	சொரியும்	சொரிய	சொரியுங்கள்
சொறி	சொறிகிற்	சொறிந்த்	சொறிவ்	சொறியும்	சொறிய	சொறியுங்கள்
சொல்	சொல்கிற்	சொன்ன்	சொல்வ்	சொல்லும்	சொல்ல	சொல்லுங்கள்
சோம்பு	சோம்புகிற்	சோம்பின்	சோம்புவ்	சோம்பும்	சோம்ப	சோம்புங்கள்
சோர்	சோர்கிற்	சோர்ந்த்	சோர்வ்	சோரும்	சோர்க்க	சோருங்கள்
ஞெகிழ்	ஞெகிழ்கிற்	ஞெகிழ்ந்த்	ஞெகிழ்வ்	ஞெகிழும்	ஞெகிழ	ஞெகிழுங்கள்
தகர்	தகர்கிற்	தகர்த்த்	தகர்ப்ப்	தகரும்	தகர்க்க	தகருங்கள்
