# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;PST;SG;MASC	V;PST;SG;FEM	V;PST;SG;NEUT	V;PST;PL	V;IMP;2;SG	V;IMP;2;PL  ("-" = productive default)
наказаць	-	-	-	-	-	-	накажу	накажаш	накажа	накажам	накажаце	накажуць	-	-	-	-	накажы	накажыце
накрыць	-	-	-	-	-	-	накрыю	накрыеш	накрые	накрыем	накрыеце	накрыюць	-	-	-	-	накрый	накрыйце
напасці	-	-	-	-	-	-	нападу	нападзеш	нападзе	нападзём	нападзяце	нападуць	напаў	напала	напало	напалі	нападзі	нападзіце
напляваць	-	-	-	-	-	-	-	-	-	наплюём	наплюяце	-	-	-	-	-	-	-
напісаць	-	-	-	-	-	-	напішу	напішаш	напіша	напішам	напішаце	напішуць	-	-	-	-	напішы	напішыце
нарадзіць	-	-	-	-	-	-	нараджу	народзіш	народзіць	народзім	народзіце	народзяць	-	-	-	-	-	-
насіць	нашу	носіш	носіць	носім	носіце	носяць	-	-	-	-	-	-	-	-	-	-	-	-
начарціць	-	-	-	-	-	-	начарчу	начэрціш	начэрціць	начэрцім	начэрціце	начэрцяць	-	-	-	-	-	-
ненавідзець	ненавіджу	ненавідзіш	ненавідзіць	ненавідзім	ненавідзіце	ненавідзяць	-	-	-	-	-	-	-	-	-	-	ненавідзь	ненавідзьце
несці	нясу	нясеш	нясе	нясём	несяце	нясуць	-	-	-	-	-	-	нёс	несла	несла	неслі	нясі	нясіце
пабіць	-	-	-	-	-	-	паб'ю	паб'еш	паб'е	паб'ём	паб'яце	паб'юць	-	-	-	-	-	-
павадзіць	-	-	-	-	-	-	паваджу	паводзіш	паводзіць	паводзім	паводзіце	паводзяць	-	-	-	-	-	-
павазіць	-	-	-	-	-	-	паважу	павозіш	павозіць	павозім	павозіце	павозяць	павазі	-	-	-	павазіў	-
паведаміць	-	-	-	-	-	-	паведамлю	-	-	-	-	-	-	-	-	-	паведамь	паведамьце
павезці	-	-	-	-	-	-	павязу	павязеш	павязе	павязём	павязеце	павязуць	павёз	павезла	павезла	павезлі	павязі	павязіце
паверыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	павер	паверце
павесці	-	-	-	-	-	-	павяду	павядзеш	павядзе	павядзём	павядзеце	павядуць	павёў	павяла	павяло	павялі	павядзі	павядзіце
павесіць	-	-	-	-	-	-	павешу	-	-	-	-	-	-	-	-	-	павесь	павесьце
павісець	-	-	-	-	-	-	павішу	павісіш	павісіць	павісім	павісіце	павісяць	-	-	-	-	павісі	павісіце
пагаварыць	-	-	-	-	-	-	-	пагаворыш	пагаворыць	пагаворым	пагаворыце	пагавораць	-	-	-	-	-	-
паглынуць	-	-	-	-	-	-	-	-	-	паглынём	паглыняце	-	-	-	-	-	-	-
паглядзець	-	-	-	-	-	-	пагляджу	паглядзіш	паглядзіць	паглядзім	паглядзіце	паглядзяць	-	-	-	-	паглядзі	паглядзіце
пагнаць	-	-	-	-	-	-	паганю	пагоніш	пагоніць	пагонім	пагоніце	пагоняць	-	-	-	-	пагані	паганіце
пагоршыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	пагорш	пагоршце
падабацца	падабаюся	падабаешся	падабаецца	падабаемся	падабаецеся	падабаюцца	-	-	-	-	-	-	падабаўся	падабалася	падабалася	падабаліся	падабайся	падабайцеся
падарыць	-	-	-	-	-	-	-	падорыш	падорышць	падорышм	падорышце	падораць	-	-	-	-	-	-
падзейнічаць	-	-	-	-	-	-	-	-	падзейнічаець	-	-	-	-	-	-	-	-	-
падзяліцца	-	-	-	-	-	-	падзялюся	падзелішся	падзеліцца	падзелімся	падзеліцеся	падзеляцца	падзяліўся	падзялілася	падзялілася	падзяліліся	падзяліся	падзяліцеся
падняць	-	-	-	-	-	-	падніму	паднімеш	падніме	паднімем	паднімеце	паднімуць	-	-	падняло	-	паднімі	падніміце
падпісаць	-	-	-	-	-	-	падпішу	падпішаш	падпіша	падпішам	падпішаце	падпішуць	-	-	-	-	падпішы	падпішыце
паездзіць	-	-	-	-	-	-	паезджу	-	-	-	-	-	-	-	-	-	-	-
паехаць	-	-	-	-	-	-	паеду	паедзеш	паедзе	паедзем	паедзеце	паедуць	-	-	-	-	паедзь	паедзьце
пажадаць	-	-	-	-	-	-	-	-	-	-	-	пажадаю	-	-	-	-	-	-
пазваніць	-	-	-	-	-	-	-	пазвоніш	пазвоніць	пазвонім	пазвоніце	пазвоняць	-	-	-	-	-	-
пазваць	-	-	-	-	-	-	пазаву	пазавеш	пазаве	пазавём	пазавяце	пазавуць	-	-	-	-	пазаві	пазавіце
пазначыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	пазнач	пазначце
пазнаёміць	-	-	-	-	-	-	пазнаёмлю	-	-	-	-	-	-	-	-	-	пазнаёмь	пазнаёмьце
пазычыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	пазыч	пазычце
пайсці	-	-	-	-	-	-	пайду	пойдзеш	пойдзе	пойдзем	пойдзеце	пойдуць	пайшоў	пайшла	пайшло	пайшлі	пайдзі	пайдзіце
паказаць	-	-	-	-	-	-	пакажу	пакажаш	пакажа	пакажам	пакажаце	пакажуць	-	-	-	-	пакажы	пакажыце
пакласці	-	-	-	-	-	-	пакладу	пакладзеш	пакладзе	пакладзём	пакладзяце	пакладуць	паклаў	паклала	паклала	паклалі	пакладзі	пакладзіце
пакінуць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	пакінь	пакіньце
палазіць	-	-	-	-	-	-	палажу	-	-	-	-	-	-	-	-	-	палазь	палазьце
паласкаць	палашчу	палошчаш	палошча	палошчам	палошчаце	палошчуць	-	-	-	-	-	-	-	-	-	-	палашчы	палашчыце
палезці	-	-	-	-	-	-	палезу	палезеш	палезе	палезем	палезеце	палезуць	палез	палезла	палезла	палезлі	панясі	панясіце
палохацца	палохаюся	палохаешся	палохаецца	палохаемся	палохаецеся	палохаюцца	-	-	-	-	-	-	палохаўся	палохалася	палохалася	палохаліся	палохайся	палохайцеся
паліць	-	-	-	-	-	-	палью	пальеш	палье	пальём	пальяце	пальюць	-	-	-	-	-	-
памагчы	-	-	-	-	-	-	памагу	паможаш	паможа	паможам	паможаце	памогуць	памог	памагла	памагло	памаглі	памажы	памажыце
памерці	-	-	-	-	-	-	памру	памрэш	памрэ	памром	памраце	памруць	памёр	памерла	памерла	памерлі	памры	памрыце
памыляцца	памыляюся	памыляешся	памыляецца	памыляемся	памыляецеся	памыляюцца	-	-	-	-	-	-	памыляўся	памылялася	памылялася	памыляліся	памыляйся	памыляйцеся
памыліцца	-	-	-	-	-	-	памылюся	памылішся	памыліцца	памылімся	памыліцеся	памыляцца	памыліўся	памылілася	памылілася	памыліліся	памыліся	памыліцеся
памыцца	-	-	-	-	-	-	памыюся	памыешся	памыецца	памыемся	памыецеся	памыюцца	памыўся	памылася	памылася	памыліся	памыйся	памыйцеся
памыць	-	-	-	-	-	-	памыю	памыеш	памые	памыем	памыеце	памыюць	-	-	-	-	памый	памыйце
памянуць	-	-	-	-	-	-	-	-	-	памянём	памяняце	-	-	-	-	-	-	-
памяць	-	-	-	-	-	-	мну	мнеш	мне	мнём	мняце	мнуць	-	-	-	-	мні	мніце
панасіць	-	-	-	-	-	-	панашу	паносіш	паносіць	паносім	паносіце	паносяць	-	-	-	-	-	-
панесці	-	-	-	-	-	-	панясу	панясеш	панясе	панясём	панесяце	панясуць	панёс	панесла	панесла	панеслі	панясі	панясіце
паплаваць	-	-	-	-	-	-	паплаваю	паплаваеш	паплавае	паплаваем	паплаваеце	паплаваюць	-	-	-	-	паплавай	паплавайце
паплыць	-	-	-	-	-	-	паплыву	паплывеш	паплыве	паплывём	паплывяце	паплывуць	-	-	-	-	паплыві	паплывіце
папрасіць	-	-	-	-	-	-	папрашу	папросіш	папросіць	папросім	папросіце	папросяць	-	-	-	-	-	-
паскарацца	паскараюся	паскараешся	паскараецца	паскараемся	паскараецеся	паскараюцца	-	-	-	-	-	-	паскараўся	паскаралася	паскаралася	паскараліся	паскарайся	паскарайцеся
паскорыцца	-	-	-	-	-	-	паскоруся	паскорышся	паскорыцца	паскорымся	паскорыцеся	паскорацца	паскорыўся	паскорылася	паскорылася	паскорыліся	паскорся	паскорцеся
паскорыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	паскор	паскорце
паспаць	-	-	-	-	-	-	пасплю	паспіш	паспіць	паспім	паспіце	паспяць	-	-	-	-	паспі	паспіце
паспрачацца	-	-	-	-	-	-	паспрачаюся	паспрачаешся	паспрачаецца	паспрачаемся	паспрачаецеся	паспрачаюцца	паспрачаўся	паспрачалася	паспрачалася	паспрачаліся	паспрачайся	паспрачайцеся
паставіць	-	-	-	-	-	-	пастаўлю	-	-	-	-	-	-	-	-	-	пастаў	пастаўце
пастаяць	-	-	-	-	-	-	пастаю	пастаіш	пастаіць	пастаім	пастаіце	пастаяць	-	-	-	-	пастой	пастойце
паступіць	-	-	-	-	-	-	паступлю	-	-	-	-	-	-	-	-	-	-	-
пасці	-	-	-	-	-	-	паду	падзеш	падзе	падзём	падзяце	падуць	паў	пала	пала	палі	падзі	падзіце
пахадзіць	-	-	-	-	-	-	пахаджу	паходзіш	паходзіць	паходзім	паходзіце	паходзяць	-	-	-	-	-	-
пахнуць	-	-	-	-	-	-	-	-	-	-	-	-	пах	пахла	пахла	пахлі	-	-
пачацца	-	-	-	-	-	-	пачнуся	пачнешся	пачнецца	пачнёмся	пачняцеся	пачнуцца	пачаўся	пачалася	пачалося	пачаліся	пачніся	пачніцеся
пачаць	-	-	-	-	-	-	пачну	пачнеш	пачне	пачнём	пачняце	пачнуць	-	-	пачало	-	пачні	пачніце
пачуць	-	-	-	-	-	-	пачую	пачуеш	пачуе	пачуем	пачуеце	пачуюць	-	-	-	-	пачуй	пачуйце
пачынацца	пачынаюся	пачынаешся	пачынаецца	пачынаемся	пачынаецеся	пачынаюцца	-	-	-	-	-	-	пачынаўся	пачыналася	пачыналася	пачыналіся	пачынайся	пачынайцеся
пачысціць	-	-	-	-	-	-	пачышчу	-	-	-	-	-	-	-	-	-	-	-
паіць	-	поіш	поіць	поім	поіце	пояць	-	-	-	-	-	-	-	-	-	-	-	-
паўзці	паўзу	паўзеш	паўзе	паўзём	паўзяце	паўзуць	-	-	-	-	-	-	поўз	паўзла	паўзло	паўзлі	паўзі	паўзіце
паўтарыць	-	-	-	-	-	-	-	паўторыш	паўторыць	паўторым	паўторыце	паўтораць	-	-	-	-	-	-
пераапранацца	пераапранаюся	пераапранаешся	пераапранаецца	пераапранаемся	пераапранаецеся	пераапранаюцца	-	-	-	-	-	-	пераапранаўся	пераапраналася	пераапраналася	пераапраналіся	пераапранайся	пераапранайцеся
перагаварыць	-	-	-	-	-	-	-	перагаворыш	перагаворыць	перагаворым	перагаворыце	перагавораць	-	-	-	-	-	-
перадаваць	перадаю	перадаеш	перадае	перадаём	перадаяце	перадаюць	-	-	-	-	-	-	-	-	-	-	перадавай	перадавайце
перадаць	-	-	-	-	-	-	перадам	перадасі	перадасць	перададзім	перадасце	перададуць	-	-	перадало	-	-	-
перажыць	-	-	-	-	-	-	перажыву	перажывеш	перажыве	перажывём	перажывяце	перажывуць	-	-	перажыло	-	перажыві	перажывіце
перамагчы	-	-	-	-	-	-	перамагу	пераможаш	пераможа	пераможам	пераможаце	перамогуць	перамог	перамагла	перамагло	перамаглі	перамажы	перамажыце
перасаджвацца	перасаджваюся	перасаджваешся	перасаджваецца	перасаджваемся	перасаджваецеся	перасаджваюцца	-	-	-	-	-	-	перасаджваўся	перасаджвалася	перасаджвалася	перасаджваліся	перасаджвайся	перасаджвайцеся
пецца	-	-	пяецца	-	-	пяюцца	-	-	-	-	-	-	пеўся	пелася	пелася	пеліся	-	-
пець	пяю	пяеш	пяе	пяём	пеяце	пяюць	-	-	-	-	-	-	-	-	-	-	-	-
плаваць	плаваю	плаваеш	плавае	плаваем	плаваеце	плаваюць	-	-	-	-	-	-	-	-	-	-	плавай	плавайце
плакаць	плачу	плачаш	плача	плачам	плачаце	плачуць	-	-	-	-	-	-	-	-	-	-	плач	плачце
плаціць	плачу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
плесці	пляту	пляцеш	пляце	пляцём	плецяце	плятуць	-	-	-	-	-	-	плёў	пляла	пляло	плялі	пляці	пляціце
плысці	плыву	плывеш	плыве	плывём	плывяце	плывуць	-	-	-	-	-	-	плыў	плыла	плыло	плылі	плыві	плывіце
плыць	плыву	плывеш	плыве	плывём	плывяце	плывуць	-	-	-	-	-	-	-	-	плыло	-	плыві	плывіце
пляваць	-	-	-	плюём	плюяце	-	-	-	-	-	-	-	-	-	-	-	-	-
прабіць	-	-	-	-	-	-	праб'ю	праб'еш	праб'е	праб'ём	праб'яце	праб'юць	-	-	-	-	-	-
правесці	-	-	-	-	-	-	правяду	правядзеш	правядзе	правядзём	праведзяце	правядуць	правёў	правяла	правяло	правялі	правядзі	правядзіце
прадаваць	прадаю	прадаеш	прадае	прадаём	прадаяце	прадаюць	-	-	-	-	-	-	-	-	-	-	прадавай	прадавайце
прадаць	-	-	-	-	-	-	прадам	прадасі	прадасць	прададзім	прадасце	прададуць	-	-	прадало	-	-	-
прайсці	-	-	-	-	-	-	прайду	прайдзеш	прайдзе	прайдзем	прайдзеце	прайдуць	прайшоў	прайшла	прайшло	прайшлі	прайдзі	прайдзіце
прасіць	папрашу	папросіш	папросіць	папросім	папросіце	папросяць	-	-	-	-	-	-	папрасіў	папрасіла	папрасіла	папрасілі	папрасі	папрасіце
праць	пяру	пярэш	пярэ	пяром	пераце	пяруць	-	-	-	-	-	-	-	-	-	-	пяры	пярыце
прачнуцца	-	-	-	-	-	-	прачнуся	прачнешся	прачнецца	прачнёмся	прачняцеся	прачнуцца	прачнуўся	прачнулася	прачнулася	прачнуліся	прачніся	прачніцеся
прачынацца	прачынаюся	прачынаешся	прачынаецца	прачынаемся	прачынаецеся	прачынаюцца	-	-	-	-	-	-	прачынаўся	прачыналася	прачыналася	прачыналіся	прачынайся	прачынайцеся
прывозіць	прывожу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	прывозь	прывозьце
прыехаць	-	-	-	-	-	-	прыеду	прыедзеш	прыедзе	прыедзем	прыедзеце	прыедуць	-	-	-	-	прыедзь	прыедзьце
прыйсці	-	-	-	-	-	-	прыйду	прыйдзеш	прыйдзець	прыйдзем	прыйдзеце	прыйдуць	прыйшоў	прыйшла	прыйшло	прыйшлі	прыйдзі	прыйдзіце
прынесці	-	-	-	-	-	-	прынясу	прынясеш	прынясе	прынясём	прынесяце	прынясуць	прынёс	прынесла	прынесла	прынеслі	прынясі	прынясіце
прыносіць	прыношу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	прынось	прыносьце
прыняць	-	-	-	-	-	-	прыму	прымеш	прыме	прымем	прымеце	прымуць	-	-	-	-	прымі	прыміце
прынізіць	-	-	-	-	-	-	прыніжу	-	-	-	-	-	-	-	-	-	прынізь	прынізьце
прысабечыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	прысабеч	прысабечце
прыходзіць	прыходжу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	прыходзь	прыходзьце
пытацца	пытаюся	пытаешся	пытаецца	пытаемся	пытаецеся	пытаюцца	-	-	-	-	-	-	пытаўся	пыталася	пыталася	пыталіся	пытайся	пытайцеся
пярдзець	пярджу	пярдзіш	пярдзіць	пярдзім	пердзіце	пярдзяць	-	-	-	-	-	-	-	-	-	-	пярдзі	пярдзіце
пячы	пяку	пячэш	пячэ	пячом	печаце	пякуць	-	-	-	-	-	-	пёк	пякла	пякло	пяклі	пячы	пячыце
пісаць	пішу	пішаш	піша	пішам	пішаце	пішуць	-	-	-	-	-	-	-	-	-	-	пішы	пішыце
піць	п'ю	п'еш	п'е	п'ём	п'яце	п'юць	-	-	-	-	-	-	-	-	піло	-	-	-
рабіць	раблю	робіш	робіць	робім	робіце	робяць	-	-	-	-	-	-	-	-	-	-	-	-
раджацца	раджаюся	раджаешся	раджаецца	раджаемся	раджаецеся	раджаюцца	-	-	-	-	-	-	раджаўся	раджалася	раджалася	раджаліся	раджайся	раджайцеся
радзіцца	-	-	-	-	-	-	раджуся	родзішся	родзіцца	родзімся	родзіцеся	родзяцца	радзіўся	радзілася	радзілася	радзіліся	радзіся	радзіцеся
радзіць	раджу	-	-	-	-	-	раджу	родзіш	родзіць	родзім	родзіце	родзяць	-	-	-	-	радзь	радзьце
разбівацца	разбіваюся	разбіваешся	разбіваецца	разбіваемся	разбіваецеся	разбіваюцца	-	-	-	-	-	-	разбіваўся	разбівалася	разбівалася	разбіваліся	разбівайся	разбівайцеся
разбіцца	-	-	-	-	-	-	разаб'юся	разаб'ешся	разаб'ецца	разаб'ёмся	разаб'яцеся	разаб'юцца	разбіўся	разбілася	разбілася	разбіліся	разбіся	разбіцеся
разбіць	-	-	-	-	-	-	разаб'ю	разаб'еш	разаб'е	разаб'ём	разаб'яце	разаб'юць	-	-	-	-	-	-
раздзецца	-	-	-	-	-	-	раздзенуся	раздзенешся	раздзенецца	раздзенемся	раздзенецеся	раздзенуцца	раздзеўся	раздзелася	раздзелася	раздзеліся	раздзенься	раздзеньцеся
раздзець	-	-	-	-	-	-	раздзену	раздзенеш	раздзене	раздзенем	раздзенеце	раздзенуць	-	-	-	-	раздзень	раздзеньце
раздзявацца	раздзяваюся	раздзяваешся	раздзяваецца	раздзяваемся	раздзяваецеся	раздзяваюцца	-	-	-	-	-	-	раздзяваўся	раздзявалася	раздзявалася	раздзяваліся	раздзявайся	раздзявайцеся
раздзяваць	раздзяваю	раздзяваеш	раздзявае	раздзяваем	раздзяваеце	раздзяваюць	-	-	-	-	-	-	-	-	-	-	раздзявай	раздзявайце
размовіць	-	-	-	-	-	-	размоўлю	-	-	-	-	-	-	-	-	-	размоў	размоўце
расказаць	-	-	-	-	-	-	раскажу	раскажаш	раскажа	раскажам	раскажаце	раскажуць	-	-	-	-	раскажы	раскажыце
расперці	-	-	-	-	-	-	разапру	разапрэш	разапрэ	разапром	разапраце	разапруць	распёр	распёрла	распёрла	распёрлі	разапры	разапрыце
распранацца	распранаюся	распранаешся	распранаецца	распранаемся	распранаецеся	распранаюцца	-	-	-	-	-	-	распранаўся	распраналася	распраналася	распраналіся	распранайся	распранайцеся
распрануцца	-	-	-	-	-	-	распрануся	распранешся	распранецца	распранёмся	распраняцеся	распрануцца	распрануўся	распранулася	распранулася	распрануліся	распраніся	распраніцеся
распрануць	-	-	-	-	-	-	-	-	-	распранём	распраняце	-	-	-	-	-	-	-
растлумачыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	растлумач	растлумачце
расці	расту	расцеш	расце	расцём	расцяце	растуць	-	-	-	-	-	-	рос	расла	расло	раслі	расці	расціце
рашыць	-	-	-	-	-	-	-	рэшыш	рэшыць	рэшым	рэшыце	рэшаць	-	-	-	-	-	-
раіць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	рай	райце
раўці	раву	равеш	раве	равём	равяце	равуць	-	-	-	-	-	-	роў	раўла	раўло	раўлі	раві	равіце
рваць	рву	рвеш	рве	рвём	рвяце	рвуць	-	-	-	-	-	-	-	-	-	-	рві	рвіце
ржаць	ржу	ржэш	ржэ	ржом	ржаце	ржуць	-	-	-	-	-	-	-	-	-	-	ржы	ржыце
рыць	рыю	рыеш	рые	рыем	рыеце	рыюць	-	-	-	-	-	-	-	-	-	-	рый	рыйце
рэзаць	рэжу	рэжаш	рэжа	рэжам	рэжаце	рэжуць	-	-	-	-	-	-	-	-	-	-	рэж	рэжце
сабраць	-	-	-	-	-	-	збяру	збярэш	збярэ	збяром	збераце	збяруць	-	-	-	-	збяры	збярыце
саграваць	саграваю	саграваеш	сагравае	саграваем	саграваеце	саграваюць	-	-	-	-	-	-	-	-	-	-	сагравай	сагравайце
салгаць	-	-	-	-	-	-	салгу	салжэш	салжэ	салжом	салжаце	салгуць	-	-	-	-	салжы	салжыце
сесці	-	-	-	-	-	-	сяду	сядзеш	сядзе	сядзем	сядзеце	сядуць	сеў	села	села	селі	сядзь	сядзьце
сказаць	-	-	-	-	-	-	скажу	скажаш	скажа	скажам	скажаце	скажуць	-	-	-	-	скажы	скажыце
скараціць	-	-	-	-	-	-	скарачу	скароціш	скароціць	скароцім	скароціце	скароцяць	-	-	-	-	-	-
скрасці	-	-	-	-	-	-	скраду	скрадзеш	скрадзе	скрадзем	скрадзеце	скрадуць	скраў	скрала	скрала	скралі	скрадзь	скрадзьце
слаць	шлю	шлеш	шле	шлём	шляце	шлюць	-	-	-	-	-	-	-	-	-	-	шлі	шліце
слязіцца	сляжуся	слязішся	слязіцца	слязімся	слязіцеся	слязяцца	-	-	-	-	-	-	слязіўся	слязілася	слязілася	слязіліся	слязіся	слязіцеся
смагнуць	-	-	-	-	-	-	-	-	-	-	-	-	смаг	смагла	смагла	смаглі	-	-
смактаць	смакчу	смокчаш	смокча	смокчам	смокчаце	смокчуць	-	-	-	-	-	-	-	-	-	-	смакчы	смакчыце
смеціць	смечу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	смець	смецьце
смярдзець	смярджу	смярдзіш	смярдзіць	смярдзім	смердзіце	смярдзяць	-	-	-	-	-	-	-	-	-	-	смярдзі	смярдзіце
смяяцца	смяюся	смяешся	смяецца	смяёмся	смеяцеся	смяюцца	-	-	-	-	-	-	смяяўся	смяялася	смяялася	смяяліся	смейся	смейцеся
спадабацца	-	-	-	-	-	-	спадабаюся	спадабаешся	спадабаецца	спадабаемся	спадабаецеся	спадабаюцца	спадабаўся	спадабалася	спадабалася	спадабаліся	спадабайся	спадабайцеся
спадзявацца	спадзяваюся	спадзяваешся	спадзяваецца	спадзяваемся	спадзяваецеся	спадзяваюцца	-	-	-	-	-	-	спадзяваўся	спадзявалася	спадзявалася	спадзяваліся	спадзявайся	спадзявайцеся
спазняцца	спазняюся	спазняешся	спазняецца	спазняемся	спазняецеся	спазняюцца	-	-	-	-	-	-	спазняўся	спазнялася	спазнялася	спазняліся	спазняйся	спазняйцеся
спазніцца	-	-	-	-	-	-	спазнюся	спознішся	спозніцца	спознімся	спозніцеся	спозняцца	спазніўся	спазнілася	спазнілася	спазніліся	спазніся	спазніцеся
спаць	сплю	спіш	спіць	спім	спіце	спяць	-	-	-	-	-	-	-	-	-	-	спі	спіце
спрачацца	спрачаюся	спрачаешся	спрачаецца	спрачаемся	спрачаецеся	спрачаюцца	-	-	-	-	-	-	спрачаўся	спрачалася	спрачалася	спрачаліся	спрачайся	спрачайцеся
спускацца	спускаюся	спускаешся	спускаецца	спускаемся	спускаецеся	спускаюцца	-	-	-	-	-	-	спускаўся	спускалася	спускалася	спускаліся	спускайся	спускайцеся
спусціцца	-	-	-	-	-	-	спушчуся	спусцішся	спусціцца	спусцімся	спусціцеся	спусцяцца	спусціўся	спусцілася	спусцілася	спусціліся	спусціся	спусціцеся
спяваць	спяваю	спяваеш	спявае	спяваем	спяваеце	спяваюць	-	-	-	-	-	-	-	-	-	-	спявай	спявайце
спячы	-	-	-	-	-	-	спяку	спячэш	спячэ	спячом	спечаце	спякуць	спёк	спякла	спякло	спяклі	спячы	спячыце
спіць	-	-	-	-	-	-	сап'ю	сап'еш	сап'е	сап'ём	сап'яце	сап'юць	-	-	спіло	-	-	-
сраць	сяру	сераш	сера	серам	сераце	серуць	-	-	-	-	-	-	-	-	-	-	сяры	сярыце
ссаць	ссу	ссеш	ссе	ссём	ссяце	ссуць	-	-	-	-	-	-	-	-	-	-	ссі	ссіце
ставіць	стаўлю	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	стаў	стаўце
стаміцца	-	-	-	-	-	-	стамлюся	стомішся	стоміцца	стомімся	стоміцеся	стомяцца	стаміўся	стамілася	стамілася	стаміліся	стаміся	стаміцеся
станавіцца	станаўлюся	становішся	становіцца	становімся	становіцеся	становяцца	-	-	-	-	-	-	станавіўся	станавілася	станавілася	станавіліся	станавіся	станавіцеся
старацца	стараюся	стараешся	стараецца	стараемся	стараецеся	стараюцца	-	-	-	-	-	-	стараўся	старалася	старалася	стараліся	старайся	старайцеся
стаць	-	-	-	-	-	-	стану	станеш	стане	станем	станеце	стануць	-	-	-	-	стань	станьце
стаяць	стаю	стаіш	стаіць	стаім	стаіце	стаяць	-	-	-	-	-	-	-	-	-	-	стой	стойце
стварыць	-	-	-	-	-	-	-	створыш	створыць	створым	створыце	створаць	-	-	-	-	-	-
страціць	-	-	-	-	-	-	страчу	-	-	-	-	-	-	-	-	-	страць	страцьце
стрыгчы	стрыгу	стрыжэш	стрыжэ	стрыжом	стрыжаце	стрыгуць	-	-	-	-	-	-	стрыг	стрыгла	стрыгла	стрыглі	стрыжы	стрыжыце
стрэліць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	стрэль	стрэльце
сумнявацца	сумняваюся	сумняваешся	сумняваецца	сумняваемся	сумняваецеся	сумняваюцца	-	-	-	-	-	-	сумняваўся	сумнявалася	сумнявалася	сумняваліся	сумнявайся	сумнявайцеся
супакоіць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	супакой	супакойце
сустракацца	сустракаюся	сустракаешся	сустракаецца	сустракаемся	сустракаецеся	сустракаюцца	-	-	-	-	-	-	сустракаўся	сустракалася	сустракалася	сустракаліся	сустракайся	сустракайцеся
сустрэцца	-	-	-	-	-	-	сустрэнуся	сустрэнешся	сустрэнецца	сустрэнемся	сустрэнецеся	сустрэнуцца	сустрэўся	сустрэлася	сустрэлася	сустрэліся	сустрэнься	сустрэньцеся
сустрэць	-	-	-	-	-	-	сустрэну	сустрэнеш	сустрэне	сустрэнем	сустрэнеце	сустрэнуць	-	-	-	-	сустрэнь	сустрэньце
сысці	-	-	-	-	-	-	сыду	сыдзеш	сыдзе	сыдзем	сыдзеце	сыдуць	сышоў	сышла	сышло	сышлі	сыдзі	сыдзіце
сыходзіць	сыходжу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	сыходзь	сыходзьце
сядзець	сяджу	сядзіш	сядзіць	сядзім	седзіце	сядзяць	-	-	-	-	-	-	-	-	-	-	сядзі	сядзіце
тануць	-	тонеш	тоне	тонем	тонеце	тонуць	-	-	-	-	-	-	-	-	-	-	-	-
таўчы	таўку	таўчэш	таўчэ	таўчом	таўчаце	таўкуць	-	-	-	-	-	-	тоўк	таўкла	таўкло	таўклі	таўчы	таўчыце
тварыць	-	творыш	творыць	творым	творыце	твораць	-	-	-	-	-	-	-	-	-	-	-	-
тлумачыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	тлумач	тлумачце
траціць	трачу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	траць	трацьце
трэсці	трасу	трасеш	трасе	трасём	трасяце	трасуць	-	-	-	-	-	-	трос	трэсла	трэсла	трэслі	трасі	трасіце
убачыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	убач	убачце
увайсці	-	-	-	-	-	-	увайду	увойдзеш	увойдзе	увойдзем	увойдзеце	увойдуць	увайшоў	увайшла	увайшло	увайшлі	увайдзі	увайдзіце
уваходзіць	уваходжу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	уваходзь	уваходзьце
ударыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	удар	ударце
ужыць	-	-	-	-	-	-	ужыву	ужывеш	ужыве	ужывём	ужывяце	ужывуць	-	-	ужыло	-	ужыві	ужывіце
