# Swedish principal parts, mined from the gold oracles.
# lemma <TAB> present <TAB> past <TAB> supine <TAB> imperative <TAB> subj-pres <TAB> subj-past ("-" = class-1 default)
K-märka	K-märker	K-märkte	K-märkt	K-märk	-	-
förlöpa	förlöper	förlöpte	förlupit	förlöp	-	-
förlösa	förlöser	förlöste	förlöst	förlös	-	-
förmäla	förmäler	förmälde	förmält	förmäl	-	-
förmärka	förmärker	förmärkte	förmärkt	förmärk	-	-
förmå	-	förmådde	förmått	-	-	-
förnimma	förnimmer	förnam	förnummit	förnim	-	-
förnöja	förnöjer	förnöjde	förnöjt	förnöj	-	-
förnöta	förnöter	förnötte	förnött	förnöt	-	-
förrinna	förrinner	förrann	förrunnit	förrinn	-	-
förrycka	förrycker	förryckte	förryckt	förryck	-	-
förråda	förråder	förrådde	förrått	förråd	-	-
förse	-	försedde	försett	-	-	-
försiggå	-	försiggick	försiggått	-	försiggånge	-
försitta	försitter	försatt	försuttit	försitt	-	-
försjunka	försjunker	försjönk	försjunkit	försjunk	-	-
förskjuta	förskjuter	försköt	förskjutit	förskjut	-	-
förskriva	förskriver	förskrev	förskrivit	förskriv	-	-
förskräcka	förskräcker	förskräckte	förskräckt	förskräck	-	-
förskräckas	förskräcks	-	-	-	-	-
förskylla	förskyller	förskyllde	förskyllt	förskyll	-	-
förskära	förskär	förskar	förskurit	förskär	-	-
förslita	försliter	förslet	förslitit	förslit	-	-
försluta	försluter	förslöt	förslutit	förslut	-	-
förslå	-	förslog	förslagit	-	förslåge	-
försmå	-	försmådde	försmått	-	-	-
förspilla	förspiller	förspillde	förspillt	förspill	-	-
förspörja	förspörjer	försporde	försport	förspörj	-	-
försträcka	försträcker	försträckte	försträckt	försträck	-	-
förströ	-	förströdde	förstrött	-	-	-
förställa	förställer	förställde	förställt	förställ	-	-
förstämma	förstämmer	förstämde	förstämt	förstäm	-	-
förstärka	förstärker	förstärkte	förstärkt	förstärk	-	-
förstå	-	förstod	förstått	-	-	-
förstöra	förstör	förstörde	förstört	förstör	-	-
förstöras	förstörs	-	-	-	-	-
försvinna	försvinner	försvann	försvunnit	försvinn	-	-
försvärja	försvär	försvor	försvurit	försvärj	-	-
försälja	försäljer	försålde	försålt	försälj	-	-
försända	försänder	försände	försänt	försänd	-	-
försänka	försänker	försänkte	försänkt	försänk	-	-
försätta	försätter	försatte	försatt	försätt	-	-
försöka	försöker	försökte	försökt	försök	-	-
försörja	försörjer	försörjde	försörjt	försörj	-	-
förta	-	förtog	förtagit	-	förtage	-
förtiga	förtiger	förteg	förtigit	förtig	-	-
förtjusa	förtjuser	förtjuste	förtjust	förtjus	-	-
förtro	-	förtrodde	förtrott	-	-	-
förtrycka	förtrycker	förtryckte	förtryckt	förtryck	-	-
förtryta	förtryter	förtröt	förtrutit	förtryt	-	-
förtränga	förtränger	förträngde	förträngt	förträng	-	-
förtycka	förtycker	förtyckte	förtyckt	förtyck	-	-
förtälja	förtäljer	förtalde	förtalt	förtälj	-	-
förtänka	förtänker	förtänkte	förtänkt	förtänk	-	-
förtära	förtär	förtärde	förtärt	förtär	-	-
förtöja	förtöjer	förtöjde	förtöjt	förtöj	-	-
förundersöka	förundersöker	förundersökte	förundersökt	förundersök	-	-
förutbestämma	förutbestämmer	förutbestämde	förutbestämt	förutbestäm	-	-
förutse	-	förutsåg	förutsett	-	-	-
förutspå	-	förutspådde	förutspått	-	-	-
förutsäga	förutsäger	förutsade	förutsagt	förutsäg	-	-
förutsätta	förutsätter	förutsatte	förutsatt	förutsätt	-	-
förvrida	förvrider	förvred	förvridit	förvrid	-	-
förvränga	förvränger	förvrängde	förvrängt	förvräng	-	-
förvälla	förväller	förvällde	förvällt	förväll	-	-
förvända	förvänder	förvände	förvänt	förvänd	-	-
föryngringsbeskära	föryngringsbeskär	föryngringsbeskar	föryngringsbeskurit	föryngringsbeskär	-	-
föröda	föröder	förödde	förött	föröd	-	-
fösa	föser	föste	föst	fös	-	-
gala	gal	gol	galit	gal	-	-
gallskrika	gallskriker	gallskrek	gallskrikit	gallskrik	-	-
galltjuta	galltjuter	galltjöt	galltjutit	galltjut	-	-
ge	-	gav	gett	-	give	-
gendriva	gendriver	gendrev	gendrivit	gendriv	-	-
genljuda	genljuder	genljöd	genljudit	genljud	-	-
genmäla	genmäler	genmälde	genmält	genmäl	-	-
genombryta	genombryter	genombröt	genombrutit	genombryt	-	-
genomdriva	genomdriver	genomdrev	genomdrivit	genomdriv	-	-
genomfara	genomfar	genomfor	genomfarit	genomfar	-	-
genomföra	genomför	genomförde	genomfört	genomför	-	-
genomgå	-	genomgick	genomgått	-	genomgånge	-
genomleva	genomlever	genomlevde	-	genomlev	-	-
genomlida	genomlider	genomled	genomlidit	genomlid	-	-
genomlysa	genomlyser	genomlyste	genomlyst	genomlys	-	-
genomlöpa	genomlöper	genomlöpte	genomlöpt	genomlöp	-	-
genomskölja	genomsköljer	genomsköljde	genomsköljt	genomskölj	-	-
genomsteka	genomsteker	genomstekte	genomstekt	genomstek	-	-
genomsöka	genomsöker	genomsökte	genomsökt	genomsök	-	-
genomtränga	genomtränger	genomträngde	genomträngt	genomträng	-	-
genomtänka	genomtänker	genomtänkte	genomtänkt	genomtänk	-	-
genomvärma	genomvärmer	genomvärmde	genomvärmt	genomvärm	-	-
genskjuta	genskjuter	gensköt	genskjutit	genskjut	-	-
genta	-	gentog	gentagit	-	gentage	-
gitta	gitter	gitte	-	gitt	-	-
gjuta	gjuter	göt	gjutit	gjut	-	-
glida	glider	gled	glidit	glid	-	-
glisa	gliser	gliste	glist	glis	-	-
glo	-	glodde	glott	-	-	-
glädja	glädjer	gladde	glatt	gläd	-	-
glädjas	gläds	gladdes	glatts	-	-	-
glädjemäta	glädjemäter	glädjemätte	glädjemätt	glädjemät	-	-
gläfsa	gläfser	gläfste	gläfst	gläfs	-	-
glänsa	glänser	glänste	glänst	gläns	-	-
glöda	glöder	glödde	glött	glöd	-	-
glödsteka	glödsteker	glödstekte	glödstekt	glödstek	-	-
glödtända	glödtänder	glödtände	glödtänt	glödtänd	-	-
glömma	glömmer	glömde	glömt	glöm	-	-
gnaga	gnager	gnagde	gnagt	gnag	-	-
gnava	gnaver	gnavde	gnavt	gnav	-	-
gnida	gnider	gned	gnidit	gnid	-	-
gno	-	gnodde	gnott	-	-	-
gny	-	gnydde	gnytt	-	-	-
gnälla	gnäller	gnällde	gnällt	gnäll	-	-
godkänna	godkänner	godkände	godkänt	godkänn	-	-
godta	-	godtog	godtagit	-	godtage	-
gottgöra	gottgör	gottgjorde	gottgjort	gottgör	-	-
gottskriva	gottskriver	gottskrev	gottskrivit	gottskriv	-	-
granatbeskjuta	granatbeskjuter	granatbesköt	granatbeskjutit	granatbeskjut	-	-
gravlägga	gravlägger	gravla	gravlagt	gravlägg	-	-
gravsätta	gravsätter	gravsatte	gravsatt	gravsätt	-	-
gripa	griper	grep	gripit	grip	-	-
gro	-	grodde	grott	-	-	-
grovhugga	grovhugger	grovhögg	grovhuggit	grovhugg	-	-
grovmala	grovmaler	grovmalde	grovmalt	grovmal	-	-
grundlägga	grundlägger	grundla	grundlagt	grundlägg	-	-
grundstryka	grundstryker	grundströk	grundstrukit	grundstryk	-	-
grundstöta	grundstöter	grundstötte	grundstött	grundstöt	-	-
gruppså	-	gruppsådde	gruppsått	-	-	-
gry	-	grydde	grytt	-	-	-
gräma	grämer	grämde	grämt	gräm	-	-
gräva	gräver	grävde	grävt	gräv	-	-
gråta	gråter	grät	gråtit	gråt	-	-
gudomliggöra	gudomliggör	gudomliggjorde	gudomliggjort	gudomliggör	-	-
gälla	gäller	-	-	gäll	-	-
gå	-	gick	gått	-	gånge	-
göda	göder	gödde	gött	göd	-	-
gömma	gömmer	gömde	gömt	göm	-	-
göra	gör	gjorde	gjort	gör	-	-
ha	-	-	haft	-	-	-
halshugga	halshugger	halshögg	halshuggit	halshugg	-	-
halvligga	halvligger	halvlåg	halvlegat	halvligg	-	-
halvsova	halvsover	halvsov	halvsovit	halvsov	-	-
halvspringa	halvspringer	halvsprang	halvsprungit	halvspring	-	-
handha	-	-	handhaft	-	-	-
handleda	handleder	handledde	handlett	handled	-	-
handlägga	handlägger	handla	handlagt	handlägg	-	-
hembjuda	hembjuder	hembjöd	hembjudit	hembjud	-	-
hembära	hembär	hembar	hemburit	hembär	-	-
hemfalla	hemfaller	hemföll	hemfallit	hemfall	-	-
hemföra	hemför	hemförde	hemfört	hemför	-	-
hemlighålla	hemlighåller	hemlighöll	hemlighållit	hemlighåll	-	-
hemmavinna	hemmavinner	hemmavann	hemmavunnit	hemmavinn	-	-
hemställa	hemställer	hemställde	hemställt	hemställ	-	-
hemsöka	hemsöker	hemsökte	hemsökt	hemsök	-	-
heta	heter	hette	-	het	-	-
hinna	hinner	hann	hunnit	hinn	-	-
hjälpa	hjälper	hjälpte	hjälpt	hjälp	-	-
hjälpe	-	-	-	-	hjälpe	-
hopbinda	hopbinder	hopband	hopbundit	hopbind	-	-
hopknyta	hopknyter	hopknöt	hopknutit	hopknyt	-	-
hopskjuta	hopskjuter	hopsköt	hopskjutit	hopskjut	-	-
hopvika	hopviker	hopvek	hopvikit	hopvik	-	-
hovniga	hovniger	hovneg	hovnigit	hovnig	-	-
hudflänga	hudflänger	hudflängde	hudflängt	hudfläng	-	-
hugfästa	hugfäster	hugfäste	hugfäst	hugfäst	-	-
hugga	hugger	högg	huggit	hugg	-	-
hyra	hyr	hyrde	hyrt	hyr	-	-
hysa	hyser	hyste	hyst	hys	-	-
hytta	hytter	-	-	hytt	-	-
hälla	häller	hällde	hällt	häll	-	-
hända	händer	hände	hänt	händ	-	-
hänföra	hänför	hänförde	hänfört	hänför	-	-
hänga	hänger	hängde	hängt	häng	-	-
hänrycka	hänrycker	hänryckte	hänryckt	hänryck	-	-
hänskjuta	hänskjuter	hänsköt	hänskjutit	hänskjut	-	-
häntyda	häntyder	häntydde	häntytt	häntyd	-	-
härflyta	härflyter	härflöt	härflutit	härflyt	-	-
härleda	härleder	härledde	härlett	härled	-	-
härröra	härrör	härrörde	härrört	härrör	-	-
hästsova	hästsover	hästsov	hästsovit	hästsov	-	-
häva	häver	hävde	hävt	häv	-	-
hålla	håller	höll	hållit	håll	-	-
hållas	hålls	-	-	-	-	-
hålslå	-	hålslog	hålslagit	-	-	-
hånle	-	hånlog	hånlett	-	-	-
hårddra	-	hårddrog	hårddragit	-	hårddrage	-
hårdlöda	hårdlöder	hårdlödde	hårdlött	hårdlöd	-	-
hårdra	-	hårdrog	hårdragit	-	hårdrage	-
högtidlighålla	högtidlighåller	högtidlighöll	högtidlighållit	högtidlighåll	-	-
höja	höjer	höjde	höjt	höj	-	-
hölja	höljer	höljde	höljt	hölj	-	-
höra	hör	hörde	hört	hör	-	-
höstplöja	höstplöjer	höstplöjde	höstplöjt	höstplöj	-	-
höta	höter	hötte	hött	höt	-	-
hötta	hötter	-	-	hött	-	-
hövas	höves	-	-	-	-	-
iaktta	-	iakttog	iakttagit	-	iakttage	-
idas	ids	iddes	itts	-	-	-
ifrågakomma	ifrågakommer	ifrågakom	ifrågakommit	ifrågakom	-	-
ifrågasätta	ifrågasätter	ifrågasatte	ifrågasatt	ifrågasätt	-	-
igenkänna	igenkänner	igenkände	igenkänt	igenkänn	-	-
igensätta	igensätter	igensatte	igensatt	igensätt	-	-
igångsätta	igångsätter	igångsatte	igångsatt	igångsätt	-	-
ihågkomma	ihågkommer	ihågkom	ihågkommit	ihågkom	-	-
iklä	-	iklädde	iklätt	-	-	-
ilandsätta	ilandsätter	ilandsatte	ilandsatt	ilandsätt	-	-
illtjuta	illtjuter	illtjöt	illtjutit	illtjut	-	-
inbegripa	inbegriper	inbegrep	inbegripit	inbegrip	-	-
inbjuda	inbjuder	inbjöd	inbjudit	inbjud	-	-
inbygga	inbygger	inbyggde	inbyggt	inbygg	-	-
indra	-	indrog	indragit	-	indrage	-
indriva	indriver	indrev	indrivit	indriv	-	-
indränka	indränker	indränkte	indränkt	indränk	-	-
infalla	infaller	inföll	infallit	infall	-	-
inflyta	inflyter	inflöt	influtit	inflyt	-	-
införa	inför	införde	infört	inför	-	-
inge	-	ingav	ingett	-	ingive	-
ingjuta	ingjuter	ingöt	ingjutit	ingjut	-	-
ingripa	ingriper	ingrep	ingripit	ingrip	-	-
ingå	-	ingick	ingått	-	ingånge	-
inhysa	inhyser	inhyste	inhyst	inhys	-	-
inhölja	inhöljer	inhöljde	inhöljt	inhölj	-	-
inkomma	inkommer	inkom	inkommit	inkom	-	-
inkräva	inkräver	inkrävde	inkrävt	inkräv	-	-
inköpa	inköper	inköpte	inköpt	inköp	-	-
inleda	inleder	inledde	inlett	inled	-	-
inlägga	inlägger	inla	inlagt	inlägg	-	-
inlära	inlär	inlärde	inlärt	inlär	-	-
inlöpa	inlöper	inlöpte	inlöpt	inlöp	-	-
inlösa	inlöser	inlöste	inlöst	inlös	-	-
inmänga	inmänger	inmängde	inmängt	inmäng	-	-
innebrännas	innebränns	-	-	-	-	-
innebära	innebär	innebar	inneburit	innebär	-	-
inneha	-	-	innehaft	-	-	-
innehålla	innehåller	innehöll	innehållit	innehåll	-	-
innesluta	innesluter	inneslöt	inneslutit	inneslut	-	-
innestänga	innestänger	innestängde	innestängt	innestäng	-	-
inreda	inreder	inredde	inrett	inred	-	-
inresa	inreser	inreste	inrest	inres	-	-
inrymma	inrymmer	inrymde	inrymt	inrym	-	-
inse	-	insåg	insett	-	-	-
inskjuta	inskjuter	insköt	inskjutit	inskjut	-	-
inskrida	inskrider	inskred	inskridit	inskrid	-	-
inskriva	inskriver	inskrev	inskrivit	inskriv	-	-
inskränka	inskränker	inskränkte	inskränkt	inskränk	-	-
inskärpa	inskärper	inskärpte	inskärpt	inskärp	-	-
insmyga	insmyger	insmög	insmugit	insmyg	-	-
insmälta	insmälter	insmälte	insmält	insmält	-	-
inställa	inställer	inställde	inställt	inställ	-	-
instämma	instämmer	instämde	instämt	instäm	-	-
instänga	instänger	instängde	instängt	instäng	-	-
insuga	insuger	insög	insugit	insug	-	-
insupa	insuper	insöp	insupit	insup	-	-
insvepa	insveper	insvepte	insvept	insvep	-	-
insända	insänder	insände	insänt	insänd	-	-
insätta	insätter	insatte	insatt	insätt	-	-
inta	-	intog	intagit	-	intage	-
inträda	inträder	inträdde	inträtt	inträd	-	-
intränga	intränger	inträngde	inträngt	inträng	-	-
inviga	inviger	invigde	invigt	invig	-	-
invälja	inväljer	invalde	invalt	invälj	-	-
invända	invänder	invände	invänt	invänd	-	-
inväva	inväver	invävde	invävt	inväv	-	-
iordningställa	iordningställer	iordningställde	iordningställt	iordningställ	-	-
isbelägga	isbelägger	isbela	isbelagt	isbelägg	-	-
iscensätta	iscensätter	iscensatte	iscensatt	iscensätt	-	-
islägga	islägger	isla	islagt	islägg	-	-
iståndsätta	iståndsätter	iståndsatte	iståndsatt	iståndsätt	-	-
jordfästa	jordfäster	jordfäste	jordfäst	jordfäst	-	-
jordslå	-	jordslog	jordslagit	-	-	-
jämföra	jämför	jämförde	jämfört	jämför	-	-
jämställa	jämställer	jämställde	jämställt	jämställ	-	-
järnsko	-	järnskodde	järnskott	-	-	-
jäsa	jäser	jäste	jäst	jäs	-	-
k-märka	k-märker	k-märkte	k-märkt	k-märk	-	-
kalhugga	kalhugger	kalhögg	kalhuggit	kalhugg	-	-
kalkslå	-	kalkslog	kalkslagit	-	-	-
kalldra	-	kalldrog	kalldragit	-	kalldrage	-
kallröka	kallröker	kallrökte	kallrökt	kallrök	-	-
kallröra	kallrör	kallrörde	kallrört	kallrör	-	-
kallsmida	kallsmider	kallsmidde	kallsmitt	kallsmid	-	-
kaläta	kaläter	kalåt	kalätit	kalät	-	-
kanthugga	kanthugger	kanthögg	kanthuggit	kanthugg	-	-
kantklippa	kantklipper	kantklippte	kantklippt	kantklipp	-	-
kappköra	kappkör	kappkörde	kappkört	kappkör	-	-
kartlägga	kartlägger	kartla	kartlagt	kartlägg	-	-
kedjeröka	kedjeröker	kedjerökte	kedjerökt	kedjerök	-	-
klargöra	klargör	klargjorde	klargjort	klargör	-	-
klarlägga	klarlägger	klarla	klarlagt	klarlägg	-	-
klavbinda	klavbinder	klavband	klavbundit	klavbind	-	-
klippa	klipper	klippte	klippt	klipp	-	-
kliva	kliver	klev	klivit	kliv	-	-
klyva	klyver	klöv	kluvit	klyv	-	-
klä	-	klädde	klätt	-	-	-
kläcka	kläcker	kläckte	kläckt	kläck	-	-
kläckas	kläcks	-	-	-	-	-
klämma	klämmer	klämde	klämt	kläm	-	-
klänga	klänger	klängde	klängt	kläng	-	-
klå	-	klådde	klått	-	-	-
klösa	klöser	klöste	klöst	klös	-	-
klösas	klöses	-	-	-	-	-
knipa	kniper	knep	knipit	knip	-	-
knivhugga	knivhugger	knivhögg	knivhuggit	knivhugg	-	-
knivskära	knivskär	knivskar	knivskurit	knivskär	-	-
knycka	knycker	knyckte	knyckt	knyck	-	-
knyta	knyter	knöt	knutit	knyt	-	-
knäböja	knäböjer	knäböjde	knäböjt	knäböj	-	-
knäcka	knäcker	knäckte	knäckt	knäck	-	-
knäfalla	knäfaller	knäföll	knäfallit	knäfall	-	-
knäppa	knäpper	knäppte	knäppt	knäpp	-	-
knäsätta	knäsätter	knäsatte	knäsatt	knäsätt	-	-
komma	kommer	kom	kommit	kom	-	-
konkurrensutsätta	konkurrensutsätter	konkurrensutsatte	konkurrensutsatt	konkurrensutsätt	-	-
kontrollmäta	kontrollmäter	kontrollmätte	kontrollmätt	kontrollmät	-	-
kontrollväga	kontrollväger	kontrollvägde	kontrollvägt	kontrollväg	-	-
kontrolläsa	kontrolläser	kontrolläste	kontrolläst	kontrolläs	-	-
korrekturläsa	korrekturläser	korrekturläste	korrekturläst	korrekturläs	-	-
korsfästa	korsfäster	korsfäste	korsfäst	korsfäst	-	-
korsförhöra	korsförhör	korsförhörde	korsförhört	korsförhör	-	-
korslägga	korslägger	korsla	korslagt	korslägg	-	-
kortklippa	kortklipper	kortklippte	kortklippt	kortklipp	-	-
kortsluta	kortsluter	kortslöt	kortslutit	kortslut	-	-
kovända	kovänder	kovände	kovänt	kovänd	-	-
kravmärka	kravmärker	kravmärkte	kravmärkt	kravmärk	-	-
kringgå	-	kringgick	kringgått	-	kringgånge	-
kringränna	kringränner	kringrände	kringränt	kringränn	-	-
kringskära	kringskär	kringskar	kringskurit	kringskär	-	-
kringströ	-	kringströdde	kringstrött	-	-	-
krympa	krymper	krympte	krympt	krymp	-	-
krypa	kryper	kröp	krupit	kryp	-	-
krypköra	krypkör	krypkörde	krypkört	krypkör	-	-
kräkas	kräks	kräktes	kräkts	-	-	-
kränga	kränger	krängde	krängt	kräng	-	-
kränka	kränker	kränkte	kränkt	kränk	-	-
kräva	kräver	krävde	krävt	kräv	-	-
krävas	krävs	-	-	-	-	-
kröna	kröner	krönte	krönt	krön	-	-
kullslå	-	kullslog	kullslagit	-	kullslåge	-
kulturminnesmärka	kulturminnesmärker	kulturminnesmärkte	kulturminnesmärkt	kulturminnesmärk	-	-
kungöra	kungör	kungjorde	kungjort	kungör	-	-
kunna	kan	kunde	-	-	-	-
kvarbli	-	kvarblev	kvarblivit	-	kvarblive	-
kvardröja	kvardröjer	kvardröjde	kvardröjt	kvardröj	-	-
kvarhålla	kvarhåller	kvarhöll	kvarhållit	kvarhåll	-	-
kvarstå	-	kvarstod	kvarstått	-	-	-
kvida	kvider	-	kvidit	kvid	-	-
kväda	kväder	kvad	kvädit	kväd	-	-
kväka	kväker	kväkte	kväkt	kväk	-	-
kvälja	kväljer	kvalde	kvalt	kvälj	-	-
kvälla	kväller	kvällde	kvällt	kväll	-	-
kväsa	kväser	kväste	kväst	kväs	-	-
kväva	kväver	kvävde	kvävt	kväv	-	-
kyla	kyler	kylde	kylt	kyl	-	-
kyrkbokföra	kyrkbokför	kyrkbokförde	kyrkbokfört	kyrkbokför	-	-
kyrkobokföra	kyrkobokför	kyrkobokförde	kyrkobokfört	kyrkobokför	-	-
kyrkskriva	kyrkskriver	kyrkskrev	kyrkskrivit	kyrkskriv	-	-
kyssa	kysser	kysste	kysst	kyss	-	-
kyssas	kysses	-	-	-	-	-
känna	känner	kände	känt	känn	-	-
kännas	känns	kändes	känts	-	-	-
köpa	köper	köpte	köpt	köp	-	-
köpslå	-	köpslog	köpslagit	-	-	-
köra	kör	körde	kört	kör	-	-
köva	köver	kövde	kövt	köv	-	-
lagerföra	lagerför	lagerförde	lagerfört	lagerför	-	-
lagerkröna	lagerkröner	lagerkrönte	lagerkrönt	lagerkrön	-	-
lagfara	lagfar	lagfor	lagfarit	lagfar	-	-
lagfästa	lagfäster	lagfäste	lagfäst	lagfäst	-	-
lagföra	lagför	lagförde	lagfört	lagför	-	-
lagsöka	lagsöker	lagsökte	lagsökt	lagsök	-	-
lamslå	-	lamslog	lamslagit	-	-	-
landstiga	landstiger	landsteg	landstigit	landstig	-	-
landsätta	landsätter	landsatte	landsatt	landsätt	-	-
le	-	log	lett	-	-	-
ledas	leds	-	-	-	-	-
leja	lejer	lejde	lejt	lej	-	-
leka	leker	lekte	lekt	lek	-	-
leva	lever	levde	-	lev	-	-
levandegöra	levandegör	levandegjorde	levandegjort	levandegör	-	-
licensbelägga	licensbelägger	licensbela	licensbelagt	licensbelägg	-	-
lida	lider	led	lidit	lid	-	-
ligga	ligger	låg	legat	ligg	-	-
likställa	likställer	likställde	likställt	likställ	-	-
livnära	livnär	livnärde	livnärt	livnär	-	-
ljudsätta	ljudsätter	ljudsatte	ljudsatt	ljudsätt	-	-
ljuga	ljuger	ljög	ljugit	ljug	-	-
lovsjunga	lovsjunger	lovsjöng	lovsjungit	lovsjung	-	-
luftlandsätta	luftlandsätter	luftlandsatte	luftlandsatt	luftlandsätt	-	-
lusläsa	lusläser	lusläste	lusläst	lusläs	-	-
lyckliggöra	lyckliggör	lyckliggjorde	lyckliggjort	lyckliggör	-	-
lycksaliggöra	lycksaliggör	lycksaliggjorde	lycksaliggjort	lycksaliggör	-	-
lyda	lyder	lydde	lytt	lyd	-	-
lyfta	lyfter	lyfte	lyft	lyft	-	-
lysa	lyser	lyste	lyst	lys	-	-
lyster	lyster	-	-	-	-	-
läcka	läcker	läckte	läckt	läck	-	-
lägga	lägger	la	lagt	lägg	-	-
läka	läker	läkte	läkt	läk	-	-
läkarundersöka	läkarundersöker	läkarundersökte	läkarundersökt	läkarundersök	-	-
lända	länder	lände	länt	länd	-	-
länga	länger	längde	längt	läng	-	-
längas	längs	-	-	-	-	-
lär	lär	-	-	-	-	-
lära	lär	lärde	lärt	lär	-	-
läsa	läser	läste	läst	läs	-	-
lågflyga	lågflyger	lågflög	lågflugit	lågflyg	-	-
långledas	långleds	-	-	-	-	-
låsa	låser	låste	låst	lås	-	-
låta	låter	lät	låtit	låt	-	-
löpa	löper	lopp	lupit	löp	-	-
lösa	löser	löste	löst	lös	-	-
lösge	-	lösgav	lösgett	-	lösgive	-
lösgöra	lösgör	lösgjorde	lösgjort	lösgör	-	-
majoritetsäga	majoritetsäger	majoritetsägde	majoritetsägt	majoritetsäg	-	-
mala	mal	malde	malt	mal	-	-
mantalsskriva	mantalsskriver	mantalsskrev	mantalsskrivit	mantalsskriv	-	-
marknadsföra	marknadsför	marknadsförde	marknadsfört	marknadsför	-	-
maskinklippa	maskinklipper	maskinklippte	maskinklippt	maskinklipp	-	-
medfölja	medföljer	medföljde	medföljt	medfölj	-	-
medföra	medför	medförde	medfört	medför	-	-
medge	-	medgav	medgett	-	medgive	-
medta	-	medtog	medtagit	-	medtage	-
medvetandegöra	medvetandegör	medvetandegjorde	medvetandegjort	medvetandegör	-	-
mikrostyra	mikrostyr	mikrostyrde	mikrostyrt	mikrostyr	-	-
miljömärka	miljömärker	miljömärkte	miljömärkt	miljömärk	-	-
minna	minner	minde	mint	minn	-	-
minnas	minns	mindes	mints	-	-	-
missbedöma	missbedömer	missbedömde	missbedömt	missbedöm	-	-
missförstå	-	missförstod	missförstådd	-	-	-
missklä	-	missklädde	missklätt	-	-	-
misskänna	misskänner	misskände	misskänt	misskänn	-	-
missköta	missköter	misskötte	misskött	missköt	-	-
missleda	missleder	missledde	misslett	missled	-	-
misspryda	misspryder	missprydde	missprytt	misspryd	-	-
missta	-	misstog	misstagit	-	misstage	-
misstro	-	misstrodde	misstrott	-	-	-
misstycka	misstycker	misstyckte	misstyckt	misstyck	-	-
misstyda	misstyder	misstydde	misstytt	misstyd	-	-
misstämma	misstämmer	misstämde	misstämt	misstäm	-	-
misstänka	misstänker	misstänkte	misstänkt	misstänk	-	-
misstänkliggöra	misstänkliggör	misstänkliggjorde	misstänkliggjort	misstänkliggör	-	-
mista	mister	-	-	mist	-	-
mjukgöra	mjukgör	mjukgjorde	mjukgjort	mjukgör	-	-
moltiga	moltiger	molteg	moltigit	moltig	-	-
molvärka	molvärker	molvärkte	molvärkt	molvärk	-	-
motläsa	motläser	motläste	motläst	motläs	-	-
motse	-	motsåg	motsett	-	-	-
motstå	-	motstod	motstått	-	-	-
motsäga	motsäger	motsade	motsagt	motsäg	-	-
motta	-	mottog	mottagit	-	mottage	-
motväga	motväger	motvägde	motvägt	motväg	-	-
munhuggas	munhuggs	munhöggs	munhuggits	-	-	-
mysa	myser	myste	myst	mys	-	-
mäla	mäler	mälde	mält	mäl	-	-
mänga	mänger	mängde	mängt	mäng	-	-
märka	märker	märkte	märkt	märk	-	-
märkvärdiggöra	märkvärdiggör	märkvärdiggjorde	märkvärdiggjort	märkvärdiggör	-	-
mäta	mäter	mätte	mätt	mät	-	-
må	-	mådde	mått	-	-	-
månde	-	månde	-	-	-	-
måste	måste	måste	måst	måsta	-	-
möjliggöra	möjliggör	möjliggjorde	möjliggjort	möjliggör	-	-
mörklägga	mörklägger	mörkla	mörklagt	mörklägg	-	-
möta	möter	mötte	mött	möt	-	-
mötas	möts	möttes	mötts	-	-	-
nagelfara	nagelfar	nagelfor	nagelfarit	nagelfar	-	-
namnfästa	namnfäster	namnfäste	namnfäst	namnfäst	-	-
namnge	-	namngav	namngett	-	namngive	-
nedblåsa	nedblåser	nedblåste	nedblåst	nedblås	-	-
nedbryta	nedbryter	nedbröt	nedbrutit	nedbryt	-	-
nedfrysa	nedfryser	nedfryste	nedfrusit	nedfrys	-	-
nedgräva	nedgräver	nedgrävde	nedgrävt	nedgräv	-	-
nedgöra	nedgör	nedgjorde	nedgjort	nedgör	-	-
nedkomma	nedkommer	nedkom	nedkommit	nedkom	-	-
nedlägga	nedlägger	nedla	nedlagt	nedlägg	-	-
nedskriva	nedskriver	nedskrev	nedskrivit	nedskriv	-	-
nedslå	-	nedslog	nedslagit	-	-	-
nedstiga	nedstiger	nedsteg	nedstigit	nedstig	-	-
nedsänka	nedsänker	nedsänkte	nedsänkt	nedsänk	-	-
nedsätta	nedsätter	nedsatte	nedsatt	nedsätt	-	-
nedtynga	nedtynger	nedtyngde	nedtyngt	nedtyng	-	-
nerblåsa	nerblåser	nerblåste	nerblåst	nerblås	-	-
nerbryta	nerbryter	nerbröt	nerbrutit	nerbryt	-	-
nerfrysa	nerfryser	nerfryste	nerfrusit	nerfrys	-	-
nergöra	nergör	nergjorde	nergjort	nergör	-	-
nerkomma	nerkommer	nerkom	nerkommit	nerkom	-	-
nerlägga	nerlägger	nerla	nerlagt	nerlägg	-	-
nerskriva	nerskriver	nerskrev	nerskrivit	nerskriv	-	-
nerslå	-	nerslog	nerslagit	-	-	-
nerstiga	nerstiger	nersteg	nerstigit	nerstig	-	-
nersänka	nersänker	nersänkte	nersänkt	nersänk	-	-
nersätta	nersätter	nersatte	nersatt	nersätt	-	-
niga	niger	neg	nigit	nig	-	-
njuta	njuter	njöt	njutit	njut	-	-
nollställa	nollställer	nollställde	nollställt	nollställ	-	-
