# lemma	pfv	ipfv	prf	prs	ipfvn	imp
ተጠቀሰ	ተጠቀሰ	ይጠቀሳል	ተጠቅሷል	-	ይጠቀስ	-
ተጠቃ	ተጠቃ	ይጠቃል	ተጠቅቷል	-	ይጠቃ	ተጠቃ
ተጠቃለለ	ተጠቃለለ	ይጠቃለላል	ተጠቃልሏል	-	ይጠቃለል	-
ተጠበቀ	ተጠበቀ	ይጠበቃል	ተጠብቋል	-	ይጠበቅ	-
ተጠነቀቀ	ተጠነቀቀ	ይጠነቀቃል	ተጠንቅቋል	-	ይጠነቀቅ	-
ተጠናቀቀ	ተጠናቀቀ	ይጠናቀቃል	ተጠናቅቋል	-	ይጠናቀቅ	-
ተጠናከረ	ተጠናከረ	ይጠናከራል	ተጠናክሯል	-	ይጠናከር	-
ተጠየቀ	ተጠየቀ	ይጠየቃል	ተጠይቋል	-	ይጠየቅ	ተጠየቅ
ተጠጋ	ተጠጋ	ይጠጋል	ተጠግቷል	-	ይጠጋ	ተጠጋ
ተጣለ	ተጣለ	ይጣላል	ተጥሏል	-	ይጣል	ተጣል
ተጣላ	ተጣላ	ይጣላል	ተጣልቷል	-	ይጣላ	ተጣላ
ተጣራ	ተጣራ	ይጣራል	ተጣርቷል	-	ይጣራ	-
ተጨመረ	ተጨመረ	ይጨመራል	ተጨምሯል	-	ይጨመር	-
ተጨነቀ	ተጨነቀ	ይጨነቃል	ተጨንቋል	-	ይጨነቅ	ተጨነቅ
ተጫነ	ተጫነ	ይጫናል	ተጭኗል	-	ይጫን	ተጫን
ተጫወተ	ተጫወተ	ይጫወታል	ተጫውቷል	-	ይጫወት	ተጫወት
ተጻፈ	ተጻፈ	ይጻፋል	ተጽፏል	-	ይጻፍ	-
ተፈለገ	ተፈለገ	ይፈለጋል	ተፈልጓል	-	ይፈለግ	ተፈለግ
ተፈረመ	ተፈረመ	ይፈረማል	ተፈርሟል	-	ይፈረም	-
ተፈረደ	ተፈረደ	ይፈረዳል	ተፈርዷል	-	ይፈረድ	-
ተፈራ	ተፈራ	ይፈራል	ተፈርቷል	-	ይፈራ	ተፈራ
ተፈቀደ	ተፈቀደ	ይፈቀዳል	ተፈቅዷል	-	ይፈቀድ	-
ተፈታ	ተፈታ	ይፈታል	ተፈትቷል	-	ይፈታ	ተፈታ
ተፈናቀለ	ተፈናቀለ	ይፈናቀላል	ተፈናቅሏል	-	ይፈናቀል	-
ተፈጀ	ተፈጀ	ይፈጃል	ተፈጅቷል	-	ይፈጅ	-
ተፈጠረ	ተፈጠረ	ይፈጠራል	ተፈጥሯል	-	ይፈጠር	-
ተፈጸመ	ተፈፀመ	ይፈፀማል	ተፈፅሟል	-	ይፈፀም	-
ታመመ	ታመመ	ይታመማል	ታሟል	-	ይታመም	ታመም
ታመነ	ታመነ	ይታመናል	ታምኗል	-	ይታመን	ታመን
ታረቀ	ታረቀ	ይታረቃል	ታርቋል	-	ይታረቅ	ታረቅ
ታሰረ	ታሰረ	ይታሰራል	ታስሯል	-	ይታሰር	ታሰር
ታሰበ	ታሰበ	ይታሰባል	ታስቧል	-	ይታሰብ	-
ታወቀ	ታወቀ	ይታወቃል	ታውቋል	-	ይታወቅ	ታወቅ
ታወከ	ታወከ	ይታወካል	ታውኳል	-	ይታወክ	ታወክ
ታዘዘ	ታዘዘ	ይታዘዛል	ታዟል	-	ይታዘዝ	ታዘዝ
ታየ	ታየ	ይታያል	ታይቷል	-	ይታይ	ታይ
ታደለ	ታደለ	ይታደላል	ታድሏል	-	ይታደል	ታደል
ታደሰ	ታደሰ	ይታደሳል	ታድሷል	-	ይታደስ	-
ታገደ	ታገደ	ይታገዳል	ታግዷል	-	ይታገድ	ታገድ
ታጠቀ	ታጠቀ	ይታጠቃል	ታጥቋል	-	ይታጠቅ	ታጠቅ
ታጠበ	ታጠበ	ይታጠባል	ታጥቧል	-	ይታጠብ	ታጠብ
ቻለ	ቻለ	ይችላል	ችሏል	-	ይችል	ቻል
ነሳ	ነሣ	ይነሣል	ነሥቷል	-	ይነሣ	ንሣ
ነቀፈ	ነቀፈ	ይነቅፋል	ነቅፏል	-	ይነቅፍ	ንቀፍ
ነቃ	ነቃ	ይነቃል	ነቅቷል	-	ይነቃ	ንቃ
ነበረ	ነበረ	-	-	-	-	-
ነካ	ነካ	ይነካል	ነክቷል	-	ይነካ	ንካ
ነደደ	ነደደ	ይነዳል	ነዷል	-	ይነድ	-
ነደፈ	ነደፈ	ይነድፋል	ነድፏል	-	ይነድፍ	ንደፍ
ነገረ	ነገረ	ይነግራል	ነግሯል	-	ይነግር	ንገር
ነገሰ	ነገሠ	ይነግሣል	ነግሷል	-	ይነግሥ	-
ነገደ	ነገደ	ይነግዳል	ነግዷል	-	ይነግድ	ንገድ
ነጋ	ነጋ	ይነጋል	ነግቷል	-	ይነጋ	-
ነፋ	ነፋ	ይነፋል	ነፍቷል	-	ይነፋ	ንፋ
ናቀ	ናቀ	ይንቃል	ንቋል	-	ይንቅ	ናቅ
ናፈቀ	ናፈቀ	ይናፍቃል	ናፍቋል	-	ይናፍቅ	ናፍቅ
ኖረ	ኖረ	ይኖራል	ኖሯል	-	ይኖር	ኑር
አለ	አለ	ይላል	ብሏል	አለ	ይል	በል
አለቀ	አለቀ	ያልቃል	አልቋል	-	ያልቅ	እለቅ
አለቀሰ	አለቀሰ	ያለቅሳል	አልቅሷል	-	ያለቅስ	አልቅስ
አለፈ	አለፈ	ያልፋል	አልፏል	-	ያልፍ	እለፍ
አላቀ	አላቀ	ያልቃል	አልቋል	-	ያልቅ	-
አላፈ	አላፈ	ያልፋል	አልፏል	-	ያልፍ	አልፍ
አመለከተ	አመለከተ	ያመለክታል	አመልክቷል	-	ያመለክት	አመልክት
አመለጠ	አመለጠ	ያመልጣል	አምልጧል	-	ያመልጥ	አምልጥ
አመመ	አመመ	ያማል	አሟል	-	ያም	እመም
አመረተ	አመረተ	ያመርታል	አምርቷል	-	ያመርት	አምርት
አመራ	አመራ	ያመራል	አምርቷል	-	ያመራ	አምራ
አመሰገነ	አመሰገነ	ያመሰግናል	አመስግኗል	-	ያመሰግን	አመስግን
አመሸ	አመሸ	ያመሻል	አምሽቷል	-	ያመሽ	አምሽ
አመቻቸ	አመቻቸ	ያመቻቻል	አመቻችቷል	-	ያመቻች	አመቻች
አመነ	አመነ	ያምናል	አምኗል	-	ያምን	እመን
አመነዘረ	አመነዘረ	ያመነዝራል	አመንዝሯል	-	ያመነዝር	አመንዝር
አመጣ	አመጣ	ያመጣል	አምጥቷል	-	ያመጣ	አምጣ
አማረ	አማረ	ያምራል	አምሯል	-	ያምር	-
አማረረ	አማረረ	ያማርራል	አማርሯል	-	ያማርር	አማርር
አሟላ	አሟላ	ያሟላል	አሟልቷል	-	ያሟላ	አሟላ
አረቀ	አረቀ	ያርቃል	አርቋል	-	ያርቅ	አርቅ
አረከሰ	አረከሰ	ያረክሳል	አርክሷል	-	ያረክስ	አርክስ
አረካ	አረካ	ያረካል	አርክቷል	-	ያረካ	አርካ
አረደ	አረደ	ያርዳል	አርዷል	-	ያርድ	እረድ
አረጋ	አረጋ	ያረጋል	አርግቷል	-	ያረጋ	-
አረጋገጠ	አረጋገጠ	ያረጋግጣል	አረጋግጧል	-	ያረጋግጥ	አረጋግጥ
አረፈ	አረፈ	ያርፋል	አርፏል	-	ያርፍ	እረፍ
አራመደ	አራመደ	ያራምዳል	አራምዷል	-	ያራምድ	አራምድ
አራቀ	አራቀ	ያርቃል	አርቋል	-	ያርቅ	አርቅ
አሰለፈ	አሰለፈ	ያሰልፋል	አሰልፏል	-	ያሰልፍ	አሰልፍ
አሰማ	አሰማ	ያሰማል	አሰምቷል	-	ያሰማ	አሰማ
አሰረ	አሰረ	ያስራል	አስሯል	-	ያስር	እሰር
አሰራጨ	አሰራጨ	ያሰራጫል	አሰራጭቷል	-	ያሰራጭ	አሰራጭ
አሰቃየ	አሰቃየ	ያሰቃያል	አሰቃይቷል	-	ያሰቃይ	-
አሰበ	አሰበ	ያስባል	አስቧል	-	ያስብ	አስብ
አሰባሰበ	አሰባሰበ	ያሰባስባል	አሰባስቧል	-	ያሰባስብ	አሰባስብ
አሰኘ	አሰኘ	ያሰኛል	አሰኝቷል	-	ያሰኝ	-
አሰጋ	አሰጋ	ያሰጋል	አሰግቷል	-	ያሰጋ	-
አሳለፈ	አሳለፈ	ያሳልፋል	አሳልፏል	-	ያሳልፍ	አሳልፍ
አሳረፈ	አሳረፈ	ያሳርፋል	አሳርፏል	-	ያሳርፍ	-
አሳሰበ	አሳሰበ	ያሳስባል	አሳስቧል	-	ያሳስብ	አሳስብ
አሳሳበ	አሳሳበ	ያሳስባል	አሳስቧል	-	ያሳስብ	አሳስብ
አሳበ	አሳበ	ያስባል	አስቧል	-	ያስብ	አስብ
አሳተ	አሳተ	ያስታል	አስቷል	-	ያስት	-
አሳወቀ	አሳወቀ	ያሳውቃል	አሳውቋል	-	ያሳውቅ	አሳውቅ
አሳዘነ	አሳዘነ	ያሳዝናል	አሳዝኗል	-	ያሳዝን	አሳዝን
አሳየ	አሳየ	ያሳያል	አሳይቷል	-	ያሳይ	አሳይ
አሳደረ	አሳደረ	ያሳድራል	አሳድሯል	-	ያሳድር	-
አሳደገ	አሳደገ	ያሳድጋል	አሳድጓል	-	ያሳድግ	-
አሳጣ	አሳጣ	ያሳጣል	አሳጥቷል	-	ያሳጣ	-
አስመሰለ	አስመሰለ	ያስመስላል	አስመስሏል	-	ያስመስል	-
አስመዘነ	አስመዘነ	ያስመዝናል	አስመዝኗል	-	ያስመዝን	አስመዝን
አስመዘገበ	አስመዘገበ	ያስመዘግባል	አስመዝግቧል	-	ያስመዘግብ	አስመዝግብ
አስመጣ	አስመጣ	ያስመጣል	አስመጥቷል	-	ያስመጣ	አስመጣ
አስረከበ	አስረከበ	ያስረክባል	አስረክቧል	-	ያስረክብ	አስረክብ
አስረዳ	አስረዳ	ያስረዳል	አስረድቷል	-	ያስረዳ	አስረዳ
አስቀመጠ	አስቀመጠ	ያስቀምጣል	አስቀምጧል	-	ያስቀምጥ	አስቀምጥ
አስቀረ	አስቀረ	ያስቀራል	አስቀርቷል	-	ያስቀር	-
አስቀበለ	አስቀበለ	ያስቀብላል	አስቀብሏል	-	ያስቀብል	አስቀብል
አስቀደመ	አስቀደመ	ያስቀድማል	አስቀድሟል	-	ያስቀድም	-
አስቆጠረ	አስቆጠረ	ያስቆጥራል	አስቆጥሯል	-	ያስቆጥር	አስቆጥር
አስቆጣ	አስቆጣ	ያስቆጣል	አስቆጥቷል	-	ያስቆጣ	-
አስተላለፈ	አስተላለፈ	ያስተላልፋል	አስተላልፏል	-	ያስተላልፍ	አስተላልፍ
አስተባበለ	አስተባበለ	ያስተባብላል	አስተባብሏል	-	ያስተባብል	አስተባብል
አስተካከለ	አስተካከለ	ያስተካክላል	አስተካክሏል	-	ያስተካክል	አስተካክል
አስተዋወቀ	አስተዋወቀ	ያስተዋውቃል	አስተዋውቋል	-	ያስተዋውቅ	አስተዋውቅ
አስተዳደረ	አስተዳደረ	ያስተዳድራል	አስተዳድሯል	-	ያስተዳድር	-
አስታወሰ	አስታወሰ	ያስታውሳል	አስታውሷል	-	ያስታውስ	አስታውስ
አስታወቀ	አስታወቀ	ያስታውቃል	አስታውቋል	-	ያስታውቅ	አስታውቅ
አስቸገረ	አስቸገረ	ያስቸግራል	አስቸግሯል	-	ያስቸግር	-
አስቻለ	አስቻለ	ያስችላል	አስችሏል	-	ያስችል	-
አስከተለ	አስከተለ	ያስከትላል	አስከትሏል	-	ያስከትል	-
አስወገደ	አስወገደ	ያስወግዳል	አስወግዷል	-	ያስወግድ	አስወግድ
አስወጣ	አስወጣ	ያስወጣል	አስወጥቷል	-	ያስወጣ	አስወጣ
አስያዘ	አስያዘ	ያስይዛል	አስይዟል	-	ያስይዝ	አስይዝ
አስደሰተ	አስደሰተ	ያስደስታል	አስደስቷል	-	ያስደስት	-
አስደነቀ	አስደነቀ	ያስደንቃል	አስደንቋል	-	ያስደንቅ	-
አስገረመ	አስገረመ	ያስገርማል	አስገርሟል	-	ያስገርም	-
አስገባ	አስገባ	ያስገባል	አስገብቷል	-	ያስገባ	አስገባ
አስገነዘበ	አስገነዘበ	ያስገነዝባል	አስገንዝቧል	-	ያስገነዝብ	አስገንዝብ
አስገኘ	አስገኘ	ያስገኛል	አስገኝቷል	-	ያስገኝ	አስገኝ
አስገደደ	አስገደደ	ያስገድዳል	አስገድዷል	-	ያስገድድ	አስገድድ
አስጠራ	አስጠራ	ያስጠራል	አስጠርቷል	-	ያስጠራ	አስጠራ
አስጠነቀቀ	አስጠነቀቀ	ያስጠነቅቃል	አስጠንቅቋል	-	ያስጠነቅቅ	አስጠንቅቅ
አስጠጣ	አስጠጣ	ያስጠጣል	አስጠጥቷል	-	ያስጠጣ	አስጠጣ
አስጨለመ	አስጨለመ	ያስጨልማል	አስጨልሟል	-	ያስጨልም	-
አስጨነቀ	አስጨነቀ	ያስጨንቃል	አስጨንቋል	-	ያስጨንቅ	-
አስፈለገ	አስፈለገ	ያስፈልጋል	አስፈልጓል	-	ያስፈልግ	-
አስፈራ	አስፈራ	ያስፈራል	አስፈርቷል	-	ያስፈራ	-
አሸ	አሸ	ያሻል	አሽቷል	-	ያሽ	እሽ
አሸነፈ	አሸነፈ	ያሸንፋል	አሸንፏል	-	ያሸንፍ	አሸንፍ
አሻለ	አሻለ	ያሽላል	አሽሏል	-	ያሽል	አሽል
አሻሻለ	አሻሻለ	ያሻሽላል	አሻሽሏል	-	ያሻሽል	አሻሽል
አሻገረ	አሻገረ	ያሻግራል	አሻግሯል	-	ያሻግር	-
አቀረበ	አቀረበ	ያቀርባል	አቅርቧል	-	ያቀርብ	አቅርብ
አቀና	አቀና	ያቀናል	አቅንቷል	-	ያቀና	አቅና
አቀደ	አቀደ	ያቅዳል	አቅዷል	-	ያቅድ	አቅድ
አቀጠለ	አቀጠለ	ያቀጥላል	አቀጥሏል	-	ያቀጥል	አቀጥል
አቃተ	አቃተ	ያቅታል	አቅቷል	-	ያቅት	-
አቃጠለ	አቃጠለ	ያቃጥላል	አቃጥሏል	-	ያቃጥል	አቃጥል
አቆመ	አቆመ	ያቆማል	አቆሟል	-	ያቆም	አቁም
አቋረጠ	አቋረጠ	ያቋርጣል	አቋርጧል	-	ያቋርጥ	አቋርጥ
አቋቋመ	አቋቋመ	ያቋቁማል	አቋቁሟል	-	ያቋቁም	አቋቁም
አበላሸ	አበላሸ	ያበላሻል	አበላሽቷል	-	ያበላሽ	አበላሽ
አበረ	አበረ	ያብራል	አብሯል	-	ያብር	እበር
አበረከተ	አበረከተ	ያበረክታል	አበርክቷል	-	ያበረክት	-
አበሰ	አበሰ	ያብሳል	አብሷል	-	ያብስ	እበስ
አበሰረ	አበሰረ	ያበስራል	አብስሯል	-	ያበስር	አብስር
አበሳጨ	አበሳጨ	ያበሳጫል	አበሳጭቷል	-	ያበሳጭ	አበሳጭ
አበቃ	አበቃ	ያበቃል	አብቅቷል	-	ያበቃ	አብቃ
አበዛ	አበዛ	ያበዛል	አብዝቷል	-	ያበዛ	አብዛ
አባረረ	አባረረ	ያባርራል	አባርሯል	-	ያባርር	አባርር
አባባሰ	አባባሰ	ያባብሳል	አባብሷል	-	ያባብስ	-
አብራራ	አብራራ	ያብራራል	አብራርቷል	-	ያብራራ	አብራራ
አተመ	አተመ	ያትማል	አትሟል	-	ያትም	አትም
አተረፈ	አተረፈ	ያተርፋል	አትርፏል	-	ያተርፍ	አትርፍ
አታለለ	አታለለ	ያታልላል	አታልሏል	-	ያታልል	አታልል
አነሰ	አነሰ	ያንሳል	አንሷል	-	ያንስ	-
አነሳ	አነሣ	ያነሳል	አንሥቷል	-	ያነሳ	አንሣ
አነጋገረ	አነጋገረ	ያነጋግራል	አነጋግሯል	-	ያነጋግር	አነጋግር
አናደደ	አናደደ	ያናድዳል	አናድዷል	-	ያናድድ	-
አኖረ	አኖረ	ያኖራል	አኖሯል	-	ያኖር	አኑር
አከለ	አከለ	ያክላል	አክሏል	-	ያክል	-
አከማቸ	አከማቸ	ያከማቻል	አከማችቷል	-	ያከማች	አከማች
አከበረ	አከበረ	ያከብራል	አክብሯል	-	ያከብር	አክብር
አከናወነ	አከናወነ	ያከናውናል	አከናውኗል	-	ያከናውን	አከናውን
አካተተ	አካተተ	ያካትታል	አካትቷል	-	ያካትት	አካትት
አወረደ	አወረደ	ያወርዳል	አውርዷል	-	ያወርድ	አውርድ
አወራ	አወራ	ያወራል	አውርቷል	-	ያወራ	አውራ
አወሳ	አወሳ	ያወሳል	አውስቷል	-	ያወሳ	አውሳ
አወቀ	አወቀ	ያውቃል	አውቋል	-	ያውቅ	እወቅ
አወከ	አወከ	ያውካል	አውኳል	-	ያውክ	አውክ
አወደመ	አወደመ	ያወድማል	አውድሟል	-	ያወድም	አውድም
አወገዘ	አወገዘ	ያወግዛል	አውግዟል	-	ያወግዝ	አውግዝ
አወጣ	አወጣ	ያወጣል	አውጥቷል	-	ያወጣ	አውጣ
አዋለ	አዋለ	ያውላል	አውሏል	-	ያውል	አውል
አዋረደ	አዋረደ	ያዋርዳል	አዋርዷል	-	ያዋርድ	አዋርድ
አዋጣ	አዋጣ	ያዋጣል	አዋጥቷል	-	ያዋጣ	አዋጣ
አዘነ	አዘነ	ያዝናል	አዝኗል	-	ያዝን	እዘን
አዘዘ	አዘዘ	ያዛል	አዟል	-	ያዝ	እዘዝ
አዘጋጀ	አዘጋጀ	ያዘጋጃል	አዘጋጅቷል	-	ያዘጋጅ	አዘጋጅ
አዞረ	አዞረ	ያዞራል	አዞሯል	-	ያዞር	አዙር
አየ	አየ	ያያል	አይቷል	-	ያይ	እይ
አያያዘ	አያያዘ	ያያይዛል	አያይዟል	-	ያያይዝ	አያይዝ
አደረ	አደረ	ያድራል	አድሯል	-	ያድር	እደር
አደረሰ	አደረሰ	ያደርሳል	አድርሷል	-	ያደርስ	አድርስ
አደረገ	አደረገ	ያደርጋል	አድርጓል	-	ያደርግ	አድርግ
አደራጀ	አደራጀ	ያደራጃል	አደራጅቷል	-	ያደራጅ	አደራጅ
አደነ	አደነ	ያድናል	አድኗል	-	ያድን	አድን
አደነቀ	አደነቀ	ያደንቃል	አድንቋል	-	ያደንቅ	አድንቅ
አደከመ	አደከመ	ያደክማል	አድክሟል	-	ያደክም	-
አደገ	አደገ	ያድጋል	አድጓል	-	ያድግ	እደግ
አዳመጠ	አዳመጠ	ያዳምጣል	አዳምጧል	-	ያዳምጥ	አዳምጥ
አዳረ	አዳረ	ያድራል	አድሯል	-	ያድር	አድር
አዳነ	አዳነ	ያድናል	አድኗል	-	ያድን	አድን
አዳከመ	አዳከመ	ያዳክማል	አዳክሟል	-	ያዳክም	አዳክም
አገለገለ	አገለገለ	ያገለግላል	አገልግሏል	-	ያገለግል	አገልግል
አገረሸ	አገረሸ	ያገረሻል	አገርሽቷል	-	ያገረሽ	-
አገባ	አገባ	ያገባል	አግብቷል	-	ያገባ	አግባ
አገኘ	አገኘ	ያገኛል	አግኝቷል	-	ያገኝ	አግኝ
አገዘ	አገዘ	ያግዛል	አግዟል	-	ያግዝ	አግዝ
አገደ	አገደ	ያግዳል	አግዷል	-	ያግድ	አግድ
አጋባ	አጋባ	ያጋባል	አጋብቷል	-	ያጋባ	አጋባ
አጋዘ	አጋዘ	ያግዛል	አግዟል	-	ያግዝ	አግዝ
አጋጠመ	አጋጠመ	ያጋጥማል	አጋጥሟል	-	ያጋጥም	-
አጎላ	አጎላ	ያጎላል	አጉልቷል	-	ያጎላ	-
አጠራጠረ	አጠራጠረ	ያጠራጥራል	አጠራጥሯል	-	ያጠራጥር	-
አጠቃ	አጠቃ	ያጠቃል	አጥቅቷል	-	ያጠቃ	አጥቃ
አጠቃለለ	አጠቃለለ	ያጠቃልላል	አጠቃልሏል	-	ያጠቃልል	አጠቃልል
አጠበ	አጠበ	ያጥባል	አጥቧል	-	ያጥብ	እጠብ
አጠና	አጠና	ያጠናል	አጥንቷል	-	ያጠና	አጥና
አጠናቀቀ	አጠናቀቀ	ያጠናቅቃል	አጠናቅቋል	-	ያጠናቅቅ	አጠናቅቅ
አጠናከረ	አጠናከረ	ያጠናክራል	አጠናክሯል	-	ያጠናክር	አጠናክር
አጠፋ	አጠፋ	ያጠፋል	አጥፍቷል	-	ያጠፋ	አጥፋ
አጣ	አጣ	ያጣል	አጥቷል	-	ያጣ	እጣ
አጣጣለ	አጣጣለ	ያጣጥላል	አጣጥሏል	-	ያጣጥል	አጣጥል
አጸደቀ	አፀደቀ	ያጸድቃል	አፅድቋል	-	ያጸድቅ	አፅድቅ
አፈረ	አፈረ	ያፍራል	አፍሯል	-	ያፍር	እፈር
አፈረሰ	አፈረሰ	ያፈርሳል	አፍርሷል	-	ያፈርስ	አፍርስ
አፈራ	አፈራ	ያፈራል	አፍርቷል	-	ያፈራ	አፍራ
አፈሰሰ	አፈሰሰ	ያፈሳል	አፍስሷል	-	ያፈስ	አፍስስ
አፈነ	አፈነ	ያፍናል	አፍኗል	-	ያፍን	አፍን
አፋረ	አፋረ	ያፍራል	አፍሯል	-	ያፍር	አፍር
ከለከለ	ከለከለ	ይከለክላል	ከልክሏል	-	ይከለክል	ከልክል
ከረከረ	ከረከረ	ይከረክራል	ከርክሯል	-	ይከረክር	ከርክር
ከሰሰ	ከሰሰ	ይከሳል	ከሷል	-	ይከስ	ክሰስ
ከበረ	ከበረ	ይከብራል	ከብሯል	-	ይከብር	ክበር
ከበደ	ከበደ	ይከብዳል	ከብዷል	-	ይከብድ	-
ከተተ	ከተተ	ይከታል	ከቷል	-	ይከት	ክተት
ከፈለ	ከፈለ	ይከፍላል	ከፍሏል	-	ይከፍል	ክፈል
ከፈተ	ከፈተ	ይከፍታል	ከፍቷል	-	ይከፍት	ክፈት
ካሰ	ካሰ	ይክሳል	ክሷል	-	ይክስ	ካስ
ካደ	ካደ	ይክዳል	ክዷል	-	ይክድ	ካድ
ኮራ	ኮራ	ይኮራል	ኮርቷል	-	ይኮራ	ኩራ
ኮነነ	ኮነነ	ይኮንናል	ኮንኗል	-	ይኮንን	ኮንን
ወለደ	ወለደ	ይወልዳል	ወልዷል	-	ይወልድ	ውለድ
ወረረ	ወረረ	ይወራል	ወሯል	-	ይወር	ውረር
ወረሰ	ወረሰ	ይወርሳል	ወርሷል	-	ይወርስ	ውረስ
ወረወረ	ወረወረ	ይወረውራል	ወርውሯል	-	ይወረውር	ወርውር
ወረደ	ወረደ	ይወርዳል	ወርዷል	-	ይወርድ	ውረድ
ወሰነ	ወሰነ	ይወስናል	ወስኗል	-	ይወስን	ወስን
ወሰደ	ወሰደ	ይወስዳል	ወስዷል	-	ይወስድ	ውሰድ
ወቀሰ	ወቀሰ	ይወቅሳል	ወቅሷል	-	ይወቅስ	ውቀስ
ወነጀለ	ወነጀለ	ይወነጅላል	ወንጅሏል	-	ይወነጅል	ወንጅል
ወከለ	ወከለ	ይወክላል	ወክሏል	-	ይወክል	ወክል
ወደመ	ወደመ	ይወድማል	ወድሟል	-	ይወድም	ውደም
ወደቀ	ወደቀ	ይወድቃል	ወድቋል	-	ይወድቅ	ውደቅ
ወደደ	ወደደ	ይወዳል	ወዷል	-	ይወድ	ውደድ
ወጣ	ወጣ	ይወጣል	ወጥቷል	-	ይወጣ	ውጣ
ዋለ	ዋለ	ይውላል	ውሏል	-	ይውል	ዋል
ዋጠ	ዋጠ	ይውጣል	ውጧል	-	ይውጥ	ዋጥ
ዘለቀ	ዘለቀ	ይዘልቃል	ዘልቋል	-	ይዘልቅ	-
ዘመረ	ዘመረ	ይዘምራል	ዘምሯል	-	ይዘምር	ዘምር
ዘመተ	ዘመተ	ይዘምታል	ዘምቷል	-	ይዘምት	ዝመት
ዘረዘረ	ዘረዘረ	ይዘረዝራል	ዘርዝሯል	-	ይዘረዝር	ዘርዝር
ዘረጋ	ዘረጋ	ይዘረጋል	ዘርግቷል	-	ይዘረጋ	ዘርጋ
ዘራ	ዘራ	ይዘራል	ዘርቷል	-	ይዘራ	ዝራ
ዘነጋ	ዘነጋ	ይዘነጋል	ዘንግቷል	-	ይዘነጋ	ዘንጋ
ዘገበ	ዘገበ	ይዘግባል	ዘግቧል	-	ይዘግብ	ዝገብ
ዘገየ	ዘገየ	ይዘገያል	ዘግይቷል	-	ይዘገይ	ዘግይ
ዘጋ	ዘጋ	ይዘጋል	ዘግቷል	-	ይዘጋ	ዝጋ
ዛለ	ዛለ	ይዝላል	ዝሏል	-	ይዝል	ዛል
ዞረ	ዞረ	ይዞራል	ዞሯል	-	ይዞር	ዙር
ያዘ	ያዘ	ይይዛል	ይዟል	-	ይይዝ	ያዝ
ደመሰሰ	ደመሰሰ	ይደመስሳል	ደምስሷል	-	ይደመስስ	ደምስስ
ደመደመ	ደመደመ	ይደመድማል	ደምድሟል	-	ይደመድም	ደምድም
ደማ	ደማ	ይደማል	ደምቷል	-	ይደማ	ድማ
ደረሰ	ደረሰ	ይደርሳል	ደርሷል	-	ይደርስ	ድረስ
ደረቀ	ደረቀ	ይደርቃል	ደርቋል	-	ይደርቅ	-
ደረጀ	ደረጀ	ይደረጃል	ደርጅቷል	-	ይደረጅ	ደርጅ
ደነቀ	ደነቀ	ይደንቃል	ደንቋል	-	ይደንቅ	-
ደነገገ	ደነገገ	ይደነግጋል	ደንግጓል	-	ይደነግግ	ደንግግ
ደነገጠ	ደነገጠ	ይደነግጣል	ደንግጧል	-	ይደነግጥ	ደንግጥ
ደከመ	ደከመ	ይደክማል	ደክሟል	-	ይደክም	-
ደወለ	ደወለ	ይደውላል	ደውሏል	-	ይደውል	ደውል
ደገፈ	ደገፈ	ይደግፋል	ደግፏል	-	ይደግፍ	ደግፍ
ደፈረ	ደፈረ	ይደፍራል	ደፍሯል	-	ይደፍር	ድፈር
ዳረገ	ዳረገ	ይዳርጋል	ዳርጓል	-	ይዳርግ	-
ዳነ	ዳነ	ይድናል	ድኗል	-	ይድን	ዳን
ዶለ	ዶለ	ይዶላል	ዶሏል	-	ይዶል	ዱል
ጀመረ	ጀመረ	ይጀምራል	ጀምሯል	-	ይጀምር	ጀምር
ገለበጠ	ገለበጠ	ይገለብጣል	ገልብጧል	-	ይገለብጥ	-
ገለጸ	ገለፀ	ይገልፃል	ገልጿል	-	ይገልፅ	ግለፅ
ገመተ	ገመተ	ይገምታል	ገምቷል	-	ይገምት	ገምት
ገመገመ	ገመገመ	ይገመግማል	ገምግሟል	-	ይገመግም	ገምግም
ገረመ	ገረመ	ይገርማል	ገርሟል	-	ይገርም	-
ገረፈ	ገረፈ	ይገርፋል	ገርፏል	-	ይገርፍ	ግረፍ
ገባ	ገባ	ይገባል	ገብቷል	-	ይገባ	ግባ
ገነባ	ገነባ	ይገነባል	ገንብቷል	-	ይገነባ	ገንባ
ገዛ	ገዛ	ይገዛል	ገዝቷል	-	ይገዛ	ግዛ
ገደለ	ገደለ	ይገድላል	ገድሏል	-	ይገድል	ግደል
ገጠመ	ገጠመ	ይገጥማል	ገጥሟል	-	ይገጥም	ግጠም
ገፋ	ገፋ	ይገፋል	ገፍቷል	-	ይገፋ	ግፋ
ጋበዘ	ጋበዘ	ይጋብዛል	ጋብዟል	-	ይጋብዝ	ጋብዝ
ጎበኘ	ጎበኘ	ይጎበኛል	ጎብኝቷል	-	ይጎበኝ	ጎብኝ
ጎዳ	ጎዳ	ይጎዳል	ጎድቷል	-	ይጎዳ	ጉዳ
ጠላ	ጠላ	ይጠላል	ጠልቷል	-	ይጠላ	ጥላ
ጠማ	ጠማ	ይጠማል	ጠምቷል	-	ይጠማ	-
ጠራ	ጠራ	ይጠራል	ጠርቷል	-	ይጠራ	ጥራ
