# lemma(1sg.pres)	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;1;PL	V;IND;PRS;2;PL	V;IND;PRS;3;PL	V;IND;PST;1;SG	V;IND;PST;2;SG	V;IND;PST;3;SG	V;IND;PST;1;PL	V;IND;PST;2;PL	V;IND;PST;3;PL	V;IND;PROG;PST;1;SG	V;IND;PROG;PST;2;SG	V;IND;PROG;PST;3;SG	V;IND;PROG;PST;1;PL	V;IND;PROG;PST;2;PL	V;IND;PROG;PST;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.CVB	V.PTCP;ACT;PST;MASC;SG;INDF	V.PTCP;ACT;PST;FEM;SG;INDF	V.PTCP;ACT;PST;NEUT;SG;INDF	V.PTCP;ACT;PST;PL;INDF	V.PTCP;ACT;PST;NFH;MASC;SG;INDF	V.PTCP;ACT;PST;NFH;FEM;SG;INDF	V.PTCP;ACT;PST;NFH;NEUT;SG;INDF	V.PTCP;ACT;PST;NFH;PL;INDF	V.PTCP;ACT;PRS;MASC;SG;INDF	V.PTCP;ACT;PRS;FEM;SG;INDF	V.PTCP;ACT;PRS;NEUT;SG;INDF	V.PTCP;ACT;PRS;PL;INDF	V.PTCP;PASS;PST;MASC;SG;INDF	V.PTCP;PASS;PST;FEM;SG;INDF	V.PTCP;PASS;PST;NEUT;SG;INDF	V.PTCP;PASS;PST;PL;INDF	V.MSDR;NEUT;SG;INDF	V.MSDR;PL;INDF  ("-" = productive default)
изгубвам	-	-	-	-	-	-	изгубвах	изгубва	изгубва	изгубвахме	изгубвахте	изгубваха	изгубвах	изгубваше	изгубваше	изгубвахме	изгубвахте	изгубваха	изгубвай	изгубвайте	изгубвайки	изгубвал	изгубвала	изгубвало	изгубвали	изгубвал	изгубвала	изгубвало	изгубвали	изгубващ	изгубваща	изгубващо	изгубващи	изгубван	изгубвана	изгубвано	изгубвани	изгубване	изгубвания-нета
изгубя	изгубя	изгубиш	изгуби	изгубим	изгубите	изгубят	изгубих	изгуби	изгуби	изгубихме	изгубихте	изгубиха	изгубех	изгубеше	изгубеше	изгубехме	изгубехте	изгубеха	изгуби	изгубете	-	изгубил	изгубила	изгубило	изгубили	изгубел	изгубела	изгубело	изгубели	-	-	-	-	изгубен	изгубена	изгубено	изгубени	-	-
издавя	издавя	издавиш	издави	издавим	издавите	издавят	издавих	издави	издави	издавихме	издавихте	издавиха	издавех	издавеше	издавеше	издавехме	издавехте	издавеха	издави	издавете	-	издавил	издавила	издавило	издавили	издавел	издавела	издавело	издавели	-	-	-	-	издавен	издавена	издавено	издавени	-	-
издигам	-	-	-	-	-	-	издигах	издига	издига	издигахме	издигахте	издигаха	издигах	издигаше	издигаше	издигахме	издигахте	издигаха	издигаи	издигаите	издигаики	издигал	издигала	издигало	издигали	издигал	издигала	издигало	издигали	издигащ	издигаща	издигащо	издигащи	издиган	издигана	издигано	издигани	издигане	издиганета
изжъна	изжъна	изжънеш	изжъне	изжънем	изжънете	изжънат	изжънах	изжъна	изжъна	изжънахме	изжънахте	изжънаха	изжънех	изжънеше	изжънеше	изжънехме	изжънехте	изжънеха	изжъни	изжънете	-	изжънал	изжънала	изжънало	изжънали	изжънел	изжънела	изжънело	изжънели	-	-	-	-	изжънат	изжъната	изжънато	изжънати	-	-
изключвам	-	-	-	-	-	-	изключвах	изключва	изключва	изключвахме	изключвахте	изключваха	изключвах	изключваше	изключваше	изключвахме	изключвахте	изключваха	изключваи	изключваите	изключваики	изключвал	изключвала	изключвало	изключвали	изключвал	изключвала	изключвало	изключвали	изключващ	изключваща	изключващо	изключващи	изключван	изключвана	изключвано	изключвани	изключване	изключванета
изкова	изкова	изковеш	изкове	изковем	изковете	изковат	изковах	изкова	изкова	изковахме	изковахте	изковаха	изковях	изковеше	изковеше	изковяхме	изковяхте	изковяха	изкови	изковете	-	изковал	изковала	изковало	изковали	изковял	изковяла	изковяло	изковели	-	-	-	-	изкован	изкована	изковано	изковани	-	-
изковавам	-	-	-	-	-	-	изковавах	изковава	изковава	изковавахме	изковавахте	изковаваха	изковавах	изковаваше	изковаваше	изковавахме	изковавахте	изковаваха	изковавай	изковавайте	изковавайки	изковавал	изковавала	изковавало	изковавали	изковавал	изковавала	изковавало	изковавали	изковаващ	изковаваща	изковаващо	изковаващи	изковаван	изковавана	изковавано	изковавани	изковаване	изковавания-нета
изкупувам	-	-	-	-	-	-	изкупувах	изкупува	изкупува	изкупувахме	изкупувахте	изкупуваха	изкупувах	изкупуваше	изкупуваше	изкупувахме	изкупувахте	изкупуваха	изкупувай	изкупувайте	изкупувайки	изкупувал	изкупувала	изкупувало	изкупували	изкупувал	изкупувала	изкупувало	изкупували	изкупуващ	изкупуваща	изкупуващо	изкупуващи	изкупуван	изкупувана	изкупувано	изкупувани	изкупуване	изкупувания-нета
изкупя	изкупя	изкупиш	изкупи	изкупим	изкупите	изкупят	изкупих	изкупи	изкупи	изкупихме	изкупихте	изкупиха	изкупех	изкупеше	изкупеше	изкупехме	изкупехте	изкупеха	изкупи	изкупете	-	изкупил	изкупила	изкупило	изкупили	изкупел	изкупела	изкупело	изкупели	-	-	-	-	изкупен	изкупена	изкупено	изкупени	-	-
излетя	излетя	излетиш	излети	излетим	излетите	излетят	излетях	излетя	излетя	излетяхме	излетяхте	излетяха	излетях	излетеше	излетеше	излетяхме	излетяхте	излетяха	излети	излетете	-	излетял	излетяла	излетяло	излетели	излетял	излетяла	излетяло	излетели	-	-	-	-	-	-	-	-	-	-
излизам	-	-	-	-	-	-	излизах	излиза	излиза	излизахме	излизахте	излизаха	излизах	излизаше	излизаше	излизахме	излизахте	излизаха	излизай	излизайте	излизайки	излизал	излизала	излизало	излизали	излизал	излизала	излизало	излизали	излизащ	излизаща	излизащо	излизащи	-	-	-	-	излизане	излизания-нета
излича	излича	изличиш	изличи	изличим	изличите	изличат	изличих	изличи	изличи	изличихме	изличихте	изличиха	изличах	изличеше	изличеше	изличахме	изличахте	изличаха	изличи	изличете	-	изличил	изличила	изличило	изличили	изличал	изличала	изличало	изличали	-	-	-	-	-	-	-	-	-	-
изложа	изложа	изложиш	изложи	изложим	изложите	изложат	изложих	изложи	изложи	изложихме	изложихте	изложиха	изложех	изложеше	изложеше	изложехме	изложехте	изложеха	изложи	изложете	-	изложил	изложила	изложило	изложили	изложел	изложела	изложело	изложели	-	-	-	-	изложен	изложена	изложено	изложени	-	-
изляза	изляза	излезеш	излезе	излезем	излезете	излязат	излязох	излезе	излезе	излязохме	излязохте	излязоха	излезех	излезеше	излезеше	излезехме	излезехте	излезеха	излез	излезте	-	излязъл	излязла	излязло	излезли	излезел	излезела	излезело	излезели	-	-	-	-	-	-	-	-	-	-
измажа	измажа	измажеш	измаже	измажем	измажете	измажат	измазах	измаза	измаза	измазахме	измазахте	измазаха	измажех	измажеше	измажеше	измажехме	измажехте	измажеха	измажи	измажете	-	измазал	измазала	измазало	измазали	измажел	измажела	измажело	измажели	-	-	-	-	измазан	измазана	измазано	измазани	-	-
измамвам	-	-	-	-	-	-	измамвах	измамва	измамва	измамвахме	измамвахте	измамваха	измамвах	измамваше	измамваше	измамвахме	измамвахте	измамваха	измамваи	измамваите	измамваики	измамвал	измамвала	измамвало	измамвали	измамвал	измамвала	измамвало	измамвали	измамващ	измамваща	измамващо	измамващи	измамван	измамвана	измамвано	измамвани	измамване	измамванета
измамя	измамя	измамиш	измами	измамим	измамите	измамят	измамих	измами	измами	измамихме	измамихте	измамиха	измамех	измамеше	измамеше	измамехме	измамехте	измамеха	измами	измамете	-	измамил	измамила	измамило	измамили	измамел	измамела	измамело	измамели	-	-	-	-	измамен	измамена	измамено	измамени	-	-
измета	измета	изметеш	измете	изметем	изметете	изметат	изметох	измете	измете	изметохме	изметохте	изметоха	изметях	изметеше	изметеше	изметяхме	изметяхте	изметяха	измети	изметете	-	измел	измела	измело	измели	изметял	изметяла	изметяло	изметели	-	-	-	-	изметен	изметена	изметено	изметени	-	-
измина	измина	изминеш	измине	изминем	изминете	изминат	изминах	измина	измина	изминахме	изминахте	изминаха	изминех	изминеше	изминеше	изминехме	изминехте	изминеха	измини	изминете	-	изминал	изминала	изминало	изминали	изминел	изминела	изминело	изминели	-	-	-	-	изминат	измината	изминато	изминати	-	-
изминавам	-	-	-	-	-	-	изминавах	изминава	изминава	изминавахме	изминавахте	изминаваха	изминавах	изминаваше	изминаваше	изминавахме	изминавахте	изминаваха	изминавай	изминавайте	изминавайки	изминавал	изминавала	изминавало	изминавали	изминавал	изминавала	изминавало	изминавали	изминаващ	изминаваща	изминаващо	изминаващи	изминаван	изминавана	изминавано	изминавани	изминаване	изминавания-нета
измирам	-	-	-	-	-	-	измирах	измира	измира	измирахме	измирахте	измираха	измирах	измираше	измираше	измирахме	измирахте	измираха	измирай	измирайте	измирайки	измирал	измирала	измирало	измирали	измирал	измирала	измирало	измирали	измиращ	измираща	измиращо	измиращи	-	-	-	-	измиране	измирания-нета
измисля	измисля	измислиш	измисли	измислим	измислите	измислят	измислих	измисли	измисли	измислихме	измислихте	измислиха	измислех	измислеше	измислеше	измислехме	измислехте	измислеха	измисли	измислете	-	измислил	измислила	измислило	измислили	измислел	измислела	измислело	измислели	-	-	-	-	измислен	измислена	измислено	измислени	-	-
измислям	-	-	-	-	-	-	измислях	измисля	измисля	измисляхме	измисляхте	измисляха	измислях	измисляше	измисляше	измисляхме	измисляхте	измисляха	измисляи	измисляите	измисляики	измислял	измисляла	измисляло	измисляли	измислял	измисляла	измисляло	измисляли	измислящ	измисляща	измислящо	измислящи	измислян	измисляна	измисляно	измисляни	измисляне	измислянета
измитам	-	-	-	-	-	-	измитах	измита	измита	измитахме	измитахте	измитаха	измитах	измиташе	измиташе	измитахме	измитахте	измитаха	измитай	измитайте	измитайки	измитал	измитала	измитало	измитали	измитал	измитала	измитало	измитали	измитащ	измитаща	измитащо	измитащи	измитан	измитана	измитано	измитани	измитане	измитания-нета
измия	измия	измиеш	измие	измием	измиете	измият	измих	изми	изми	измихме	измихте	измиха	измиех	измиеше	измиеше	измиехме	измиехте	измиеха	измии	измиите	-	измил	измила	измило	измили	измиел	измиела	измиело	измиели	-	-	-	-	измит	измита	измито	измити	-	-
изморя	изморя	измориш	измори	изморим	изморите	изморят	изморих	измори	измори	изморихме	изморихте	измориха	изморях	измореше	измореше	изморяхме	изморяхте	изморяха	измори	изморете	-	изморил	изморила	изморило	изморили	изморял	изморяла	изморяло	изморели	-	-	-	-	изморен	изморена	изморено	изморени	-	-
измра	измра	измреш	измре	измрем	измрете	измрат	измрях	измря	измря	измряхме	измряхте	измряха	измрях	измреше	измреше	измряхме	измряхте	измряха	измри	измрете	-	измрял	измряла	измряло	измрели	измрял	измряла	измряло	измрели	-	-	-	-	-	-	-	-	-	-
измъквам	-	-	-	-	-	-	измъквах	измъква	измъква	измъквахме	измъквахте	измъкваха	измъквах	измъкваше	измъкваше	измъквахме	измъквахте	измъкваха	измъкваи	измъкваите	измъкваики	измъквал	измъквала	измъквало	измъквали	измъквал	измъквала	измъквало	измъквали	измъкващ	измъкваща	измъкващо	измъкващи	измъкван	измъквана	измъквано	измъквани	измъкване	измъкванета
измъкна	измъкна	измъкнеш	измъкне	измъкнем	измъкнете	измъкнат	измъкнах	измъкна	измъкна	измъкнахме	измъкнахте	измъкнаха	измъкнех	измъкнеше	измъкнеше	измъкнехме	измъкнехте	измъкнеха	измъкни	измъкнете	-	измъкнал	измъкнала	измъкнало	измъкнали	измъкнел	измъкнела	измъкнело	измъкнели	-	-	-	-	измъкнат	измъкната	измъкнато	измъкнати	-	-
измъча	измъча	измъчиш	измъчи	измъчим	измъчите	измъчат	измъчих	измъчи	измъчи	измъчихме	измъчихте	измъчиха	измъчех	измъчеше	измъчеше	измъчехме	измъчехте	измъчеха	измъчи	измъчете	-	измъчил	измъчила	измъчило	измъчили	измъчел	измъчела	измъчело	измъчели	-	-	-	-	измъчен	измъчена	измъчено	измъчени	-	-
измъчвам	-	-	-	-	-	-	измъчвах	измъчва	измъчва	измъчвахме	измъчвахте	измъчваха	измъчвах	измъчваше	измъчваше	измъчвахме	измъчвахте	измъчваха	измъчваи	измъчваите	измъчваики	измъчвал	измъчвала	измъчвало	измъчвали	измъчвал	измъчвала	измъчвало	измъчвали	измъчващ	измъчваща	измъчващо	измъчващи	измъчван	измъчвана	измъчвано	измъчвани	измъчване	измъчванета
изнасям	-	-	-	-	-	-	изнасях	изнася	изнася	изнасяхме	изнасяхте	изнасяха	изнасях	изнасяше	изнасяше	изнасяхме	изнасяхте	изнасяха	изнасяй	изнасяйте	изнасяйки	изнасял	изнасяла	изнасяло	изнасяли	изнасял	изнасяла	изнасяло	изнасяли	изнасящ	изнасяща	изнасящо	изнасящи	изнасян	изнасяна	изнасяно	изнасяни	изнасяне	изнасяния-нета
изнеса	изнеса	изнесеш	изнесе	изнесем	изнесете	изнесат	изнесох	изнесе	изнесе	изнесохме	изнесохте	изнесоха	изнесях	изнесеше	изнесеше	изнесяхме	изнесяхте	изнесяха	изнеси	изнесете	-	изнесъл	изнесла	изнесло	изнесли	изнесял	изнесяла	изнесяло	изнесели	-	-	-	-	изнесен	изнесена	изнесено	изнесени	-	-
изникна	изникна	изникнеш	изникне	изникнем	изникнете	изникнат	изникнах	изникна	изникна	изникнахме	изникнахте	изникнаха	изникнех	изникнеше	изникнеше	изникнехме	изникнехте	изникнеха	изникни	изникнете	-	изникнал	изникнала	изникнало	изникнали	изникнел	изникнела	изникнело	изникнели	-	-	-	-	-	-	-	-	-	-
изнудвам	-	-	-	-	-	-	изнудвах	изнудва	изнудва	изнудвахме	изнудвахте	изнудваха	изнудвах	изнудваше	изнудваше	изнудвахме	изнудвахте	изнудваха	изнудвай	изнудвайте	изнудвайки	изнудвал	изнудвала	изнудвало	изнудвали	изнудвал	изнудвала	изнудвало	изнудвали	изнудващ	изнудваща	изнудващо	изнудващи	изнудван	изнудвана	изнудвано	изнудвани	изнудване	изнудвания-нета
изнудя	изнудя	изнудиш	изнуди	изнудим	изнудите	изнудят	изнудих	изнуди	изнуди	изнудихме	изнудихте	изнудиха	изнудех	изнудеше	изнудеше	изнудехме	изнудехте	изнудеха	изнуди	изнудете	-	изнудил	изнудила	изнудило	изнудили	изнудел	изнудела	изнудело	изнудели	-	-	-	-	изнуден	изнудена	изнудено	изнудени	-	-
изнуря	изнуря	изнуриш	изнури	изнурим	изнурите	изнурят	изнурих	изнури	изнури	изнурихме	изнурихте	изнуриха	изнурях	изнуреше	изнуреше	изнуряхме	изнуряхте	изнуряха	изнури	изнурете	-	изнурил	изнурила	изнурило	изнурили	изнурял	изнуряла	изнуряло	изнурели	-	-	-	-	изнурен	изнурена	изнурено	изнурени	-	-
изобразя	изобразя	изобразиш	изобрази	изобразим	изобразите	изобразят	изобразих	изобрази	изобрази	изобразихме	изобразихте	изобразиха	изобразях	изобразеше	изобразеше	изобразяхме	изобразяхте	изобразяха	изобрази	изобразете	-	изобразил	изобразила	изобразило	изобразили	изобразял	изобразяла	изобразяло	изобразели	-	-	-	-	изобразен	изобразена	изобразено	изобразени	-	-
изобразявам	-	-	-	-	-	-	изобразявах	изобразява	изобразява	изобразявахме	изобразявахте	изобразяваха	изобразявах	изобразяваше	изобразяваше	изобразявахме	изобразявахте	изобразяваха	изобразяваи	изобразяваите	изобразяваики	изобразявал	изобразявала	изобразявало	изобразявали	изобразявал	изобразявала	изобразявало	изобразявали	изобразяващ	изобразяваща	изобразяващо	изобразяващи	изобразяван	изобразявана	изобразявано	изобразявани	изобразяване	изобразяванета
изобретя	изобретя	изобретиш	изобрети	изобретим	изобретите	изобретят	изобретих	изобрети	изобрети	изобретихме	изобретихте	изобретиха	изобретях	изобретеше	изобретеше	изобретяхме	изобретяхте	изобретяха	изобрети	изобретете	-	изобретил	изобретила	изобретило	изобретили	изобретял	изобретяла	изобретяло	изобретели	-	-	-	-	изобретен	изобретена	изобретено	изобретени	-	-
изора	изора	изореш	изоре	изорем	изорете	изорат	изорах	изора	изора	изорахме	изорахте	изораха	изорях	изореше	изореше	изоряхме	изоряхте	изоряха	изори	изорете	-	изорал	изорала	изорало	изорали	изорял	изоряла	изоряло	изорели	-	-	-	-	изоран	изорана	изорано	изорани	-	-
изоравам	-	-	-	-	-	-	изоравах	изорава	изорава	изоравахме	изоравахте	изораваха	изоравах	изораваше	изораваше	изоравахме	изоравахте	изораваха	изоравай	изоравайте	изоравайки	изоравал	изоравала	изоравало	изоравали	изоравал	изоравала	изоравало	изоравали	изораващ	изораваща	изораващо	изораващи	изораван	изоравана	изоравано	изоравани	изораване	изоравания-нета
изпадам	-	-	-	-	-	-	изпадах	изпада	изпада	изпадахме	изпадахте	изпадаха	изпадах	изпадаше	изпадаше	изпадахме	изпадахте	изпадаха	изпадаи	изпадаите	изпадаики	изпадал	изпадала	изпадало	изпадали	изпадал	изпадала	изпадало	изпадали	изпадащ	изпадаща	изпадащо	изпадащи	-	-	-	-	изпадане	изпаданета
изпаря	изпаря	изпариш	изпари	изпарим	изпарите	изпарят	изпарих	изпари	изпари	изпарихме	изпарихте	изпариха	изпарях	изпареше	изпареше	изпаряхме	изпаряхте	изпаряха	изпари	изпарете	-	изпарил	изпарила	изпарило	изпарили	изпарял	изпаряла	изпаряло	изпарели	-	-	-	-	изпарен	изпарена	изпарено	изпарени	-	-
изпаса	изпаса	изпасеш	изпасе	изпасем	изпасете	изпасат	изпасох	изпасе	изпасе	изпасохме	изпасохте	изпасоха	изпасях	изпасеше	изпасеше	изпасяхме	изпасяхте	изпасяха	изпаси	изпасете	-	изпасъл	изпасла	изпасло	изпасли	изпасял	изпасяла	изпасяло	изпасели	-	-	-	-	изпасен	изпасена	изпасено	изпасени	-	-
изпасвам	-	-	-	-	-	-	изпасвах	изпасва	изпасва	изпасвахме	изпасвахте	изпасваха	изпасвах	изпасваше	изпасваше	изпасвахме	изпасвахте	изпасваха	изпасвай	изпасвайте	изпасвайки	изпасвал	изпасвала	изпасвало	изпасвали	изпасвал	изпасвала	изпасвало	изпасвали	изпасващ	изпасваща	изпасващо	изпасващи	изпасван	изпасвана	изпасвано	изпасвани	изпасване	изпасвания-нета
изпека	изпека	изпечеш	изпече	изпечем	изпечете	изпекат	изпекох	изпече	изпече	изпекохме	изпекохте	изпекоха	изпечах	изпечеше	изпечеше	изпечахме	изпечахте	изпечаха	изпечи	изпечете	-	изпекъл	изпекла	изпекло	изпекли	изпечал	изпечала	изпечало	изпечели	-	-	-	-	изпечен	изпечена	изпечено	изпечени	-	-
изпея	изпея	изпееш	изпее	изпеем	изпеете	изпеят	изпях	изпя	изпя	изпяхме	изпяхте	изпяха	изпеех	изпееше	изпееше	изпеехме	изпеехте	изпееха	изпей	изпейте	-	изпял	изпяла	изпяло	изпели	изпеел	изпеела	изпеело	изпеели	-	-	-	-	изпят	изпята	изпято	изпети	-	-
изпивам	-	-	-	-	-	-	изпивах	изпива	изпива	изпивахме	изпивахте	изпиваха	изпивах	изпиваше	изпиваше	изпивахме	изпивахте	изпиваха	изпивай	изпивайте	изпивайки	изпивал	изпивала	изпивало	изпивали	изпивал	изпивала	изпивало	изпивали	изпиващ	изпиваща	изпиващо	изпиващи	изпиван	изпивана	изпивано	изпивани	изпиване	изпивания-нета
изпитам	-	-	-	-	-	-	изпитах	изпита	изпита	изпитахме	изпитахте	изпитаха	изпитах	изпиташе	изпиташе	изпитахме	изпитахте	изпитаха	изпитай	изпитайте	изпитайки	изпитал	изпитала	изпитало	изпитали	изпитал	изпитала	изпитало	изпитали	изпитащ	изпитаща	изпитащо	изпитащи	изпитан	изпитана	изпитано	изпитани	изпитане	изпитания-нета
изпитвам	-	-	-	-	-	-	изпитвах	изпитва	изпитва	изпитвахме	изпитвахте	изпитваха	изпитвах	изпитваше	изпитваше	изпитвахме	изпитвахте	изпитваха	изпитвай	изпитвайте	изпитвайки	изпитвал	изпитвала	изпитвало	изпитвали	изпитвал	изпитвала	изпитвало	изпитвали	изпитващ	изпитваща	изпитващо	изпитващи	изпитван	изпитвана	изпитвано	изпитвани	изпитване	изпитвания-нета
изпичам	-	-	-	-	-	-	изпичах	изпича	изпича	изпичахме	изпичахте	изпичаха	изпичах	изпичаше	изпичаше	изпичахме	изпичахте	изпичаха	изпичай	изпичайте	изпичайки	изпичал	изпичала	изпичало	изпичали	изпичал	изпичала	изпичало	изпичали	изпичащ	изпичаща	изпичащо	изпичащи	изпичан	изпичана	изпичано	изпичани	изпичане	изпичания-нета
изпия	изпия	изпиеш	изпие	изпием	изпиете	изпият	изпих	изпи	изпи	изпихме	изпихте	изпиха	изпиех	изпиеше	изпиеше	изпиехме	изпиехте	изпиеха	изпий	изпийте	-	изпил	изпила	изпило	изпили	изпиел	изпиела	изпиело	изпиели	-	-	-	-	изпит	изпита	изпито	изпити	-	-
изплаша	изплаша	изплашиш	изплаши	изплашим	изплашите	изплашат	изплаших	изплаши	изплаши	изплашихме	изплашихте	изплашиха	изплашех	изплашеше	изплашеше	изплашехме	изплашехте	изплашеха	изплаши	изплашете	-	изплашил	изплашила	изплашило	изплашили	изплашел	изплашела	изплашело	изплашели	-	-	-	-	изплашен	изплашена	изплашено	изплашени	-	-
изплашвам	-	-	-	-	-	-	изплашвах	изплашва	изплашва	изплашвахме	изплашвахте	изплашваха	изплашвах	изплашваше	изплашваше	изплашвахме	изплашвахте	изплашваха	изплашвай	изплашвайте	изплашвайки	изплашвал	изплашвала	изплашвало	изплашвали	изплашвал	изплашвала	изплашвало	изплашвали	изплашващ	изплашваща	изплашващо	изплашващи	изплашван	изплашвана	изплашвано	изплашвани	изплашване	изплашвания-нета
изплета	изплета	изплетеш	изплете	изплетем	изплетете	изплетат	изплетох	изплете	изплете	изплетохме	изплетохте	изплетоха	изплетях	изплетеше	изплетеше	изплетяхме	изплетяхте	изплетяха	изплети	изплетете	-	изплел	изплела	изплело	изплели	изплетял	изплетяла	изплетяло	изплетели	-	-	-	-	изплетен	изплетена	изплетено	изплетени	-	-
изплитам	-	-	-	-	-	-	изплитах	изплита	изплита	изплитахме	изплитахте	изплитаха	изплитах	изплиташе	изплиташе	изплитахме	изплитахте	изплитаха	изплитай	изплитайте	изплитайки	изплитал	изплитала	изплитало	изплитали	изплитал	изплитала	изплитало	изплитали	изплитащ	изплитаща	изплитащо	изплитащи	изплитан	изплитана	изплитано	изплитани	изплитане	изплитания-нета
използвам	-	-	-	-	-	-	използвах	използва	използва	използвахме	използвахте	използваха	използвах	използваше	използваше	използвахме	използвахте	използваха	използвай	използвайте	използвайки	използвал	използвала	използвало	използвали	използвал	използвала	използвало	използвали	използващ	използваща	използващо	използващи	използван	използвана	използвано	използвани	използване	използвания-нета
изправя	изправя	изправиш	изправи	изправим	изправите	изправят	изправих	изправи	изправи	изправихме	изправихте	изправиха	изправех	изправеше	изправеше	изправехме	изправехте	изправеха	изправи	изправете	-	изправил	изправила	изправило	изправили	изправел	изправела	изправело	изправели	-	-	-	-	изправен	изправена	изправено	изправени	-	-
изправям	-	-	-	-	-	-	изправях	изправя	изправя	изправяхме	изправяхте	изправяха	изправях	изправяше	изправяше	изправяхме	изправяхте	изправяха	изправяи	изправяите	изправяики	изправял	изправяла	изправяло	изправяли	изправял	изправяла	изправяло	изправяли	изправящ	изправяща	изправящо	изправящи	изправян	изправяна	изправяно	изправяни	изправяне	изправянета
изпратя	изпратя	изпратиш	изпрати	изпратим	изпратите	изпратят	изпратих	изпрати	изпрати	изпратихме	изпратихте	изпратиха	изпратех	изпратеше	изпратеше	изпратехме	изпратехте	изпратеха	изпрати	изпратете	-	изпратил	изпратила	изпратило	изпратили	изпрател	изпратела	изпратело	изпратели	-	-	-	-	изпратен	изпратена	изпратено	изпратени	-	-
изпращам	-	-	-	-	-	-	изпращах	изпраща	изпраща	изпращахме	изпращахте	изпращаха	изпращах	изпращаше	изпращаше	изпращахме	изпращахте	изпращаха	изпращаи	изпращаите	изпращаики	изпращал	изпращала	изпращало	изпращали	изпращал	изпращала	изпращало	изпращали	изпращащ	изпращаща	изпращащо	изпращащи	изпращан	изпращана	изпращано	изпращани	изпращане	изпращанета
изпреваря	изпреваря	изпревариш	изпревари	изпреварим	изпреварите	изпреварят	изпреварих	изпревари	изпревари	изпреварихме	изпреварихте	изпревариха	изпреварех	изпревареше	изпревареше	изпреварехме	изпреварехте	изпревареха	изпревари	изпреварете	-	изпреварил	изпреварила	изпреварило	изпреварили	изпреварел	изпреварела	изпреварело	изпреварели	-	-	-	-	изпреварен	изпреварена	изпреварено	изпреварени	-	-
изпреда	изпреда	изпредеш	изпреде	изпредем	изпредете	изпредат	изпредох	изпреде	изпреде	изпредохме	изпредохте	изпредоха	изпредях	изпредеше	изпредеше	изпредяхме	изпредяхте	изпредяха	изпреди	изпредете	-	изпрел	изпрела	изпрело	изпрели	изпредял	изпредяла	изпредяло	изпредели	-	-	-	-	изпреден	изпредена	изпредено	изпредени	-	-
изпреча	изпреча	изпречиш	изпречи	изпречим	изпречите	изпречат	изпречих	изпречи	изпречи	изпречихме	изпречихте	изпречиха	изпречех	изпречеше	изпречеше	изпречехме	изпречехте	изпречеха	изпречи	изпречете	-	изпречил	изпречила	изпречило	изпречили	изпречел	изпречела	изпречело	изпречели	-	-	-	-	изпречен	изпречена	изпречено	изпречени	-	-
изпридам	-	-	-	-	-	-	изпридах	изприда	изприда	изпридахме	изпридахте	изпридаха	изпридах	изпридаше	изпридаше	изпридахме	изпридахте	изпридаха	изпридай	изпридайте	изпридайки	изпридал	изпридала	изпридало	изпридали	изпридал	изпридала	изпридало	изпридали	изпридащ	изпридаща	изпридащо	изпридащи	изпридан	изпридана	изпридано	изпридани	изпридане	изпридания-нета
изпълвам	-	-	-	-	-	-	изпълвах	изпълва	изпълва	изпълвахме	изпълвахте	изпълваха	изпълвах	изпълваше	изпълваше	изпълвахме	изпълвахте	изпълваха	изпълваи	изпълваите	изпълваики	изпълвал	изпълвала	изпълвало	изпълвали	изпълвал	изпълвала	изпълвало	изпълвали	изпълващ	изпълваща	изпълващо	изпълващи	изпълван	изпълвана	изпълвано	изпълвани	изпълване	изпълванета
изпълня	изпълня	изпълниш	изпълни	изпълним	изпълните	изпълнят	изпълних	изпълни	изпълни	изпълнихме	изпълнихте	изпълниха	изпълнех	изпълнеше	изпълнеше	изпълнехме	изпълнехте	изпълнеха	изпълни	изпълнете	-	изпълнил	изпълнила	изпълнило	изпълнили	изпълнел	изпълнела	изпълнело	изпълнели	-	-	-	-	изпълнен	изпълнена	изпълнено	изпълнени	-	-
изпълнявам	-	-	-	-	-	-	изпълнявах	изпълнява	изпълнява	изпълнявахме	изпълнявахте	изпълняваха	изпълнявах	изпълняваше	изпълняваше	изпълнявахме	изпълнявахте	изпълняваха	изпълняваи	изпълняваите	изпълняваики	изпълнявал	изпълнявала	изпълнявало	изпълнявали	изпълнявал	изпълнявала	изпълнявало	изпълнявали	изпълняващ	изпълняваща	изпълняващо	изпълняващи	изпълняван	изпълнявана	изпълнявано	изпълнявани	изпълняване	изпълняванета
изпявам	-	-	-	-	-	-	изпявах	изпява	изпява	изпявахме	изпявахте	изпяваха	изпявах	изпяваше	изпяваше	изпявахме	изпявахте	изпяваха	изпявай	изпявайте	изпявайки	изпявал	изпявала	изпявало	изпявали	изпявал	изпявала	изпявало	изпявали	изпяващ	изпяваща	изпяващо	изпяващи	изпяван	изпявана	изпявано	изпявани	изпяване	изпявания-нета
изразя	изразя	изразиш	изрази	изразим	изразите	изразят	изразих	изрази	изрази	изразихме	изразихте	изразиха	изразях	изразеше	изразеше	изразяхме	изразяхте	изразяха	изрази	изразете	-	изразил	изразила	изразило	изразили	изразял	изразяла	изразяло	изразели	-	-	-	-	изразен	изразена	изразено	изразени	-	-
