# lemma(infinitive)	V;NFIN	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;3	V;IND;PST;1;SG	V;IND;PST;2;SG	V;IND;PST;3;SG	V;IND;PST;3	V;IMP;2;SG	V;IMP;2;PL	V.CVB	V.PTCP.PRS	V.PTCP.PST  ("-" = productive default)
minka	-	-	-	-	-	-	-	-	-	minka	-	-	-	-
minna	-	-	minnir	minnir	-	minti	minti	minti	mintu	-	-	mint	-	mintur
miseydnast	miseydnast	miseydnist	miseydnast	miseydnast	miseydnast	miseydnaðist	miseydnaðist	miseydnaðist	miseydnaðust	-	-	miseydnast	-	-
misnýta	-	-	misnýtir	misnýtir	-	misnýtti	misnýtti	misnýtti	misnýttu	-	-	misnýtt	-	misnýttur
missa	-	-	missir	missir	-	misti	misti	misti	mistu	-	-	mist	-	mistur
misskilja	-	misskilji	misskilur	misskilur	-	misskildi	misskildi	misskildi	misskildu	-	-	misskilt	-	misskildur
mjólka	-	-	-	-	-	-	-	-	-	mjólka	-	-	-	-
mogga	-	-	-	-	-	-	-	-	-	mogga	-	-	-	-
munandi	muna	muni	munar	munar	muna	munti	munti	munti	muntu	muna	munið	munað	munandi	muntur
munda	-	-	-	-	-	-	-	-	-	munda	-	-	-	-
mundi	munna	man	manst	man	munnu	mundi	mundi	mundi	mundu	-	-	munnað	-	-
munna	-	man	manst	man	munnu	mundi	mundi	mundi	mundu	-	-	-	-	-
mutla	-	-	-	-	-	-	-	-	-	mutla	-	-	-	-
mynda	-	-	-	-	-	-	-	-	-	mynda	-	-	-	-
myrkja	-	-	myrkir	myrkir	-	myrkti	myrkti	myrkti	myrktu	-	myrkið	myrkt	-	myrktur
myrða	-	-	myrðir	myrðir	-	myrdi	myrdi	myrdi	myrdu	-	-	myrt	-	myrdur
má	mega	má	mást	má	mugu	mátti	mátti	mátti	máttu	-	-	-	-	-
mála	-	-	-	-	-	-	-	-	-	mála	-	-	-	-
mátti	mega	má	mást	má	mugu	mátti	mátti	mátti	máttu	-	-	-	-	-
mæla	-	-	mælir	mælir	-	mælti	mælti	mælti	mæltu	-	-	mælt	-	mæltur
míga	-	-	mígur	mígur	-	meig	meigst	meig	migu	-	-	migið	-	migin
mølma	-	-	-	-	-	-	-	-	-	mølma	-	-	-	-
møta	-	-	møtir	møtir	-	møtti	møtti	møtti	møttu	-	-	møtt	-	møttur
nema	-	-	nemur	nemur	-	nam	namst	nam	numu	-	-	nomið	-	nomin
nerta	-	-	nertur	nertur	-	nart	nartst	nart	nurtu	-	-	nortið	-	nortin
nevna	-	-	nevnir	nevnir	-	nevndi	nevndi	nevndi	nevndu	-	-	nevnt	-	nevndur
neyðtaka	-	-	neyðtekur	neyðtekur	-	neyðtók	neyðtókst	neyðtók	neyðtóku	-	-	neyðtikið	-	neyðtikin
nikka	-	-	-	-	-	-	-	-	-	nikka	-	-	-	-
njósa	-	-	nýsur	nýsur	-	neys	neyst	neys	nusu	-	-	nosið	-	nosin
njóta	-	-	nýtur	nýtur	-	neyt	neytst	neyt	nutu	-	-	notið	-	notin
nokta	-	-	-	-	-	-	-	-	-	nokta	-	-	-	-
noytt	noyða	noyði	noyðir	noyðir	noyða	noyddi	noyddi	noyddi	noyddu	noyð	noyðið	noytt	noyðandi	noyddur
noyða	-	-	noyðir	noyðir	-	noyddi	noyddi	noyddi	noyddu	-	-	noytt	-	noyddur
nytta	-	-	-	-	-	-	-	-	-	nytta	-	-	-	-
náa	-	-	nær	nær	-	náddi	náddi	náddi	náddu	-	-	nátt	-	náddur
níga	-	-	nígur	nígur	-	neig	neigst	neig	nigu	-	-	nigið	-	nigin
nýta	-	-	nýtir	nýtir	-	nýtti	nýtti	nýtti	nýttu	-	-	nýtt	-	nýttur
oyða	-	-	oyðir	oyðir	-	oyddi	oyddi	oyddi	oyddu	-	-	oytt	-	oyddur
passa	-	-	-	-	-	-	-	-	-	passa	-	-	-	-
pilka	-	-	-	-	-	-	-	-	-	pilka	-	-	-	-
pissa	-	-	-	-	-	-	-	-	-	pissa	-	-	-	-
prumpa	-	-	-	-	-	-	-	-	-	prumpa	-	-	-	-
práta	-	-	-	-	-	-	-	-	-	práta	-	-	-	-
prísa	-	-	-	-	-	-	-	-	-	prísa	-	-	-	-
prógva	-	-	-	-	-	-	-	-	-	prógva	-	-	-	-
pynta	-	-	-	-	-	-	-	-	-	pynta	-	-	-	-
rapla	-	-	-	-	-	-	-	-	-	rapla	-	-	-	-
regna	-	-	-	-	-	-	-	-	-	regna	-	-	-	-
reiva	-	-	-	-	-	-	-	-	-	reiva	-	-	-	-
reiða	-	-	reiðir	reiðir	-	reiddi	reiddi	reiddi	reiddu	-	-	reitt	-	reiddur
reka	-	-	rekur	rekur	-	rak	rakst	rak	róku	-	-	rikið	-	rikin
rekja	-	-	rekir	rekir	-	rakti	rakti	rakti	raktu	-	rekið	rakt	-	raktur
remba	-	-	rembir	rembir	-	rembdi	rembdi	rembdi	rembdu	-	-	rembt	-	rembdur
rigga	-	-	-	-	-	-	-	-	-	rigga	-	-	-	-
rinda	-	-	-	-	-	-	-	-	-	rinda	-	-	-	-
rokna	-	-	-	-	-	-	-	-	-	rokna	-	-	-	-
roykja	-	-	roykir	roykir	-	roykti	roykti	roykti	royktu	-	roykið	roykt	-	royktur
royna	-	-	roynir	roynir	-	royndi	royndi	royndi	royndu	-	-	roynt	-	royndur
rudda	-	-	-	-	-	-	-	-	-	rudda	-	-	-	-
rulla	-	-	-	-	-	-	-	-	-	rulla	-	-	-	-
ráða	-	-	ræður	ræður	-	raddi	raddi	raddi	raddu	-	-	rátt	-	ráðin
ræna	-	-	rænir	rænir	-	rændi	rændi	rændi	rændu	-	-	rænt	-	rændur
rætta	-	-	rættir	rættir	-	rætti	rætti	rætti	rættu	-	-	rætt	-	rættur
ræðast	ræðast	ræðist	ræðast	ræðast	ræðast	ræddist	ræddist	ræddist	ræddust	-	-	ræðst	-	-
rína	-	-	rínur	rínur	-	rein	reinst	rein	rinu	-	-	rinið	-	rinin
rísa	-	-	rísur	rísur	-	reis	reisst	reis	risu	-	-	risið	-	risin
ríva	-	-	rívur	rívur	-	reiv	reivst	reiv	rivu	-	-	rivið	-	rivin
ríða	-	-	ríður	ríður	-	reið	reiðst	reið	riðu	-	-	riðið	-	riðin
rógva	-	-	rørt	rør	-	róði	róði	róði	róðu	-	-	róð	-	rógvin
rópa	-	-	-	-	-	rópti	rópti	rópti	róptu	rópa	-	-	-	róptur
róði	rógva	rógvi	rørt	rør	rógva	róði	róði	róði	róðu	rógv	rógvið	róð	rógvandi	rógvin
røkja	-	-	røkir	røkir	-	røkti	røkti	røkti	røktu	-	røkið	røkt	-	røktur
røkka	-	-	røkkur	røkkur	-	rakk	rakst	rakk	rukku	-	-	rokkið	-	rokkin
røkti	røkja	røki	røkir	røkir	røkja	røkti	røkti	røkti	røktu	røk	røkið	røkt	røkjandi	røktur
røða	-	-	røðir	røðir	-	røddi	røddi	røddi	røddu	-	-	røtt	-	røddur
rúka	-	-	rýkur	rýkur	-	reyk	reykst	reyk	ruku	-	-	rokið	-	rokin
rýma	-	-	rýmir	rýmir	-	rýmdi	rýmdi	rýmdi	rýmdu	-	-	rýmt	-	rýmdur
saga	-	-	-	-	-	-	-	-	-	saga	-	-	-	-
samanber	samanbera	samanberi	samanbert	samanber	samanbera	samanbar	samanbart	samanbar	samanbóru	samanber	samanberið	samanborið	samanberandi	samanborin
samanbera	-	-	samanbert	samanber	-	samanbar	samanbart	samanbar	samanbóru	-	-	samanborið	-	samanborin
samráðast	samráðast	samráðist	samráðast	samráðast	samráðast	samráddist	samráddist	samráddist	samráddust	-	-	samráðst	-	-
samskipa	-	-	-	-	-	-	-	-	-	samskipa	-	-	-	-
samsvara	-	-	-	-	-	-	-	-	-	samsvara	-	-	-	-
samsýna	-	-	samsýnir	samsýnir	-	samsýndi	samsýndi	samsýndi	samsýndu	-	-	samsýnt	-	samsýndur
samtykkja	-	-	samtykkir	samtykkir	-	samtykti	samtykti	samtykti	samtyktu	-	samtykkið	samtykt	-	samtyktur
savna	-	-	-	-	-	-	-	-	-	savna	-	-	-	-
segði	siga	sigi	sigur	sigur	siga	segði	segði	segði	søgdu	sig	sigið	sagt	sigandi	sagdur
sekta	-	-	-	-	-	-	-	-	-	sekta	-	-	-	-
selja	-	selji	selur	selur	-	seldi	seldi	seldi	seldu	-	-	selt	-	seldur
senda	-	-	sendir	sendir	-	sendi	sendi	sendi	sendu	-	-	sent	-	sendur
seta	-	-	setur	setur	-	setti	setti	setti	settu	-	-	sett	-	settur
seyma	-	-	-	-	-	-	-	-	-	seyma	-	-	-	-
sig	siga	sigi	sigur	sigur	siga	segði	segði	segði	søgdu	sig	sigið	sagt	sigandi	sagdur
siga	-	-	sigur	sigur	-	segði	segði	segði	søgdu	-	-	sagt	-	sagdur
sigla	-	-	siglir	siglir	-	sigldi	sigldi	sigldi	sigldu	-	-	siglt	-	sigldur
sigra	-	-	-	-	-	-	-	-	-	sigra	-	-	-	-
sipa	-	-	-	-	-	-	-	-	-	sipa	-	-	-	-
sissa	-	-	-	-	-	-	-	-	-	sissa	-	-	-	-
sita	-	-	situr	situr	-	sat	satst	sat	sótu	-	-	sitið	-	sitin
skal	skula	skal	skalt	skal	skulu	skuldi	skuldi	skuldi	skuldu	-	-	skulað	-	-
skalt	skula	skal	skalt	skal	skulu	skuldi	skuldi	skuldi	skuldu	-	-	skulað	-	-
skapa	-	-	-	-	-	skapti	skapti	skapti	skaptu	skapa	-	-	-	skaptur
ske	ske	-	-	sker	ske	-	-	skeddi	skeddu	-	-	skett	-	skeddur
skeinkja	-	-	skeinkir	skeinkir	-	skonkti	skonkti	skonkti	skonktu	skeinkj	-	skonkt	-	skonktur
skelva	-	-	skelvur	skelvur	-	skalv	skalvst	skalv	skulvu	-	-	skolvið	-	skolvin
skera	-	-	skert	sker	-	skar	skart	skar	skóru	-	-	skorið	-	skorin
skerja	-	skerji	skerjir	skerjir	-	skerdi	skerdi	skerdi	skerdu	skerj	-	skert	-	skerdur
skifta	-	-	skiftir	skiftir	-	skifti	skifti	skifti	skiftu	-	-	skift	-	skiftur
skilja	-	skilji	skilur	skilur	-	skildi	skildi	skildi	skildu	-	-	skilt	-	skildur
skipa	-	-	-	-	-	-	-	-	-	skipa	-	-	-	-
skjóta	-	-	skjýtur	skjýtur	-	skeyt	skeytst	skeyt	skutu	-	-	skotið	-	skotin
skola	-	-	-	-	-	-	-	-	-	skola	-	-	-	-
skoða	-	-	-	-	-	-	-	-	-	skoða	-	-	-	-
skrambla	-	-	-	-	-	-	-	-	-	skrambla	-	-	-	-
skreiða	-	-	skreiðir	skreiðir	-	skreiddi	skreiddi	skreiddi	skreiddu	-	-	skreitt	-	skreiddur
skriva	-	-	-	-	-	-	-	-	-	skriva	-	-	-	-
skráseta	-	-	skrásetur	skrásetur	-	skrásetti	skrásetti	skrásetti	skrásettu	-	-	skrásett	-	skrásettur
skugga	-	-	-	-	-	-	-	-	-	skugga	-	-	-	-
skula	-	skal	skalt	skal	skulu	skuldi	skuldi	skuldi	skuldu	-	-	-	-	-
skuldu	skula	skal	skalt	skal	skulu	skuldi	skuldi	skuldi	skuldu	-	-	skulað	-	-
skunda	-	-	-	-	-	-	-	-	-	skunda	-	-	-	-
skála	-	-	-	-	-	-	-	-	-	skála	-	-	-	-
skína	-	-	skínur	skínur	-	skein	skeinst	skein	skinu	-	-	skinið	-	skinin
skíra	-	-	skírir	skírir	-	skírdi	skírdi	skírdi	skírdu	-	-	skírt	-	skírdur
skíta	-	-	skítur	skítur	-	skeit	skeitst	skeit	skitu	-	-	skitið	-	skitin
skýma	-	-	skýmir	skýmir	-	skýmdi	skýmdi	skýmdi	skýmdu	-	-	skýmt	-	skýmdur
sleipa	-	-	-	-	-	-	-	-	-	sleipa	-	-	-	-
slokna	-	-	-	-	-	-	-	-	-	slokna	-	-	-	-
sláa	-	-	slært	slær	-	sló	slóst	sló	slógu	-	-	sligið	-	sligin
slíta	-	-	slítur	slítur	-	sleit	sleitst	sleit	slitu	-	-	slitið	-	slitin
slóða	-	-	-	-	-	-	-	-	-	slóða	-	-	-	-
sløkkja	-	-	sløkkir	sløkkir	-	sløkti	sløkti	sløkti	sløktu	-	sløkkið	sløkt	-	sløktur
smakka	-	-	-	-	-	-	-	-	-	smakka	-	-	-	-
smyrja	-	smyrji	smyrt	smyr	-	smurdi	smurdi	smurdi	smurdu	-	smyrið	smurt	-	smurdur
smíla	-	-	smílir	smílir	-	smílti	smílti	smílti	smíltu	-	-	smílt	-	smíltur
smúgva	-	-	smýgur	smýgur	-	smeyg	smeygst	smeyg	smugu	smúg	smúgið	smogið	-	smogin
sníkja	-	-	sníkir	sníkir	-	sníkti	sníkti	sníkti	sníktu	-	sníkið	sníkt	-	sníktur
snúgva	-	-	snýrt	snýr	-	snúði	snúði	snúði	snúðu	-	-	snúð	-	snúgvin
sora	-	-	-	-	-	-	-	-	-	sora	-	-	-	-
spara	-	-	sparir	sparir	-	spardi	spardi	spardi	spardu	-	-	spart	-	spardur
spekja	-	-	spekir	spekir	-	spekti	spekti	spekti	spektu	-	spekið	spekt	-	spektur
spenna	-	-	spennir	spennir	-	spenti	spenti	spenti	spentu	-	-	spent	-	spentur
spikka	-	-	-	-	-	-	-	-	-	spikka	-	-	-	-
spilla	-	-	spillir	spillir	-	spilti	spilti	spilti	spiltu	-	-	spilt	-	spiltur
spinna	-	-	spinnur	spinnur	-	spann	spanst	spann	spunnu	-	-	spunnið	-	spunnin
spreingja	-	-	spreingir	spreingir	-	sprongdi	sprongdi	sprongdi	sprongdu	spreingj	-	sprongt	-	sprongdur
spreka	-	-	-	-	-	-	-	-	-	spreka	-	-	-	-
spretta	-	-	sprettur	sprettur	-	spratt	spratst	spratt	spruttu	-	-	sprottið	-	sprottin
spráka	-	-	-	-	-	-	-	-	-	spráka	-	-	-	-
spyrja	-	spyrji	spyrt	spyr	-	spurdi	spurdi	spurdi	spurdu	-	spyrið	spurt	-	spurdur
spáa	-	-	-	-	-	-	-	-	-	spáa	-	-	-	-
spæla	-	-	spælir	spælir	-	spældi	spældi	spældi	spældu	-	-	spælt	-	spældur
spýggja	-	-	spýrt	spýr	-	spýði	spýði	spýði	spýðu	spýggj	spýggið	spýð	-	-
spýta	-	-	spýtir	spýtir	-	spýtti	spýtti	spýtti	spýttu	-	-	spýtt	-	spýttur
standa	-	-	stendur	stendur	-	stóð	stóðst	stóð	stóðu	statt	-	staðið	-	-
staðfesta	-	-	staðfestir	staðfestir	-	staðfesti	staðfesti	staðfesti	staðfestu	-	-	staðfest	-	staðfestur
steikja	-	-	steikir	steikir	-	stokti	stokti	stokti	stoktu	-	steikið	stokt	-	stoktur
steingja	-	-	steingir	steingir	-	stongdi	stongdi	stongdi	stongdu	steingj	-	stongt	-	stongdur
stendur	standa	standi	stendur	stendur	standa	stóð	stóðst	stóð	stóðu	statt	standið	staðið	standandi	-
steðga	-	-	-	-	-	-	-	-	-	steðga	-	-	-	-
stinga	-	-	stingur	stingur	-	stakk	stakst	stakk	stungu	stikk	-	stungið	-	stungin
stjala	-	-	stjelur	stjelur	-	stjól	stjólst	stjól	stjólu	-	-	stolið	-	stolin
stolið	stjala	stjali	stjelur	stjelur	stjala	stjól	stjólst	stjól	stjólu	stjal	stjalið	stolið	stjalandi	stolin
storma	-	-	-	-	-	-	-	-	-	storma	-	-	-	-
stovna	-	-	-	-	-	-	-	-	-	stovna	-	-	-	-
stremba	-	-	-	-	-	-	-	-	-	stremba	-	-	-	-
streva	-	-	-	-	-	-	-	-	-	streva	-	-	-	-
stríða	-	-	stríðir	stríðir	-	stríddi	stríddi	stríddi	stríddu	-	-	strítt	-	stríddur
stynja	-	-	stynur	stynur	-	stundi	stundi	stundi	stundu	-	stynið	stunt	-	stundur
stæla	-	-	stælir	stælir	-	stældi	stældi	stældi	stældu	-	-	stælt	-	stældur
stíga	-	-	stígur	stígur	-	steig	steigst	steig	stigu	-	-	stigið	-	stigin
stóð	standa	standi	stendur	stendur	standa	stóð	stóðst	stóð	stóðu	statt	standið	staðið	standandi	-
stúra	-	-	-	-	-	-	-	-	-	stúra	-	-	-	-
stýra	-	-	stýrir	stýrir	-	stýrdi	stýrdi	stýrdi	stýrdu	-	-	stýrt	-	stýrdur
suffa	-	-	-	-	-	-	-	-	-	suffa	-	-	-	-
sukku	søkka	søkki	søkkur	søkkur	søkka	sakk	sakst	sakk	sukku	søkk	søkkið	sokkið	søkkandi	sokkin
svara	-	-	-	-	-	-	-	-	-	svara	-	-	-	-
svav	sova	sovi	svevur	svevur	sova	svav	svavst	svav	svóvu	sov	sovið	sovið	sovandi	-
sveik	svíkja	svíki	svíkur	svíkur	svíkja	sveik	sveikst	sveik	sviku	svíkj	svíkjið	svikið	svíkjandi	svikin
sveipa	-	-	-	-	-	sveipti	sveipti	sveipti	sveiptu	sveipa	-	-	-	sveiptur
sveitta	-	-	-	-	-	-	-	-	-	sveitta	-	-	-	-
svevur	sova	sovi	svevur	svevur	sova	svav	svavst	svav	svóvu	sov	sovið	sovið	sovandi	-
svimja	-	svimji	svimur	svimur	-	svam	svamst	svam	svumu	-	-	svomið	-	-
svíkja	-	-	svíkur	svíkur	-	sveik	sveikst	sveik	sviku	svíkj	-	svikið	-	svikin
svíða	-	-	svíður	svíður	-	sveið	sveiðst	sveið	sviðu	-	-	sviðið	-	sviðin
svølgja	-	-	svølgir	svølgir	-	svølgdi	svølgdi	svølgdi	svølgdu	-	svølgið	svølgt	-	svølgdur
svørja	-	svørji	svørt	svør	svøra	svór	svórst	svór	svóru	svørj	-	svorið	-	svorin
synda	-	-	-	-	-	-	-	-	-	synda	-	-	-	-
syndra	-	-	-	-	-	-	-	-	-	syndra	-	-	-	-
syngja	-	-	syngur	syngur	-	sang	sang	sang	sungu	syngj	-	sungið	-	sungin
syrgja	-	-	syrgir	syrgir	-	syrgdi	syrgdi	syrgdi	syrgdu	-	syrgið	syrgt	-	syrgdur
særa	-	-	særir	særir	-	særdi	særdi	særdi	særdu	-	-	sært	-	særdur
sæð	síggja	síggi	sært	sær	síggja	sá	sást	sá	sóu	síggj	síggið	sæð	síggjandi	sæddur
síggja	-	-	sært	sær	-	sá	sást	sá	sóu	síggj	síggið	sæð	-	sæddur
sótu	sita	siti	situr	situr	sita	sat	satst	sat	sótu	sit	sitið	sitið	sitandi	sitin
sóu	síggja	síggi	sært	sær	síggja	sá	sást	sá	sóu	síggj	síggið	sæð	síggjandi	sæddur
søgdu	siga	sigi	sigur	sigur	siga	segði	segði	segði	søgdu	sig	sigið	sagt	sigandi	sagdur
søkja	-	-	søkir	søkir	-	søkti	søkti	søkti	søktu	-	søkið	søkt	-	søktur
søkka	-	-	søkkur	søkkur	-	sakk	sakst	sakk	sukku	-	-	sokkið	-	sokkin
søkkja	-	-	søkkir	søkkir	-	søkti	søkti	søkti	søktu	-	søkkið	søkt	-	søktur
søma	-	-	sømir	sømir	-	sømdi	sømdi	sømdi	sømdu	-	-	sømt	-	sømdur
súgva	-	-	sýgur	sýgur	-	seyg	seygst	seyg	sugu	súg	súgið	sogið	-	sogin
súpa	-	-	sýpur	sýpur	-	seyp	seypst	seyp	supu	-	-	sopið	-	sopin
súsa	-	-	-	-	-	-	-	-	-	súsa	-	-	-	-
sýna	-	-	sýnir	sýnir	-	sýndi	sýndi	sýndi	sýndu	-	-	sýnt	-	sýndur
tagna	-	-	-	-	-	-	-	-	-	tagna	-	-	-	-
taka	-	-	tekur	tekur	-	tók	tókst	tók	tóku	-	-	tikið	-	tikin
takast	takast	takist	tekst	tekst	takast	tókst	tókst	tókst	tókust	-	-	takast	-	-
takka	-	-	-	-	-	-	-	-	-	takka	-	-	-	-
tapa	-	-	tapir	tapir	-	tapti	tapti	tapti	taptu	-	-	tapt	-	taptur
taptu	tapa	tapi	tapir	tapir	tapa	tapti	tapti	tapti	taptu	tap	tapið	tapt	tapandi	taptur
tarna	-	-	-	-	-	-	-	-	-	tarna	-	-	-	-
teinkja	-	-	teinkir	teinkir	-	tonkti	tonkti	tonkti	tonktu	teinkj	-	tonkt	-	tonktur
tekja	-	-	tekir	tekir	-	takti	takti	takti	taktu	-	tekið	takt	-	taktur
tekna	-	-	-	-	-	-	-	-	-	tekna	-	-	-	-
tekur	taka	taki	tekur	tekur	taka	tók	tókst	tók	tóku	tak	takið	tikið	takandi	tikin
telja	-	telji	telur	telur	-	taldi	taldi	taldi	taldu	-	-	talt	-	taldur
temja	-	temji	temur	temur	-	tamdi	tamdi	tamdi	tamdu	-	-	tamt	-	tamdur
tendra	-	-	-	-	-	-	-	-	-	tendra	-	-	-	-
teska	-	-	-	-	-	-	-	-	-	teska	-	-	-	-
tiga	-	-	tigur	tigur	-	tagdi	tagdi	tagdi	tagdu	-	-	tagt	-	tagdur
tilbiðja	-	tilbiðji	tilbiður	tilbiður	-	tilbað	tilbaðst	tilbað	tilbóðu	-	-	tilbiðið	-	tilbiðin
titra	-	-	-	-	-	-	-	-	-	titra	-	-	-	-
tiðna	-	-	-	-	-	-	-	-	-	tiðna	-	-	-	-
tola	-	-	tolir	tolir	-	toldi	toldi	toldi	toldu	tola	-	-	-	-
torna	-	-	-	-	-	-	-	-	-	torna	-	-	-	-
tosa	-	-	-	-	-	-	-	-	-	tosa	-	-	-	-
toyggja	-	-	toyggir	toyggir	-	toygdi	toygdi	toygdi	toygdu	-	toyggið	toygt	-	toygdur
traff	treffa	treffi	treffur	treffur	treffa	traff	trafst	traff	truffu	treff	treffið	troffið	treffandi	troffin
treffa	-	-	treffur	treffur	-	traff	trafst	traff	truffu	-	-	troffið	-	troffin
treingja	-	-	treingir	treingir	-	trongdi	trongdi	trongdi	trongdu	treingj	-	trongt	-	trongdur
tryggja	-	tryggji	-	-	-	-	-	-	-	tryggja	-	-	-	-
tríva	-	-	trívur	trívur	-	treiv	treivst	treiv	trivu	-	-	trivið	-	trivin
tróta	-	-	trýtur	trýtur	-	treyt	treytst	treyt	trutu	-	-	trotið	-	trotin
trúgva	-	-	trýrt	trýr	-	trúði	trúði	trúði	trúðu	-	-	trúð	-	trúgvin
trýsta	-	-	trýstir	trýstir	-	trýsti	trýsti	trýsti	trýstu	-	-	trýst	-	trýstur
tutla	-	-	-	-	-	-	-	-	-	tutla	-	-	-	-
tváa	-	-	-	-	-	-	-	-	-	tváa	-	-	-	-
tæna	-	-	tænir	tænir	-	tænti	tænti	tænti	tæntu	-	-	tænt	-	tæntur
tók	taka	taki	tekur	tekur	taka	tók	tókst	tók	tóku	tak	takið	tikið	takandi	tikin
tørva	-	-	-	-	-	-	-	-	-	tørva	-	-	-	-
tøva	-	-	tøvir	tøvir	-	tøvdi	tøvdi	tøvdi	tøvdu	-	-	tøvt	-	tøvdur
týna	-	-	týnir	týnir	-	týndi	týndi	týndi	týndu	-	-	týnt	-	týndur
týða	-	-	týðir	týðir	-	týddi	týddi	týddi	týddu	-	-	týtt	-	týddur
umbera	-	-	umbert	umber	-	umbar	umbart	umbar	umbóru	-	-	umborið	-	umborin
umfata	-	-	-	-	-	-	-	-	-	umfata	-	-	-	-
umhugsa	-	-	-	-	-	-	-	-	-	umhugsa	-	-	-	-
ummæla	-	-	ummælir	ummælir	-	ummælti	ummælti	ummælti	ummæltu	-	-	ummælt	-	ummæltur
umseta	-	-	umsetur	umsetur	-	umsetti	umsetti	umsetti	umsettu	-	-	umsett	-	umsettur
umskera	-	-	umskert	umsker	-	umskar	umskart	umskar	umskóru	-	-	umskorið	-	umskorin
vakja	-	-	vakir	vakir	-	vakti	vakti	vakti	vaktu	-	vakið	vakt	-	vaktur
vakna	-	-	-	-	-	-	-	-	-	vakna	-	-	-	-
vaksa	-	-	veksur	veksur	-	vaks	vaks	vaks	vuksu	-	-	vaksið	-	vaksin
valdi	velja	velji	velur	velur	velja	valdi	valdi	valdi	valdu	vel	veljið	valt	veljandi	valdur
vanta	-	-	-	-	-	-	-	-	-	vanta	-	-	-	-
var	vera	eri	ert	er	eru	var	vart	var	vóru	ver	verið	verið	verandi	-
vara	-	-	varir	varir	-	vardi	vardi	vardi	vardu	-	-	vart	-	vardur
vart	vera	eri	ert	er	eru	var	vart	var	vóru	ver	verið	verið	verandi	-
varð	verða	verði	verður	verður	verða	varð	varð	varð	vórðu	verð	verðið	-	verðandi	vorðin
varðveita	-	-	varðveitir	varðveitir	-	varðveitti	varðveitti	varðveitti	varðveittu	-	-	varðveitt	-	varðveittur
vaska	-	-	-	-	-	-	-	-	-	vaska	-	-	-	-
vaða	-	-	veður	veður	-	vóð	vóðst	vóð	vóðu	-	-	vaðið	-	vaðin
veitst	vita	veit	veitst	veit	vita	visti	visti	visti	vistu	-	-	vitað	-	-
veittra	-	-	-	-	-	-	-	-	-	veittra	-	-	-	-
veksla	-	-	-	-	-	-	-	-	-	veksla	-	-	-	-
velja	-	velji	velur	velur	-	valdi	valdi	valdi	valdu	-	-	valt	-	valdur
venda	-	-	vendir	vendir	-	vendi	vendi	vendi	vendu	-	-	vent	-	vendur
venja	-	venji	venur	venur	-	vandi	vandi	vandi	vandu	-	-	vant	-	vandur
verandi	vera	eri	ert	er	eru	var	vart	var	vóru	ver	verið	verið	verandi	-
verið	vera	eri	ert	er	eru	var	vart	var	vóru	ver	verið	verið	verandi	-
verja	-	verji	verjir	verjir	-	vardi	vardi	vardi	vardu	verj	-	vart	-	vardur
verma	-	-	vermir	vermir	-	vermdi	vermdi	vermdi	vermdu	-	-	vermt	-	vermdur
verpa	-	-	verpur	verpur	-	varp	varpst	varp	vurpu	-	-	vorpið	-	vorpin
verð	definite	verð	verðið	verð	verðini	verð	verðið	verð	verðini	verðsins	verðanna	verð	verð	verð
verða	-	-	verður	verður	-	varð	varð	varð	vórðu	-	-	vorðið	-	vorðin
veva	-	-	vevur	vevur	-	vav	vavst	vav	vóvu	-	-	vovið	-	vovin
vil	vilja	vil	vilt	vil	vilja	vildi	vildi	vildi	vildu	-	-	vilað	-	-
vilja	-	vil	vilt	vil	-	vildi	vildi	vildi	vildu	-	-	vilað	-	-
vinda	-	-	vindur	vindur	-	vant	vanst	vant	vundu	-	-	vundið	-	vundin
virka	-	-	-	-	-	-	-	-	-	virka	-	-	-	-
virkja	-	-	virkir	virkir	-	virkti	virkti	virkti	virktu	-	virkið	virkt	-	virktur
viska	-	-	-	-	-	-	-	-	-	viska	-	-	-	-
vistu	vita	veit	veitst	veit	vita	visti	visti	visti	vistu	-	-	vitað	-	-
vitja	-	vitji	-	-	-	-	-	-	-	vitja	-	-	-	-
vitjandi	vitja	vitji	vitjar	vitjar	vitja	vitjaði	vitjaði	vitjaði	vitjaðu	vitja	vitjið	vitjað	vitjandi	vitjaður
viðganga	-	-	viðgongur	viðgongur	-	viðgekk	viðgekst	viðgekk	viðgingu	viðgakk	-	viðgingið	-	viðgingin
viðgera	-	-	viðgert	viðger	-	viðgjørdi	viðgjørdi	viðgjørdi	viðgjørdu	-	-	viðgjørt	-	viðgjørdur
viðtaka	-	-	viðtekur	viðtekur	-	viðtók	viðtókst	viðtók	viðtóku	-	-	viðtikið	-	viðtikin
viðvíkja	-	-	viðvíkur	viðvíkur	-	viðveik	viðveikst	viðveik	viðviku	viðvíkj	-	viðvikið	-	viðvikin
vundið	vinda	vindi	vindur	vindur	vinda	vant	vanst	vant	vundu	vind	vindið	vundið	vindandi	vundin
vága	-	-	-	-	-	-	-	-	-	vága	-	-	-	-
vára	-	-	-	-	-	-	-	-	-	vára	-	-	-	-
vátta	-	-	-	-	-	-	-	-	-	vátta	-	-	-	-
vænta	-	-	-	-	-	-	-	-	-	vænta	-	-	-	-
